t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	21,318	25,000	1,000E-2
2,000	21,332	25,000	1,000E-2
3,000	21,343	25,000	1,000E-2
4,000	21,344	25,000	1,353E-1
5,000	21,340	25,000	4,589E-1
6,000	21,352	25,000	1,487E-1
7,000	21,367	25,000	1,000E-2
8,001	21,375	25,000	1,000E-2
9,001	21,386	25,000	1,000E-2
10,001	21,391	25,000	1,000E-2
11,001	21,387	25,000	3,116E-1
12,001	21,379	25,000	8,115E-1
12,001	21,382	25,000	8,761E-1
14,001	21,377	25,000	1,198E+0
14,001	21,387	25,000	9,850E-1
16,002	21,395	25,000	8,312E-1
17,002	21,386	25,000	1,370E+0
18,002	21,395	25,000	1,157E+0
19,002	21,398	25,000	1,221E+0
20,002	21,403	25,000	1,166E+0
21,002	21,410	25,000	1,051E+0
22,002	21,410	25,000	1,193E+0
23,002	21,413	25,000	1,236E+0
24,002	21,414	25,000	1,378E+0
25,003	21,426	25,000	1,065E+0
26,003	21,422	25,000	1,365E+0
26,003	21,425	25,000	1,427E+0
27,003	21,422	25,000	1,688E+0
28,004	21,416	25,000	2,107E+0
29,006	21,441	25,000	1,298E+0
30,007	21,445	25,000	1,300E+0
31,007	21,466	25,000	6,088E-1
32,007	21,465	25,000	8,280E-1
33,007	21,465	25,000	9,480E-1
34,007	21,479	25,000	5,925E-1
35,007	21,480	25,000	6,919E-1
36,007	21,480	25,000	8,706E-1
37,007	21,493	25,000	4,947E-1
38,007	21,502	25,000	3,163E-1
39,008	21,500	25,000	5,338E-1
40,008	21,492	25,000	1,009E+0
41,008	21,474	25,000	1,860E+0
42,008	21,479	25,000	1,861E+0
43,008	21,470	25,000	2,357E+0
45,008	21,471	25,000	2,457E+0
46,008	21,474	25,000	2,537E+0
47,008	21,483	25,000	2,320E+0
48,008	21,482	25,000	2,538E+0
49,008	21,477	25,000	2,895E+0
50,008	21,475	25,000	3,114E+0
51,008	21,481	25,000	3,015E+0
52,008	21,475	25,000	3,432E+0
53,009	21,474	25,000	3,611E+0
54,009	21,485	25,000	3,354E+0
55,009	21,491	25,000	3,275E+0
56,009	21,488	25,000	3,572E+0
57,009	21,487	25,000	3,750E+0
58,009	21,483	25,000	4,048E+0
59,009	21,486	25,000	4,087E+0
60,009	21,499	25,000	3,751E+0
61,009	21,498	25,000	3,949E+0
62,009	21,492	25,000	4,325E+0
63,009	21,485	25,000	4,780E+0
64,009	21,483	25,000	5,038E+0
65,009	21,476	25,000	5,474E+0
66,009	21,479	25,000	5,495E+0
67,009	21,495	25,000	5,020E+0
68,009	21,496	25,000	5,118E+0
69,010	21,500	25,000	5,138E+0
70,010	21,486	25,000	5,831E+0
71,010	21,495	25,000	5,673E+0
72,010	21,480	25,000	6,425E+0
73,010	21,470	25,000	6,960E+0
74,010	21,450	25,000	7,912E+0
75,010	21,442	25,000	8,390E+0
76,010	21,445	25,000	8,412E+0
77,010	21,444	25,000	8,651E+0
78,010	21,433	25,000	9,228E+0
79,010	21,408	25,000	1,038E+1
80,010	21,395	25,000	1,106E+1
81,010	21,403	25,000	1,090E+1
82,010	21,420	25,000	1,039E+1
83,010	21,417	25,000	1,067E+1
84,011	21,430	25,000	1,030E+1
85,011	21,431	25,000	1,046E+1
86,011	21,419	25,000	1,106E+1
87,011	21,410	25,000	1,158E+1
88,011	21,409	25,000	1,182E+1
89,011	21,414	25,000	1,174E+1
90,011	21,416	25,000	1,184E+1
91,011	21,408	25,000	1,232E+1
92,011	21,416	25,000	1,215E+1
93,011	21,421	25,000	1,213E+1
94,011	21,415	25,000	1,255E+1
95,011	21,412	25,000	1,283E+1
96,011	21,410	25,000	1,305E+1
97,011	21,428	25,000	1,248E+1
98,011	21,425	25,000	1,276E+1
99,011	21,427	25,000	1,284E+1
100,011	21,432	25,000	1,283E+1
101,011	21,429	25,000	1,311E+1
102,012	21,428	25,000	1,329E+1
103,012	21,434	25,000	1,321E+1
104,012	21,430	25,000	1,357E+1
105,012	21,423	25,000	1,399E+1
106,012	21,425	25,000	1,405E+1
107,012	21,431	25,000	1,402E+1
108,012	21,429	25,000	1,424E+1
109,012	21,430	25,000	1,436E+1
110,012	21,438	25,000	1,420E+1
111,012	21,458	25,000	1,357E+1
112,012	21,480	25,000	1,286E+1
113,012	21,470	25,000	1,341E+1
114,012	21,497	25,000	1,250E+1
115,012	21,497	25,000	1,268E+1
116,012	21,502	25,000	1,260E+1
117,012	21,502	25,000	1,278E+1
118,012	21,505	25,000	1,284E+1
119,012	21,517	25,000	1,252E+1
120,012	21,512	25,000	1,286E+1
121,013	21,500	25,000	1,347E+1
122,013	21,505	25,000	1,347E+1
123,013	21,507	25,000	1,353E+1
124,013	21,514	25,000	1,339E+1
125,013	21,532	25,000	1,287E+1
126,013	21,544	25,000	1,253E+1
127,013	21,530	25,000	1,322E+1
128,013	21,527	25,000	1,350E+1
129,013	21,532	25,000	1,346E+1
130,013	21,537	25,000	1,346E+1
131,014	21,530	25,000	1,385E+1
132,014	21,532	25,000	1,397E+1
133,014	21,538	25,000	1,389E+1
134,014	21,529	25,000	1,436E+1
135,014	21,537	25,000	1,422E+1
136,014	21,514	25,000	1,529E+1
137,014	21,503	25,000	1,588E+1
138,014	21,498	25,000	1,626E+1
139,014	21,482	25,000	1,703E+1
140,014	21,480	25,000	1,725E+1
141,014	21,485	25,000	1,723E+1
142,014	21,484	25,000	1,741E+1
143,014	21,492	25,000	1,727E+1
144,014	21,503	25,000	1,699E+1
145,014	21,499	25,000	1,731E+1
146,015	21,505	25,000	1,723E+1
147,015	21,508	25,000	1,729E+1
148,015	21,509	25,000	1,740E+1
149,015	21,508	25,000	1,756E+1
150,015	21,511	25,000	1,760E+1
151,015	21,514	25,000	1,768E+1
152,015	21,527	25,000	1,730E+1
153,015	21,544	25,000	1,680E+1
154,015	21,544	25,000	1,696E+1
155,015	21,550	25,000	1,688E+1
156,015	21,550	25,000	1,699E+1
157,015	21,538	25,000	1,765E+1
158,015	21,540	25,000	1,772E+1
159,015	21,540	25,000	1,788E+1
160,015	21,550	25,000	1,766E+1
161,015	21,556	25,000	1,758E+1
162,015	21,565	25,000	1,738E+1
163,015	21,561	25,000	1,769E+1
164,016	21,556	25,000	1,800E+1
165,016	21,565	25,000	1,782E+1
166,016	21,558	25,000	1,825E+1
167,016	21,562	25,000	1,827E+1
168,016	21,549	25,000	1,892E+1
169,016	21,540	25,000	1,945E+1
170,016	21,541	25,000	1,955E+1
171,016	21,548	25,000	1,943E+1
172,016	21,529	25,000	2,036E+1
173,016	21,520	25,000	2,085E+1
174,016	21,517	25,000	2,113E+1
175,017	21,535	25,000	2,055E+1
176,017	21,554	25,000	1,997E+1
177,017	21,556	25,000	2,003E+1
178,017	21,563	25,000	1,993E+1
179,017	21,566	25,000	1,999E+1
180,017	21,577	25,000	1,970E+1
181,017	21,571	25,000	2,010E+1
182,017	21,582	25,000	1,980E+1
183,017	21,591	25,000	1,957E+1
184,017	21,598	25,000	1,949E+1
185,017	21,596	25,000	1,968E+1
186,018	21,584	25,000	2,031E+1
187,018	21,573	25,000	2,092E+1
188,018	21,575	25,000	2,100E+1
189,018	21,577	25,000	2,107E+1
190,018	21,580	25,000	2,111E+1
191,018	21,590	25,000	2,089E+1
192,018	21,590	25,000	2,102E+1
193,018	21,603	25,000	2,064E+1
194,018	21,605	25,000	2,075E+1
195,018	21,607	25,000	2,083E+1
196,018	21,610	25,000	2,086E+1
197,018	21,636	25,000	1,999E+1
198,018	21,630	25,000	2,036E+1
199,018	21,634	25,000	2,035E+1
200,018	21,629	25,000	2,070E+1
201,018	21,636	25,000	2,057E+1
202,019	21,642	25,000	2,049E+1
203,019	21,655	25,000	2,012E+1
204,019	21,647	25,000	2,061E+1
205,019	21,650	25,000	2,063E+1
206,019	21,656	25,000	2,054E+1
207,019	21,652	25,000	2,085E+1
208,019	21,661	25,000	2,064E+1
209,019	21,654	25,000	2,109E+1
210,019	21,643	25,000	2,166E+1
211,019	21,631	25,000	2,228E+1
212,019	21,623	25,000	2,275E+1
213,019	21,614	25,000	2,324E+1
214,019	21,632	25,000	2,272E+1
215,019	21,645	25,000	2,234E+1
216,019	21,645	25,000	2,249E+1
217,019	21,655	25,000	2,225E+1
218,019	21,647	25,000	2,271E+1
219,019	21,644	25,000	2,300E+1
220,020	21,634	25,000	2,353E+1
221,020	21,638	25,000	2,355E+1
222,020	21,631	25,000	2,396E+1
223,020	21,632	25,000	2,407E+1
224,020	21,645	25,000	2,372E+1
225,020	21,654	25,000	2,352E+1
226,020	21,681	25,000	2,256E+1
227,020	21,683	25,000	2,265E+1
228,020	21,693	25,000	2,242E+1
229,020	21,686	25,000	2,283E+1
230,020	21,675	25,000	2,344E+1
231,020	21,672	25,000	2,367E+1
232,020	21,669	25,000	2,396E+1
233,020	21,657	25,000	2,456E+1
234,020	21,655	25,000	2,481E+1
235,020	21,652	25,000	2,506E+1
236,020	21,665	25,000	2,472E+1
237,020	21,663	25,000	2,495E+1
238,021	21,670	25,000	2,482E+1
239,021	21,692	25,000	2,410E+1
240,021	21,701	25,000	2,387E+1
241,021	21,718	25,000	2,335E+1
242,021	21,737	25,000	2,276E+1
