t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,204	1,160	0,000	1,089E+0	1,089E+0	0,000E+0
0,405	1,160	0,000	1,089E+0	1,089E+0	0,000E+0
0,606	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
0,806	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
1,007	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
1,208	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
1,408	0,890	0,000	1,160E+0	1,160E+0	0,000E+0
1,607	0,890	0,000	1,160E+0	1,160E+0	0,000E+0
1,808	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
2,008	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
2,209	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
2,410	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
2,610	1,000	0,000	8,900E-1	8,900E-1	0,000E+0
2,809	1,000	0,000	8,900E-1	8,900E-1	0,000E+0
3,010	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
3,210	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
3,410	1,200	0,000	1,000E+0	1,000E+0	0,000E+0
3,610	1,200	0,000	1,000E+0	1,000E+0	0,000E+0
3,811	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
4,011	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
4,211	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
4,412	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
4,613	1,330	0,000	1,200E+0	1,200E+0	0,000E+0
4,813	1,330	0,000	1,200E+0	1,200E+0	0,000E+0
5,013	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
5,213	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
5,415	1,330	0,000	1,330E+0	0,000E+0	2,000E+3
5,614	1,330	0,000	1,330E+0	0,000E+0	2,000E+3
5,815	1,090	0,000	1,099E+0	1,099E+0	2,000E+3
6,014	1,090	0,000	1,099E+0	1,099E+0	2,000E+3
6,217	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
6,417	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
6,618	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
6,819	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
7,020	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
7,220	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
7,420	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
7,620	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
7,820	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
8,021	1,090	0,000	1,090E+0	1,090E+0	2,000E+3
8,221	0,990	0,000	1,090E+0	1,090E+0	2,000E+3
8,421	0,990	0,000	9,900E-1	9,900E-1	2,000E+3
8,622	0,990	0,000	9,900E-1	9,900E-1	2,000E+3
8,822	0,990	0,000	9,900E-1	9,900E-1	2,000E+3
9,022	0,990	0,000	9,900E-1	9,900E-1	2,000E+3
9,222	2,300	0,000	9,900E-1	9,900E-1	2,000E+3
9,422	2,300	0,000	2,300E+0	2,300E+0	2,000E+3
