t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	23,981	0,000	2,374E+1	2,428E+1	2,434E+1	2,323E+1	2,798E+1	2,891E+1	2,367E+1	2,510E+1	2,630E+1	2,236E+1
1,958	23,981	0,000	2,374E+1	2,428E+1	2,434E+1	2,323E+1	2,798E+1	2,891E+1	2,367E+1	2,510E+1	2,630E+1	2,236E+1
1,958	24,139	0,000	2,376E+1	2,429E+1	2,436E+1	2,325E+1	2,802E+1	2,893E+1	2,370E+1	2,511E+1	2,631E+1	2,237E+1
3,977	24,139	0,000	2,376E+1	2,429E+1	2,436E+1	2,325E+1	2,802E+1	2,893E+1	2,370E+1	2,511E+1	2,631E+1	2,237E+1
3,977	24,193	0,000	2,380E+1	2,431E+1	2,437E+1	2,327E+1	2,802E+1	2,892E+1	2,370E+1	2,511E+1	2,628E+1	2,238E+1
5,993	24,193	0,000	2,380E+1	2,431E+1	2,437E+1	2,327E+1	2,802E+1	2,892E+1	2,370E+1	2,511E+1	2,628E+1	2,238E+1
5,993	24,193	0,000	2,380E+1	2,432E+1	2,440E+1	2,326E+1	2,799E+1	2,890E+1	2,369E+1	2,512E+1	2,629E+1	2,237E+1
5,993	24,193	0,000	2,380E+1	2,432E+1	2,440E+1	2,326E+1	2,799E+1	2,890E+1	2,369E+1	2,512E+1	2,629E+1	2,237E+1
8,012	24,221	0,000	2,380E+1	2,431E+1	2,445E+1	2,326E+1	2,805E+1	2,894E+1	2,369E+1	2,511E+1	2,631E+1	2,238E+1
8,012	24,221	0,000	2,380E+1	2,431E+1	2,445E+1	2,326E+1	2,805E+1	2,894E+1	2,369E+1	2,511E+1	2,631E+1	2,238E+1
10,031	24,195	0,000	2,379E+1	2,431E+1	2,443E+1	2,326E+1	2,803E+1	2,891E+1	2,367E+1	2,514E+1	2,631E+1	2,236E+1
10,031	24,195	0,000	2,379E+1	2,431E+1	2,443E+1	2,326E+1	2,803E+1	2,891E+1	2,367E+1	2,514E+1	2,631E+1	2,236E+1
12,047	24,205	0,000	2,379E+1	2,432E+1	2,443E+1	2,324E+1	2,807E+1	2,891E+1	2,366E+1	2,513E+1	2,628E+1	2,235E+1
12,047	24,205	0,000	2,379E+1	2,432E+1	2,443E+1	2,324E+1	2,807E+1	2,891E+1	2,366E+1	2,513E+1	2,628E+1	2,235E+1
14,068	24,182	0,000	2,378E+1	2,434E+1	2,443E+1	2,324E+1	2,806E+1	2,887E+1	2,366E+1	2,516E+1	2,626E+1	2,238E+1
14,068	24,182	0,000	2,378E+1	2,434E+1	2,443E+1	2,324E+1	2,806E+1	2,887E+1	2,366E+1	2,516E+1	2,626E+1	2,238E+1
16,085	24,175	0,000	2,378E+1	2,434E+1	2,445E+1	2,323E+1	2,807E+1	2,891E+1	2,367E+1	2,516E+1	2,625E+1	2,239E+1
16,085	24,175	0,000	2,378E+1	2,434E+1	2,445E+1	2,323E+1	2,807E+1	2,891E+1	2,367E+1	2,516E+1	2,625E+1	2,239E+1
18,103	24,177	0,000	2,379E+1	2,435E+1	2,445E+1	2,323E+1	2,808E+1	2,892E+1	2,368E+1	2,519E+1	2,624E+1	2,238E+1
18,103	24,177	0,000	2,379E+1	2,435E+1	2,445E+1	2,323E+1	2,808E+1	2,892E+1	2,368E+1	2,519E+1	2,624E+1	2,238E+1
20,120	24,172	0,000	2,380E+1	2,436E+1	2,443E+1	2,324E+1	2,812E+1	2,894E+1	2,366E+1	2,516E+1	2,626E+1	2,241E+1
20,120	24,172	0,000	2,380E+1	2,436E+1	2,443E+1	2,324E+1	2,812E+1	2,894E+1	2,366E+1	2,516E+1	2,626E+1	2,241E+1
22,137	24,188	0,000	2,381E+1	2,436E+1	2,439E+1	2,324E+1	2,815E+1	2,888E+1	2,368E+1	2,518E+1	2,625E+1	2,241E+1
22,137	24,188	0,000	2,381E+1	2,436E+1	2,439E+1	2,324E+1	2,815E+1	2,888E+1	2,368E+1	2,518E+1	2,625E+1	2,241E+1
24,156	24,202	0,000	2,383E+1	2,435E+1	2,436E+1	2,323E+1	2,815E+1	2,885E+1	2,368E+1	2,512E+1	2,623E+1	2,241E+1
24,156	24,202	0,000	2,383E+1	2,435E+1	2,436E+1	2,323E+1	2,815E+1	2,885E+1	2,368E+1	2,512E+1	2,623E+1	2,241E+1
26,172	24,179	0,000	2,381E+1	2,436E+1	2,434E+1	2,325E+1	2,816E+1	2,887E+1	2,369E+1	2,512E+1	2,625E+1	2,243E+1
26,172	24,179	0,000	2,381E+1	2,436E+1	2,434E+1	2,325E+1	2,816E+1	2,887E+1	2,369E+1	2,512E+1	2,625E+1	2,243E+1
28,191	24,187	0,000	2,383E+1	2,436E+1	2,433E+1	2,325E+1	2,819E+1	2,885E+1	2,370E+1	2,511E+1	2,625E+1	2,241E+1
28,191	24,187	0,000	2,383E+1	2,436E+1	2,433E+1	2,325E+1	2,819E+1	2,885E+1	2,370E+1	2,511E+1	2,625E+1	2,241E+1
30,210	24,220	0,000	2,383E+1	2,433E+1	2,434E+1	2,324E+1	2,819E+1	2,889E+1	2,369E+1	2,510E+1	2,626E+1	2,242E+1
30,210	24,220	0,000	2,383E+1	2,433E+1	2,434E+1	2,324E+1	2,819E+1	2,889E+1	2,369E+1	2,510E+1	2,626E+1	2,242E+1
32,230	24,202	0,000	2,382E+1	2,431E+1	2,433E+1	2,323E+1	2,816E+1	2,886E+1	2,371E+1	2,507E+1	2,627E+1	2,244E+1
32,230	24,202	0,000	2,382E+1	2,431E+1	2,433E+1	2,323E+1	2,816E+1	2,886E+1	2,371E+1	2,507E+1	2,627E+1	2,244E+1
