t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
0,000	0,000	25,000	9,990E+1
1,958	22,184	25,000	9,990E+1
1,958	22,184	25,000	1,000E-2
3,977	22,190	25,000	1,370E-1
3,977	22,190	25,000	1,000E-2
5,993	22,193	25,000	1,368E-1
5,993	22,193	25,000	1,448E-1
5,993	22,193	25,000	2,715E-1
8,012	22,194	25,000	3,586E-1
8,012	22,194	25,000	4,853E-1
10,031	22,204	25,000	2,159E-1
10,031	22,204	25,000	3,421E-1
12,047	22,203	25,000	4,881E-1
12,047	22,203	25,000	6,144E-1
14,068	22,215	25,000	2,850E-1
14,068	22,215	25,000	4,109E-1
16,085	22,216	25,000	4,771E-1
16,085	22,216	25,000	6,029E-1
18,103	22,226	25,000	3,521E-1
18,103	22,226	25,000	4,774E-1
20,120	22,226	25,000	6,225E-1
20,120	22,226	25,000	7,476E-1
22,137	22,222	50,000	9,990E+1
22,137	22,222	50,000	9,990E+1
24,156	22,219	50,000	9,990E+1
24,156	22,219	50,000	9,990E+1
26,172	22,211	50,000	9,990E+1
26,172	22,211	50,000	9,990E+1
28,191	22,217	50,000	9,990E+1
28,191	22,217	50,000	9,990E+1
30,210	22,211	50,000	9,990E+1
30,210	22,211	50,000	9,990E+1
32,230	22,214	50,000	9,990E+1
32,230	22,214	50,000	9,990E+1
34,249	22,227	50,000	9,990E+1
34,249	22,227	50,000	9,990E+1
36,266	22,235	50,000	9,990E+1
36,266	22,235	50,000	9,990E+1
38,285	22,246	50,000	9,990E+1
38,285	22,246	50,000	9,990E+1
40,301	22,229	50,000	9,990E+1
40,301	22,229	50,000	9,990E+1
42,320	22,238	50,000	9,990E+1
42,320	22,238	50,000	9,990E+1
44,341	22,236	50,000	9,990E+1
44,341	22,236	50,000	9,990E+1
46,357	22,232	50,000	9,990E+1
46,357	22,232	50,000	9,990E+1
48,374	22,225	50,000	9,990E+1
48,374	22,225	55,000	9,990E+1
50,393	22,219	55,000	9,990E+1
50,393	22,219	55,000	9,990E+1
52,410	22,224	55,000	9,990E+1
52,410	22,224	55,000	9,990E+1
54,428	22,220	55,000	9,990E+1
54,428	22,220	55,000	9,990E+1
56,449	22,233	55,000	9,990E+1
56,449	22,233	55,000	9,990E+1
58,466	22,234	55,000	9,990E+1
58,466	22,234	50,000	1,000E-2
60,482	22,221	50,000	1,817E+0
60,482	22,221	50,000	3,071E+0
62,501	22,217	50,000	4,464E+0
62,501	22,217	50,000	5,719E+0
64,518	22,212	50,000	7,191E+0
64,518	22,212	50,000	8,447E+0
66,536	22,221	50,000	9,305E+0
66,536	22,221	50,000	1,056E+1
68,553	22,226	50,000	1,165E+1
68,553	22,226	50,000	1,291E+1
70,572	22,227	50,000	1,408E+1
70,572	22,227	50,000	1,534E+1
72,588	22,239	50,000	1,612E+1
72,588	22,239	50,000	1,737E+1
74,605	22,221	50,000	1,936E+1
74,605	22,221	50,000	2,061E+1
76,624	22,224	50,000	2,175E+1
76,624	22,224	50,000	2,300E+1
78,640	22,221	50,000	2,439E+1
78,640	22,221	50,000	2,565E+1
80,661	22,215	50,000	2,710E+1
80,661	22,215	50,000	2,835E+1
82,678	22,216	50,000	2,959E+1
82,678	22,216	50,000	3,084E+1
84,697	22,227	50,000	3,168E+1
84,697	22,227	50,000	3,294E+1
86,714	22,220	50,000	3,447E+1
86,714	22,220	50,000	3,572E+1
88,732	22,219	50,000	3,700E+1
88,732	22,219	50,000	3,825E+1
90,751	22,230	50,000	3,950E+1
90,751	22,230	50,000	4,030E+1
92,769	22,245	50,000	4,156E+1
92,769	22,245	50,000	4,226E+1
94,786	22,239	50,000	4,351E+1
94,786	22,239	50,000	4,500E+1
96,805	22,259	50,000	4,626E+1
96,805	22,259	50,000	4,670E+1
98,822	22,277	50,000	4,795E+1
98,822	22,277	50,000	4,849E+1
100,840	22,282	50,000	4,974E+1
100,840	22,282	50,000	5,081E+1
102,859	22,294	50,000	5,206E+1
102,859	22,294	50,000	5,284E+1
104,880	22,312	50,000	5,409E+1
104,880	22,312	50,000	5,463E+1
106,895	22,306	50,000	5,588E+1
106,895	22,306	50,000	5,735E+1
108,915	22,324	50,000	5,860E+1
108,915	22,324	50,000	5,914E+1
110,934	22,354	50,000	6,038E+1
110,934	22,354	50,000	6,047E+1
112,951	22,376	50,000	6,172E+1
112,951	22,376	50,000	6,207E+1
114,969	22,372	50,000	6,332E+1
114,969	22,372	50,000	6,474E+1
116,986	22,387	50,000	6,599E+1
116,986	22,387	50,000	6,662E+1
119,005	22,401	50,000	6,787E+1
119,005	22,401	50,000	6,858E+1
121,022	22,428	50,000	6,983E+1
121,022	22,428	50,000	6,999E+1
123,038	22,452	50,000	7,123E+1
123,038	22,452	50,000	7,153E+1
123,038	22,452	50,000	7,277E+1
125,057	22,452	50,000	7,401E+1
125,057	22,452	50,000	7,526E+1
127,074	22,468	50,000	7,589E+1
