t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
0,202	0,000	0,075	3,000E-1	3,000E+1
0,402	0,000	0,075	3,000E-1	3,000E+1
0,602	0,000	0,075	3,000E-1	3,000E+1
0,802	0,000	0,075	3,000E-1	3,000E+1
1,002	0,000	0,075	3,000E-1	3,000E+1
1,203	0,000	0,075	3,000E-1	3,000E+1
1,404	0,000	0,075	3,000E-1	3,000E+1
1,604	0,000	0,075	3,000E-1	3,000E+1
1,804	0,000	0,075	3,000E-1	3,000E+1
2,005	0,000	0,075	3,000E-1	3,000E+1
2,204	0,000	0,075	3,000E-1	3,000E+1
2,405	0,000	0,075	3,000E-1	3,000E+1
2,605	0,000	0,075	3,000E-1	3,000E+1
2,805	0,000	0,075	3,000E-1	3,000E+1
3,005	0,000	0,075	3,000E-1	3,000E+1
3,205	0,000	0,075	3,000E-1	3,000E+1
3,406	0,000	0,075	3,000E-1	3,000E+1
3,606	0,000	0,075	3,000E-1	3,000E+1
3,807	0,000	0,075	3,000E-1	3,000E+1
4,008	0,000	0,075	3,000E-1	3,000E+1
4,208	0,000	0,075	3,000E-1	3,000E+1
4,409	0,000	0,075	3,000E-1	3,000E+1
4,609	0,000	0,075	3,000E-1	3,000E+1
4,809	0,000	0,075	3,000E-1	3,000E+1
5,008	0,000	0,075	3,000E-1	3,000E+1
5,209	0,000	0,075	3,000E-1	3,000E+1
5,409	0,000	0,075	3,000E-1	3,000E+1
5,610	0,000	0,075	3,000E-1	3,000E+1
5,810	0,000	0,075	3,000E-1	3,000E+1
6,010	0,000	0,075	3,000E-1	3,000E+1
6,210	0,000	0,075	3,000E-1	3,000E+1
6,412	0,000	0,075	3,000E-1	3,000E+1
6,612	0,000	0,075	3,000E-1	3,000E+1
6,812	0,000	0,075	3,000E-1	3,000E+1
7,012	0,000	0,075	3,000E-1	3,000E+1
7,212	0,000	0,075	3,000E-1	3,000E+1
7,411	0,000	0,075	3,000E-1	3,000E+1
7,611	0,000	0,075	3,000E-1	3,000E+1
7,813	0,000	0,075	3,000E-1	3,000E+1
8,013	0,000	0,075	3,000E-1	3,000E+1
8,215	0,000	0,075	3,000E-1	3,000E+1
8,414	0,000	0,075	3,000E-1	3,000E+1
8,615	0,000	0,075	3,000E-1	3,000E+1
8,815	0,000	0,075	3,000E-1	3,000E+1
9,016	0,000	0,075	3,000E-1	3,000E+1
9,216	0,000	0,075	3,000E-1	3,000E+1
9,416	0,000	0,075	3,000E-1	3,000E+1
9,616	0,000	0,075	3,000E-1	3,000E+1
9,816	0,000	0,075	3,000E-1	3,000E+1
10,017	0,000	0,075	3,000E-1	3,000E+1
10,218	0,000	0,075	3,000E-1	3,000E+1
10,419	0,000	0,075	3,000E-1	3,000E+1
10,619	0,000	0,075	3,000E-1	3,000E+1
10,818	0,000	0,075	3,000E-1	3,000E+1
11,019	0,000	0,075	3,000E-1	3,000E+1
11,219	0,000	0,075	3,000E-1	3,000E+1
11,419	0,000	0,075	3,000E-1	3,000E+1
11,620	0,000	0,075	3,000E-1	3,000E+1
11,820	0,000	0,075	3,000E-1	3,000E+1
12,020	0,000	0,075	3,000E-1	3,000E+1
12,221	0,000	0,075	3,000E-1	3,000E+1
12,421	0,000	0,075	3,000E-1	3,000E+1
12,621	0,000	0,075	3,000E-1	3,000E+1
12,822	0,000	0,075	3,000E-1	3,000E+1
13,021	0,000	0,075	3,000E-1	3,000E+1
13,223	0,000	0,075	3,000E-1	3,000E+1
13,422	0,000	0,075	3,000E-1	3,000E+1
13,623	0,000	0,075	3,000E-1	3,000E+1
13,822	0,000	0,075	3,000E-1	3,000E+1
14,023	0,000	0,075	3,000E-1	3,000E+1
14,222	0,000	0,075	3,000E-1	3,000E+1
14,424	0,000	0,075	3,000E-1	3,000E+1
14,624	0,000	0,075	3,000E-1	3,000E+1
14,824	0,000	0,075	3,000E-1	3,000E+1
15,024	0,000	0,075	3,000E-1	3,000E+1
15,224	0,000	0,075	3,000E-1	3,000E+1
15,424	0,000	0,075	3,000E-1	3,000E+1
15,625	0,000	0,075	3,000E-1	3,000E+1
15,825	0,000	0,075	3,000E-1	3,000E+1
16,025	0,000	0,075	3,000E-1	3,000E+1
16,226	0,000	0,075	3,000E-1	3,000E+1
16,426	0,000	0,075	3,000E-1	3,000E+1
16,626	0,000	0,075	3,000E-1	3,000E+1
16,826	0,000	0,075	3,000E-1	3,000E+1
17,026	0,000	0,075	3,000E-1	3,000E+1
17,225	0,000	0,075	3,000E-1	3,000E+1
17,427	0,000	0,075	3,000E-1	3,000E+1
17,628	0,000	0,075	3,000E-1	3,000E+1
17,828	0,000	0,075	3,000E-1	3,000E+1
18,027	0,000	0,075	3,000E-1	3,000E+1
18,228	0,000	0,075	3,000E-1	3,000E+1
18,427	0,000	0,075	3,000E-1	3,000E+1
18,628	0,000	0,075	3,000E-1	3,000E+1
18,829	0,000	0,075	3,000E-1	3,000E+1
19,028	0,000	0,075	3,000E-1	3,000E+1
19,229	0,000	0,075	3,000E-1	3,000E+1
19,428	0,000	0,075	3,000E-1	3,000E+1
19,628	0,000	0,075	3,000E-1	3,000E+1
19,828	0,000	0,075	3,000E-1	3,000E+1
20,029	0,000	0,075	3,000E-1	3,000E+1
20,229	0,000	0,075	3,000E-1	3,000E+1
20,430	0,000	0,075	3,000E-1	3,000E+1
20,630	0,000	0,075	3,000E-1	3,000E+1
20,830	0,000	0,075	3,000E-1	3,000E+1
21,029	0,000	0,075	3,000E-1	3,000E+1
21,230	0,000	0,075	3,000E-1	3,000E+1
21,430	0,000	0,075	3,000E-1	3,000E+1
21,630	0,000	0,075	3,000E-1	3,000E+1
21,830	0,000	0,075	3,000E-1	3,000E+1
22,029	0,000	0,075	3,000E-1	3,000E+1
22,230	0,000	0,075	3,000E-1	3,000E+1
22,430	0,000	0,075	3,000E-1	3,000E+1
22,630	0,000	0,075	3,000E-1	3,000E+1
22,830	0,000	0,075	3,000E-1	3,000E+1
23,031	0,000	0,075	3,000E-1	3,000E+1
23,231	0,000	0,075	3,000E-1	3,000E+1
23,431	0,000	0,075	3,000E-1	3,000E+1
23,632	0,000	0,075	3,000E-1	3,000E+1
23,833	0,000	0,075	3,000E-1	3,000E+1
24,033	0,000	0,075	3,000E-1	3,000E+1
24,233	0,000	0,075	3,000E-1	3,000E+1
24,433	0,000	0,075	3,000E-1	3,000E+1
24,633	0,000	0,075	3,000E-1	3,000E+1
24,834	0,000	0,075	3,000E-1	3,000E+1
25,035	0,000	0,075	3,000E-1	3,000E+1
25,236	0,000	0,075	3,000E-1	3,000E+1
25,436	0,000	0,075	3,000E-1	3,000E+1
25,637	0,000	0,075	3,000E-1	3,000E+1
25,838	0,000	0,075	3,000E-1	3,000E+1
26,038	0,000	0,075	3,000E-1	3,000E+1
26,237	0,000	0,075	3,000E-1	3,000E+1
26,439	0,000	0,075	3,000E-1	3,000E+1
26,639	0,000	0,075	3,000E-1	3,000E+1
26,840	0,000	0,075	3,000E-1	3,000E+1
27,041	0,000	0,075	3,000E-1	3,000E+1
27,242	0,000	0,075	3,000E-1	3,000E+1
27,443	0,000	0,075	3,000E-1	3,000E+1
27,643	0,000	0,075	3,000E-1	3,000E+1
27,843	0,000	0,075	3,000E-1	3,000E+1
28,042	0,000	0,075	3,000E-1	3,000E+1
28,244	0,000	0,075	3,000E-1	3,000E+1
28,443	0,000	0,075	3,000E-1	3,000E+1
28,644	0,000	0,075	3,000E-1	3,000E+1
28,844	0,000	0,075	3,000E-1	3,000E+1
29,045	0,000	0,075	3,000E-1	3,000E+1
29,245	0,000	0,075	3,000E-1	3,000E+1
29,445	0,000	0,075	3,000E-1	3,000E+1
29,645	0,000	0,075	3,000E-1	3,000E+1
29,845	0,000	0,075	3,000E-1	3,000E+1
30,044	0,000	0,075	3,000E-1	3,000E+1
30,244	0,000	0,075	3,000E-1	3,000E+1
30,445	0,000	0,075	3,000E-1	3,000E+1
30,646	0,000	0,075	3,000E-1	3,000E+1
30,845	0,000	0,075	3,000E-1	3,000E+1
31,047	0,000	0,075	3,000E-1	3,000E+1
31,248	0,000	0,075	3,000E-1	3,000E+1
31,449	0,000	0,075	3,000E-1	3,000E+1
31,650	0,000	0,075	3,000E-1	3,000E+1
31,849	0,000	0,075	3,000E-1	3,000E+1
32,050	0,000	0,075	3,000E-1	3,000E+1
32,250	0,000	0,075	3,000E-1	3,000E+1
32,450	0,000	0,075	3,000E-1	3,000E+1
32,649	0,000	0,075	3,000E-1	3,000E+1
32,851	0,000	0,075	3,000E-1	3,000E+1
33,052	0,000	0,075	3,000E-1	3,000E+1
33,253	0,000	0,075	3,000E-1	3,000E+1
33,453	0,000	0,075	3,000E-1	3,000E+1
33,654	0,000	0,075	3,000E-1	3,000E+1
33,855	0,000	0,075	3,000E-1	3,000E+1
34,056	0,000	0,075	3,000E-1	3,000E+1
34,256	0,000	0,075	3,000E-1	3,000E+1
34,457	0,000	0,075	3,000E-1	3,000E+1
34,657	0,000	0,075	3,000E-1	3,000E+1
34,857	0,000	0,075	3,000E-1	3,000E+1
35,057	0,000	0,075	3,000E-1	3,000E+1
35,257	0,000	0,075	3,000E-1	3,000E+1
35,457	0,000	0,075	3,000E-1	3,000E+1
35,657	0,000	0,075	3,000E-1	3,000E+1
35,857	0,000	0,075	3,000E-1	3,000E+1
36,056	0,000	0,075	3,000E-1	3,000E+1
36,257	0,000	0,075	3,000E-1	3,000E+1
36,456	0,000	0,075	3,000E-1	3,000E+1
36,658	0,000	0,075	3,000E-1	3,000E+1
36,859	0,000	0,075	3,000E-1	3,000E+1
37,060	0,000	0,075	3,000E-1	3,000E+1
37,260	0,000	0,075	3,000E-1	3,000E+1
37,460	0,000	0,075	3,000E-1	3,000E+1
37,660	0,000	0,075	3,000E-1	3,000E+1
37,860	0,000	0,075	3,000E-1	3,000E+1
38,060	0,000	0,075	3,000E-1	3,000E+1
38,261	0,000	0,075	3,000E-1	3,000E+1
38,462	0,000	0,075	3,000E-1	3,000E+1
38,662	0,000	0,075	3,000E-1	3,000E+1
38,863	0,000	0,075	3,000E-1	3,000E+1
39,062	0,000	0,075	3,000E-1	3,000E+1
39,263	0,000	0,075	3,000E-1	3,000E+1
