t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,202	1,050	0,000	0,000E+0	0,000E+0	0,000E+0
0,402	1,050	0,000	0,000E+0	0,000E+0	0,000E+0
0,602	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
0,802	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,002	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,203	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,404	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,604	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,804	0,820	0,000	1,050E+0	1,050E+0	0,000E+0
2,005	0,820	0,000	8,200E-1	8,200E-1	0,000E+0
2,204	0,820	0,000	8,200E-1	8,200E-1	0,000E+0
2,405	1,000	0,000	8,200E-1	8,200E-1	0,000E+0
2,605	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
2,805	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
3,005	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
3,205	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
3,406	1,330	0,000	1,000E+0	1,000E+0	0,000E+0
3,606	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
3,807	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
4,008	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
4,208	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
4,409	1,260	0,000	1,330E+0	1,330E+0	0,000E+0
4,609	1,260	0,000	1,330E+0	1,330E+0	0,000E+0
4,809	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
5,008	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
5,209	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
5,409	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
5,610	1,130	0,000	1,260E+0	0,000E+0	0,000E+0
5,810	1,130	0,000	1,260E+0	0,000E+0	0,000E+0
6,010	1,130	0,000	1,111E+0	1,111E+0	0,000E+0
6,210	1,130	0,000	1,111E+0	1,111E+0	0,000E+0
6,412	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
6,612	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
6,812	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
7,012	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
7,212	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
7,411	1,140	0,000	1,130E+0	1,130E+0	0,000E+0
7,611	1,140	0,000	1,130E+0	1,130E+0	0,000E+0
7,813	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
8,013	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
8,215	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
8,414	1,130	0,000	1,140E+0	1,140E+0	0,000E+0
8,615	1,130	0,000	1,140E+0	1,140E+0	0,000E+0
8,815	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
9,016	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
9,216	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
9,416	1,050	0,000	1,130E+0	1,130E+0	0,000E+0
