t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	19,453	50,000	9,990E+1
2,000	19,453	50,000	9,990E+1
3,000	19,452	50,000	9,990E+1
4,000	19,452	50,000	9,990E+1
5,000	19,453	50,000	9,990E+1
6,000	19,456	50,000	9,990E+1
7,000	19,459	50,000	9,990E+1
8,000	19,462	50,000	9,990E+1
9,000	19,469	50,000	9,990E+1
10,000	19,473	50,000	9,990E+1
11,000	19,480	50,000	9,990E+1
12,000	19,488	50,000	9,990E+1
13,001	19,496	50,000	9,990E+1
14,001	19,506	50,000	9,990E+1
15,001	19,519	50,000	9,990E+1
16,001	19,530	50,000	9,990E+1
17,001	19,544	50,000	9,990E+1
18,001	19,556	50,000	9,990E+1
19,001	19,579	50,000	9,990E+1
20,001	19,599	50,000	9,990E+1
21,001	19,617	50,000	9,990E+1
22,001	19,633	50,000	9,990E+1
23,001	19,645	50,000	9,990E+1
24,001	19,665	50,000	9,990E+1
25,001	19,681	50,000	9,990E+1
26,001	19,705	50,000	9,990E+1
27,001	19,727	50,000	9,990E+1
28,001	19,745	50,000	9,990E+1
29,001	19,779	50,000	9,990E+1
30,001	19,791	50,000	9,990E+1
31,001	19,811	50,000	9,990E+1
32,001	19,825	50,000	9,990E+1
33,001	19,849	50,000	9,990E+1
34,001	19,877	50,000	9,990E+1
35,001	19,895	50,000	9,990E+1
36,001	19,919	50,000	9,990E+1
37,001	19,935	50,000	9,990E+1
38,001	19,965	50,000	9,990E+1
39,001	19,992	50,000	9,990E+1
40,001	19,994	50,000	9,990E+1
41,002	20,028	50,000	9,990E+1
42,002	20,028	50,000	9,989E+1
43,002	20,046	50,000	9,990E+1
44,002	20,079	50,000	9,990E+1
45,002	20,084	50,000	9,990E+1
46,002	20,109	50,000	9,990E+1
47,002	20,141	50,000	9,990E+1
48,002	20,172	50,000	9,990E+1
49,002	20,190	50,000	9,990E+1
50,002	20,216	50,000	9,990E+1
51,002	20,232	50,000	9,990E+1
52,002	20,247	50,000	9,990E+1
53,002	20,273	50,000	9,990E+1
54,002	20,297	50,000	9,990E+1
55,002	20,334	50,000	9,990E+1
56,002	20,372	50,000	9,976E+1
57,002	20,395	50,000	9,961E+1
58,002	20,420	50,000	9,990E+1
59,002	20,444	50,000	9,990E+1
60,002	20,455	50,000	9,990E+1
61,002	20,484	50,000	9,990E+1
62,002	20,518	50,000	9,990E+1
63,003	20,544	50,000	9,989E+1
64,003	20,559	50,000	9,990E+1
65,003	20,590	50,000	9,990E+1
66,003	20,608	50,000	9,990E+1
67,003	20,623	50,000	9,990E+1
68,003	20,634	50,000	9,990E+1
69,003	20,655	50,000	9,990E+1
70,003	20,652	50,000	9,990E+1
71,004	20,678	50,000	9,990E+1
72,004	20,708	50,000	9,990E+1
73,004	20,744	50,000	9,990E+1
74,004	20,749	50,000	9,980E+1
75,004	20,761	50,000	9,990E+1
76,004	20,816	50,000	9,990E+1
77,004	20,859	50,000	9,908E+1
78,004	20,881	50,000	9,865E+1
79,004	20,917	50,000	9,912E+1
80,004	20,935	50,000	9,901E+1
81,004	20,973	50,000	9,961E+1
82,004	20,998	50,000	9,941E+1
83,004	21,042	50,000	9,973E+1
84,004	21,048	50,000	9,930E+1
85,004	21,075	50,000	9,990E+1
86,004	21,081	50,000	9,990E+1
87,004	21,100	50,000	9,990E+1
88,004	21,149	50,000	9,990E+1
89,004	21,196	50,000	9,926E+1
90,004	21,197	50,000	9,872E+1
91,004	21,166	50,000	9,990E+1
92,004	21,194	50,000	9,990E+1
