t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,203	0,000	0,075	3,000E-1	1,700E+1
0,403	0,000	0,075	3,000E-1	1,700E+1
0,604	0,000	0,075	3,000E-1	1,700E+1
0,805	0,000	0,075	3,000E-1	1,700E+1
1,005	0,000	0,075	3,000E-1	1,700E+1
1,205	0,000	0,075	3,000E-1	1,700E+1
1,406	0,000	0,075	3,000E-1	1,700E+1
1,607	0,000	0,075	3,000E-1	1,700E+1
1,807	0,000	0,075	3,000E-1	1,700E+1
2,009	0,000	0,075	3,000E-1	1,700E+1
2,210	0,000	0,075	3,000E-1	1,700E+1
2,411	0,000	0,075	3,000E-1	1,700E+1
2,612	0,000	0,075	3,000E-1	1,700E+1
2,813	0,000	0,075	3,000E-1	1,700E+1
3,014	0,000	0,075	3,000E-1	1,700E+1
3,214	0,000	0,075	3,000E-1	1,700E+1
3,415	0,000	0,075	3,000E-1	1,700E+1
3,615	0,000	0,075	3,000E-1	1,700E+1
3,816	0,000	0,075	3,000E-1	1,700E+1
4,018	0,000	0,075	3,000E-1	1,700E+1
4,218	0,000	0,075	3,000E-1	1,700E+1
4,418	0,000	0,075	3,000E-1	1,700E+1
4,619	0,000	0,075	3,000E-1	1,700E+1
4,819	0,000	0,075	3,000E-1	1,700E+1
5,021	0,000	0,075	3,000E-1	1,700E+1
5,222	0,000	0,075	3,000E-1	1,700E+1
5,423	0,000	0,075	3,000E-1	1,700E+1
5,623	0,000	0,075	3,000E-1	1,700E+1
5,823	0,000	0,075	3,000E-1	1,700E+1
6,024	0,000	0,075	3,000E-1	1,700E+1
6,224	0,000	0,075	3,000E-1	1,700E+1
6,425	0,000	0,075	3,000E-1	1,700E+1
6,626	0,000	0,075	3,000E-1	1,700E+1
6,827	0,000	0,075	3,000E-1	1,700E+1
7,028	0,000	0,075	3,000E-1	1,700E+1
7,228	0,000	0,075	3,000E-1	1,700E+1
7,429	0,000	0,075	3,000E-1	1,700E+1
7,631	0,000	0,075	3,000E-1	1,700E+1
7,831	0,000	0,075	3,000E-1	1,700E+1
8,031	0,000	0,075	3,000E-1	1,700E+1
8,232	0,000	0,075	3,000E-1	1,700E+1
8,432	0,000	0,075	3,000E-1	1,700E+1
8,633	0,000	0,075	3,000E-1	1,700E+1
8,834	0,000	0,075	3,000E-1	1,700E+1
9,035	0,000	0,075	3,000E-1	1,700E+1
9,236	0,000	0,075	3,000E-1	1,700E+1
9,437	0,000	0,075	3,000E-1	1,700E+1
9,639	0,000	0,075	3,000E-1	1,700E+1
9,841	0,000	0,075	3,000E-1	1,700E+1
10,042	0,000	0,075	3,000E-1	1,700E+1
10,244	0,000	0,075	3,000E-1	1,700E+1
10,444	0,000	0,075	3,000E-1	1,700E+1
10,645	0,000	0,075	3,000E-1	1,700E+1
10,845	0,000	0,075	3,000E-1	1,700E+1
11,045	0,000	0,075	3,000E-1	1,700E+1
11,245	0,000	0,075	3,000E-1	1,700E+1
11,446	0,000	0,075	3,000E-1	1,700E+1
11,648	0,000	0,075	3,000E-1	1,700E+1
11,848	0,000	0,075	3,000E-1	1,700E+1
12,049	0,000	0,075	3,000E-1	1,700E+1
12,250	0,000	0,075	3,000E-1	1,700E+1
12,451	0,000	0,075	3,000E-1	1,700E+1
12,651	0,000	0,075	3,000E-1	1,700E+1
12,852	0,000	0,075	3,000E-1	1,700E+1
13,053	0,000	0,075	3,000E-1	1,700E+1
13,253	0,000	0,075	3,000E-1	1,700E+1
13,453	0,000	0,075	3,000E-1	1,700E+1
13,654	0,000	0,075	3,000E-1	1,700E+1
13,856	0,000	0,075	3,000E-1	1,700E+1
14,057	0,000	0,075	3,000E-1	1,700E+1
14,258	0,000	0,075	3,000E-1	1,700E+1
14,459	0,000	0,075	3,000E-1	1,700E+1
14,659	0,000	0,075	3,000E-1	1,700E+1
14,859	0,000	0,075	3,000E-1	1,700E+1
15,059	0,000	0,075	3,000E-1	1,700E+1
15,260	0,000	0,075	3,000E-1	1,700E+1
15,462	0,000	0,075	3,000E-1	1,700E+1
15,662	0,000	0,075	3,000E-1	1,700E+1
15,862	0,000	0,075	3,000E-1	1,700E+1
16,062	0,000	0,075	3,000E-1	1,700E+1
16,264	0,000	0,075	3,000E-1	1,700E+1
16,463	0,000	0,075	3,000E-1	1,700E+1
16,663	0,000	0,075	3,000E-1	1,700E+1
16,864	0,000	0,075	3,000E-1	1,700E+1
17,064	0,000	0,075	3,000E-1	1,700E+1
17,264	0,000	0,075	3,000E-1	1,700E+1
17,465	0,000	0,075	3,000E-1	1,700E+1
17,666	0,000	0,075	3,000E-1	1,700E+1
17,866	0,000	0,075	3,000E-1	1,700E+1
18,066	0,000	0,075	3,000E-1	1,700E+1
18,266	0,000	0,075	3,000E-1	1,700E+1
18,466	0,000	0,075	3,000E-1	1,700E+1
18,667	0,000	0,075	3,000E-1	1,700E+1
18,868	0,000	0,075	3,000E-1	1,700E+1
19,069	0,000	0,075	3,000E-1	1,700E+1
19,269	0,000	0,075	3,000E-1	1,700E+1
19,471	0,000	0,075	3,000E-1	1,700E+1
19,672	0,000	0,075	3,000E-1	1,700E+1
19,873	0,000	0,075	3,000E-1	1,700E+1
20,073	0,000	0,075	3,000E-1	1,700E+1
20,273	0,000	0,075	3,000E-1	1,700E+1
20,473	0,000	0,075	3,000E-1	1,700E+1
20,674	0,000	0,075	3,000E-1	1,700E+1
20,874	0,000	0,075	3,000E-1	1,700E+1
21,074	0,000	0,075	3,000E-1	1,700E+1
21,275	0,000	0,075	3,000E-1	1,700E+1
21,475	0,000	0,075	3,000E-1	1,700E+1
21,676	0,000	0,075	3,000E-1	1,700E+1
21,876	0,000	0,075	3,000E-1	1,700E+1
22,076	0,000	0,075	3,000E-1	1,700E+1
22,276	0,000	0,075	3,000E-1	1,700E+1
22,477	0,000	0,075	3,000E-1	1,700E+1
22,678	0,000	0,075	3,000E-1	1,700E+1
22,879	0,000	0,075	3,000E-1	1,700E+1
23,078	0,000	0,075	3,000E-1	1,700E+1
23,279	0,000	0,075	3,000E-1	1,700E+1
23,479	0,000	0,075	3,000E-1	1,700E+1
23,681	0,000	0,075	3,000E-1	1,700E+1
23,882	0,000	0,075	3,000E-1	1,700E+1
24,082	0,000	0,075	3,000E-1	1,700E+1
24,282	0,000	0,075	3,000E-1	1,700E+1
24,482	0,000	0,075	3,000E-1	1,700E+1
24,683	0,000	0,075	3,000E-1	1,700E+1
24,883	0,000	0,075	3,000E-1	1,700E+1
25,083	0,000	0,075	3,000E-1	1,700E+1
25,284	0,000	0,075	3,000E-1	1,700E+1
25,484	0,000	0,075	3,000E-1	1,700E+1
25,684	0,000	0,075	3,000E-1	1,700E+1
25,884	0,000	0,075	3,000E-1	1,700E+1
26,084	0,000	0,075	3,000E-1	1,700E+1
26,285	0,000	0,075	3,000E-1	1,700E+1
26,485	0,000	0,075	3,000E-1	1,700E+1
26,686	0,000	0,075	3,000E-1	1,700E+1
26,887	0,000	0,075	3,000E-1	1,700E+1
27,087	0,000	0,075	3,000E-1	1,700E+1
27,289	0,000	0,075	3,000E-1	1,700E+1
27,490	0,000	0,075	3,000E-1	1,700E+1
27,690	0,000	0,075	3,000E-1	1,700E+1
27,890	0,000	0,075	3,000E-1	1,700E+1
28,090	0,000	0,075	3,000E-1	1,700E+1
28,291	0,000	0,075	3,000E-1	1,700E+1
28,492	0,000	0,075	3,000E-1	1,700E+1
28,693	0,000	0,075	3,000E-1	1,700E+1
28,893	0,000	0,075	3,000E-1	1,700E+1
29,093	0,000	0,075	3,000E-1	1,700E+1
29,294	0,000	0,075	3,000E-1	1,700E+1
29,494	0,000	0,075	3,000E-1	1,700E+1
29,694	0,000	0,075	3,000E-1	1,700E+1
29,895	0,000	0,075	3,000E-1	1,700E+1
30,095	0,000	0,075	3,000E-1	1,700E+1
30,296	0,000	0,075	3,000E-1	1,700E+1
30,497	0,000	0,075	3,000E-1	1,700E+1
30,697	0,000	0,075	3,000E-1	1,700E+1
30,898	0,000	0,075	3,000E-1	1,700E+1
31,098	0,000	0,075	3,000E-1	1,700E+1
31,298	0,000	0,075	3,000E-1	1,700E+1
31,498	0,000	0,075	3,000E-1	1,700E+1
31,699	0,000	0,075	3,000E-1	1,700E+1
31,899	0,000	0,075	3,000E-1	1,700E+1
32,100	0,000	0,075	3,000E-1	1,700E+1
32,300	0,000	0,075	3,000E-1	1,700E+1
32,500	0,000	0,075	3,000E-1	1,700E+1
32,701	0,000	0,075	3,000E-1	1,700E+1
32,902	0,000	0,075	3,000E-1	1,700E+1
33,102	0,000	0,075	3,000E-1	1,700E+1
33,302	0,000	0,075	3,000E-1	1,700E+1
33,503	0,000	0,075	3,000E-1	1,700E+1
33,703	0,000	0,075	3,000E-1	1,700E+1
33,904	0,000	0,075	3,000E-1	1,700E+1
34,104	0,000	0,075	3,000E-1	1,700E+1
34,304	0,000	0,075	3,000E-1	1,700E+1
34,505	0,000	0,075	3,000E-1	1,700E+1
34,705	0,000	0,075	3,000E-1	1,700E+1
34,906	0,000	0,075	3,000E-1	1,700E+1
35,107	0,000	0,075	3,000E-1	1,700E+1
35,309	0,000	0,075	3,000E-1	1,700E+1
35,509	0,000	0,075	3,000E-1	1,700E+1
35,710	0,000	0,075	3,000E-1	1,700E+1
