t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	50,000	9,990E+1
1,000	49,915	50,000	9,990E+1
2,000	49,961	50,000	1,000E-2
3,000	49,949	50,000	1,000E-2
4,000	49,928	50,000	4,872E-1
5,000	49,913	50,000	1,302E+0
6,000	49,887	50,000	1,919E+0
7,000	49,904	50,000	2,953E+0
8,000	49,912	50,000	2,285E+0
9,000	49,906	50,000	1,992E+0
10,000	49,910	50,000	2,214E+0
11,000	49,855	50,000	2,060E+0
12,000	49,791	50,000	4,263E+0
13,000	49,809	50,000	6,805E+0
14,000	49,820	50,000	6,062E+0
15,001	49,861	50,000	5,674E+0
16,001	49,892	50,000	4,058E+0
17,001	49,877	50,000	2,836E+0
18,001	49,853	50,000	3,395E+0
19,001	49,783	50,000	4,392E+0
20,001	49,785	50,000	7,152E+0
21,001	49,823	50,000	7,082E+0
22,001	49,895	50,000	5,587E+0
23,001	49,880	50,000	2,742E+0
24,001	49,880	50,000	3,361E+0
25,001	49,816	50,000	3,346E+0
26,001	49,790	50,000	5,887E+0
27,001	49,822	50,000	6,946E+0
28,001	49,778	50,000	5,668E+0
29,001	49,752	50,000	7,439E+0
30,001	49,747	50,000	8,459E+0
31,001	49,800	50,000	8,669E+0
32,001	49,839	50,000	6,560E+0
33,001	49,813	50,000	5,044E+0
34,001	49,832	50,000	6,081E+0
35,001	49,841	50,000	5,317E+0
36,001	49,828	50,000	4,988E+0
37,001	49,782	50,000	5,530E+0
38,001	49,806	50,000	7,360E+0
39,001	49,802	50,000	6,419E+0
40,001	49,800	50,000	6,586E+0
41,001	49,799	50,000	6,655E+0
42,001	49,785	50,000	6,684E+0
43,001	49,763	50,000	7,247E+0
44,001	49,710	50,000	8,168E+0
45,002	49,692	50,000	1,026E+1
46,002	49,668	50,000	1,099E+1
47,002	49,698	50,000	1,197E+1
48,002	49,660	50,000	1,080E+1
49,002	49,658	50,000	1,232E+1
50,002	49,651	50,000	1,239E+1
51,002	49,620	50,000	1,266E+1
52,002	49,621	50,000	1,393E+1
53,002	49,559	50,000	1,389E+1
54,002	49,574	50,000	1,640E+1
55,002	49,554	50,000	1,580E+1
56,002	49,516	50,000	1,660E+1
57,002	49,579	50,000	1,816E+1
58,002	49,571	50,000	1,567E+1
59,002	49,565	50,000	1,600E+1
60,002	49,607	50,000	1,628E+1
61,002	49,647	50,000	1,462E+1
62,002	49,645	50,000	1,307E+1
63,002	49,657	50,000	1,314E+1
64,002	49,611	50,000	1,266E+1
65,002	49,596	50,000	1,450E+1
66,002	49,620	50,000	1,513E+1
67,003	49,645	50,000	1,420E+1
68,003	49,658	50,000	1,321E+1
69,003	49,678	50,000	1,273E+1
70,003	49,608	50,000	1,193E+1
71,003	49,599	50,000	1,476E+1
72,003	49,565	50,000	1,513E+1
73,003	49,581	50,000	1,650E+1
74,003	49,528	50,000	1,585E+1
75,003	49,511	50,000	1,798E+1
76,003	49,536	50,000	1,868E+1
77,003	49,561	50,000	1,771E+1
78,003	49,575	50,000	1,674E+1
79,003	49,533	50,000	1,623E+1
80,003	49,583	50,000	1,789E+1
81,003	49,620	50,000	1,593E+1
82,003	49,645	50,000	1,446E+1
83,003	49,624	50,000	1,349E+1
84,003	49,631	50,000	1,436E+1
85,003	49,621	50,000	1,410E+1
86,003	49,649	50,000	1,451E+1
87,003	49,656	50,000	1,342E+1
88,003	49,597	50,000	1,318E+1
89,003	49,611	50,000	1,553E+1
90,003	49,614	50,000	1,495E+1
91,003	49,626	50,000	1,485E+1
92,003	49,610	50,000	1,441E+1
93,003	49,593	50,000	1,506E+1
94,003	49,547	50,000	1,578E+1
95,004	49,532	50,000	1,760E+1
96,004	49,530	50,000	1,821E+1
97,004	49,537	50,000	1,831E+1
98,004	49,531	50,000	1,804E+1
99,004	49,516	50,000	1,831E+1
100,004	49,506	50,000	1,893E+1
101,004	49,487	50,000	1,935E+1
