t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	50,000	9,990E+1
1,000	22,747	50,000	9,990E+1
2,000	22,764	50,000	1,000E-2
3,000	22,769	50,000	5,472E-1
3,000	22,767	50,000	1,579E+0
5,002	22,776	50,000	2,889E+0
6,002	22,790	50,000	3,781E+0
7,002	22,793	50,000	4,455E+0
8,002	22,816	50,000	5,546E+0
9,002	22,825	50,000	5,882E+0
10,002	22,837	50,000	6,753E+0
11,002	22,816	50,000	7,486E+0
12,002	22,809	50,000	9,523E+0
13,002	22,806	50,000	1,103E+1
14,002	22,818	50,000	1,242E+1
15,002	22,822	50,000	1,315E+1
16,002	22,823	50,000	1,422E+1
17,002	22,822	50,000	1,540E+1
18,002	22,846	50,000	1,667E+1
19,002	22,843	50,000	1,693E+1
20,002	22,853	50,000	1,827E+1
21,002	22,860	50,000	1,912E+1
22,002	22,852	50,000	2,007E+1
23,002	22,861	50,000	2,159E+1
24,002	22,860	50,000	2,250E+1
25,002	22,867	50,000	2,377E+1
26,002	22,861	50,000	2,467E+1
27,002	22,851	50,000	2,614E+1
28,002	22,862	50,000	2,778E+1
29,002	22,864	50,000	2,857E+1
30,002	22,880	50,000	2,970E+1
31,002	22,858	50,000	3,029E+1
32,002	22,863	50,000	3,240E+1
33,002	22,864	50,000	3,345E+1
34,003	22,861	50,000	3,460E+1
35,003	22,864	50,000	3,598E+1
36,003	22,873	50,000	3,705E+1
37,003	22,876	50,000	3,794E+1
38,003	22,884	50,000	3,904E+1
39,003	22,880	50,000	3,995E+1
40,003	22,881	50,000	4,133E+1
41,003	22,883	50,000	4,250E+1
42,003	22,883	50,000	4,368E+1
43,003	22,889	50,000	4,489E+1
44,003	22,892	50,000	4,585E+1
45,003	22,909	50,000	4,696E+1
46,003	22,915	50,000	4,755E+1
47,003	22,907	50,000	4,854E+1
48,003	22,919	50,000	5,005E+1
49,003	22,924	50,000	5,080E+1
50,003	22,931	50,000	5,181E+1
51,003	22,938	50,000	5,275E+1
