t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,204	0,000	0,075	3,000E-1	1,700E+1
0,404	0,000	0,075	3,000E-1	1,700E+1
0,604	0,000	0,075	3,000E-1	1,700E+1
0,804	0,000	0,075	3,000E-1	1,700E+1
1,005	0,000	0,075	3,000E-1	1,700E+1
1,206	0,000	0,075	3,000E-1	1,700E+1
1,407	0,000	0,075	3,000E-1	1,700E+1
1,608	0,000	0,075	3,000E-1	1,700E+1
1,808	0,000	0,075	3,000E-1	1,700E+1
2,009	0,000	0,075	3,000E-1	1,700E+1
2,209	0,000	0,075	3,000E-1	1,700E+1
2,410	0,000	0,075	3,000E-1	1,700E+1
2,611	0,000	0,075	3,000E-1	1,700E+1
2,812	0,000	0,075	3,000E-1	1,700E+1
3,013	0,000	0,075	3,000E-1	1,700E+1
3,215	0,000	0,075	3,000E-1	1,700E+1
3,417	0,000	0,075	3,000E-1	1,700E+1
3,619	0,000	0,075	3,000E-1	1,700E+1
3,819	0,000	0,075	3,000E-1	1,700E+1
4,020	0,000	0,075	3,000E-1	1,700E+1
4,221	0,000	0,075	3,000E-1	1,700E+1
4,422	0,000	0,075	3,000E-1	1,700E+1
4,622	0,000	0,075	3,000E-1	1,700E+1
4,824	0,000	0,075	3,000E-1	1,700E+1
5,027	0,000	0,075	3,000E-1	1,700E+1
5,227	0,000	0,075	3,000E-1	1,700E+1
5,427	0,000	0,075	3,000E-1	1,700E+1
5,629	0,000	0,075	3,000E-1	1,700E+1
5,829	0,000	0,075	3,000E-1	1,700E+1
6,031	0,000	0,075	3,000E-1	1,700E+1
6,232	0,000	0,075	3,000E-1	1,700E+1
6,434	0,000	0,075	3,000E-1	1,700E+1
6,634	0,000	0,075	3,000E-1	1,700E+1
6,834	0,000	0,075	3,000E-1	1,700E+1
7,036	0,000	0,075	3,000E-1	1,700E+1
7,236	0,000	0,075	3,000E-1	1,700E+1
7,437	0,000	0,075	3,000E-1	1,700E+1
7,639	0,000	0,075	3,000E-1	1,700E+1
7,839	0,000	0,075	3,000E-1	1,700E+1
8,040	0,000	0,075	3,000E-1	1,700E+1
8,241	0,000	0,075	3,000E-1	1,700E+1
8,440	0,000	0,075	3,000E-1	1,700E+1
8,642	0,000	0,075	3,000E-1	1,700E+1
8,845	0,000	0,075	3,000E-1	1,700E+1
9,045	0,000	0,075	3,000E-1	1,700E+1
9,245	0,000	0,075	3,000E-1	1,700E+1
9,445	0,000	0,075	3,000E-1	1,700E+1
9,645	0,000	0,075	3,000E-1	1,700E+1
9,846	0,000	0,075	3,000E-1	1,700E+1
10,047	0,000	0,075	3,000E-1	1,700E+1
10,247	0,000	0,075	3,000E-1	1,700E+1
10,447	0,000	0,075	3,000E-1	1,700E+1
10,648	0,000	0,075	3,000E-1	1,700E+1
10,850	0,000	0,075	3,000E-1	1,700E+1
11,049	0,000	0,075	3,000E-1	1,700E+1
11,249	0,000	0,075	3,000E-1	1,700E+1
11,451	0,000	0,075	3,000E-1	1,700E+1
11,652	0,000	0,075	3,000E-1	1,700E+1
11,854	0,000	0,075	3,000E-1	1,700E+1
12,055	0,000	0,075	3,000E-1	1,700E+1
12,255	0,000	0,075	3,000E-1	1,700E+1
12,456	0,000	0,075	3,000E-1	1,700E+1
12,656	0,000	0,075	3,000E-1	1,700E+1
12,857	0,000	0,075	3,000E-1	1,700E+1
13,057	0,000	0,075	3,000E-1	1,700E+1
13,258	0,000	0,075	3,000E-1	1,700E+1
13,458	0,000	0,075	3,000E-1	1,700E+1
13,658	0,000	0,075	3,000E-1	1,700E+1
13,859	0,000	0,075	3,000E-1	1,700E+1
14,059	0,000	0,075	3,000E-1	1,700E+1
14,259	0,000	0,075	3,000E-1	1,700E+1
14,461	0,000	0,075	3,000E-1	1,700E+1
14,660	0,000	0,075	3,000E-1	1,700E+1
14,862	0,000	0,075	3,000E-1	1,700E+1
15,062	0,000	0,075	3,000E-1	1,700E+1
15,263	0,000	0,075	3,000E-1	1,700E+1
15,464	0,000	0,075	3,000E-1	1,700E+1
15,665	0,000	0,075	3,000E-1	1,700E+1
15,865	0,000	0,075	3,000E-1	1,700E+1
16,065	0,000	0,075	3,000E-1	1,700E+1
16,265	0,000	0,075	3,000E-1	1,700E+1
16,467	0,000	0,075	3,000E-1	1,700E+1
16,669	0,000	0,075	3,000E-1	1,700E+1
16,868	0,000	0,075	3,000E-1	1,700E+1
17,068	0,000	0,075	3,000E-1	1,700E+1
17,269	0,000	0,075	3,000E-1	1,700E+1
17,469	0,000	0,075	3,000E-1	1,700E+1
17,669	0,000	0,075	3,000E-1	1,700E+1
17,869	0,000	0,075	3,000E-1	1,700E+1
18,070	0,000	0,075	3,000E-1	1,700E+1
18,270	0,000	0,075	3,000E-1	1,700E+1
18,470	0,000	0,075	3,000E-1	1,700E+1
18,671	0,000	0,075	3,000E-1	1,700E+1
18,872	0,000	0,075	3,000E-1	1,700E+1
19,073	0,000	0,075	3,000E-1	1,700E+1
19,274	0,000	0,075	3,000E-1	1,700E+1
19,476	0,000	0,075	3,000E-1	1,700E+1
19,677	0,000	0,075	3,000E-1	1,700E+1
19,877	0,000	0,075	3,000E-1	1,700E+1
20,079	0,000	0,075	3,000E-1	1,700E+1
20,278	0,000	0,075	3,000E-1	1,700E+1
20,480	0,000	0,075	3,000E-1	1,700E+1
20,681	0,000	0,075	3,000E-1	1,700E+1
20,881	0,000	0,075	3,000E-1	1,700E+1
21,081	0,000	0,075	3,000E-1	1,700E+1
21,283	0,000	0,075	3,000E-1	1,700E+1
21,484	0,000	0,075	3,000E-1	1,700E+1
21,685	0,000	0,075	3,000E-1	1,700E+1
21,884	0,000	0,075	3,000E-1	1,700E+1
22,084	0,000	0,075	3,000E-1	1,700E+1
22,285	0,000	0,075	3,000E-1	1,700E+1
22,486	0,000	0,075	3,000E-1	1,700E+1
22,687	0,000	0,075	3,000E-1	1,700E+1
22,889	0,000	0,075	3,000E-1	1,700E+1
23,088	0,000	0,075	3,000E-1	1,700E+1
23,288	0,000	0,075	3,000E-1	1,700E+1
23,488	0,000	0,075	3,000E-1	1,700E+1
23,688	0,000	0,075	3,000E-1	1,700E+1
23,889	0,000	0,075	3,000E-1	1,700E+1
24,089	0,000	0,075	3,000E-1	1,700E+1
24,289	0,000	0,075	3,000E-1	1,700E+1
24,489	0,000	0,075	3,000E-1	1,700E+1
24,691	0,000	0,075	3,000E-1	1,700E+1
24,891	0,000	0,075	3,000E-1	1,700E+1
25,092	0,000	0,075	3,000E-1	1,700E+1
25,292	0,000	0,075	3,000E-1	1,700E+1
25,492	0,000	0,075	3,000E-1	1,700E+1
25,692	0,000	0,075	3,000E-1	1,700E+1
25,894	0,000	0,075	3,000E-1	1,700E+1
26,094	0,000	0,075	3,000E-1	1,700E+1
26,296	0,000	0,075	3,000E-1	1,700E+1
26,497	0,000	0,075	3,000E-1	1,700E+1
26,697	0,000	0,075	3,000E-1	1,700E+1
26,897	0,000	0,075	3,000E-1	1,700E+1
27,098	0,000	0,075	3,000E-1	1,700E+1
27,301	0,000	0,075	3,000E-1	1,700E+1
27,501	0,000	0,075	3,000E-1	1,700E+1
27,701	0,000	0,075	3,000E-1	1,700E+1
27,903	0,000	0,075	3,000E-1	1,700E+1
28,103	0,000	0,075	3,000E-1	1,700E+1
28,303	0,000	0,075	3,000E-1	1,700E+1
28,503	0,000	0,075	3,000E-1	1,700E+1
28,703	0,000	0,075	3,000E-1	1,700E+1
28,903	0,000	0,075	3,000E-1	1,700E+1
29,103	0,000	0,075	3,000E-1	1,700E+1
29,303	0,000	0,075	3,000E-1	1,700E+1
29,503	0,000	0,075	3,000E-1	1,700E+1
29,703	0,000	0,075	3,000E-1	1,700E+1
29,905	0,000	0,075	3,000E-1	1,700E+1
30,105	0,000	0,075	3,000E-1	1,700E+1
30,306	0,000	0,075	3,000E-1	1,700E+1
30,506	0,000	0,075	3,000E-1	1,700E+1
30,709	0,000	0,075	3,000E-1	1,700E+1
30,908	0,000	0,075	3,000E-1	1,700E+1
31,108	0,000	0,075	3,000E-1	1,700E+1
31,309	0,000	0,075	3,000E-1	1,700E+1
31,509	0,000	0,075	3,000E-1	1,700E+1
31,709	0,000	0,075	3,000E-1	1,700E+1
31,909	0,000	0,075	3,000E-1	1,700E+1
32,109	0,000	0,075	3,000E-1	1,700E+1
32,310	0,000	0,075	3,000E-1	1,700E+1
32,510	0,000	0,075	3,000E-1	1,700E+1
32,710	0,000	0,075	3,000E-1	1,700E+1
32,912	0,000	0,075	3,000E-1	1,700E+1
33,111	0,000	0,075	3,000E-1	1,700E+1
33,314	0,000	0,075	3,000E-1	1,700E+1
33,514	0,000	0,075	3,000E-1	1,700E+1
33,714	0,000	0,075	3,000E-1	1,700E+1
33,915	0,000	0,075	3,000E-1	1,700E+1
34,115	0,000	0,075	3,000E-1	1,700E+1
34,315	0,000	0,075	3,000E-1	1,700E+1
34,515	0,000	0,075	3,000E-1	1,700E+1
34,716	0,000	0,075	3,000E-1	1,700E+1
34,916	0,000	0,075	3,000E-1	1,700E+1
35,116	0,000	0,075	3,000E-1	1,700E+1
35,317	0,000	0,075	3,000E-1	1,700E+1
35,517	0,000	0,075	3,000E-1	1,700E+1
35,719	0,000	0,075	3,000E-1	1,700E+1
