t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,204	1,150	0,000	0,000E+0	0,000E+0	0,000E+0
0,404	1,150	0,000	0,000E+0	0,000E+0	0,000E+0
0,604	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
0,804	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,005	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,206	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,407	0,960	0,000	1,150E+0	1,150E+0	0,000E+0
1,608	0,960	0,000	1,150E+0	1,150E+0	0,000E+0
1,808	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,009	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,209	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,410	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,611	0,980	0,000	9,600E-1	9,600E-1	0,000E+0
2,812	0,980	0,000	9,600E-1	9,600E-1	0,000E+0
3,013	0,980	0,000	9,800E-1	9,800E-1	0,000E+0
3,215	0,980	0,000	9,800E-1	9,800E-1	0,000E+0
3,417	1,110	0,000	9,800E-1	9,800E-1	0,000E+0
3,619	1,110	0,000	9,800E-1	9,800E-1	0,000E+0
3,819	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,020	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,221	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,422	1,280	0,000	1,110E+0	1,110E+0	0,000E+0
4,622	1,280	0,000	1,110E+0	1,110E+0	0,000E+0
4,824	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
5,027	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
5,227	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
5,427	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
5,629	1,030	0,000	1,280E+0	0,000E+0	0,000E+0
5,829	1,030	0,000	1,280E+0	0,000E+0	0,000E+0
6,031	1,030	0,000	1,087E+0	1,087E+0	0,000E+0
6,232	1,030	0,000	1,087E+0	1,087E+0	0,000E+0
6,434	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
6,634	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
6,834	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
7,036	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
7,236	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
7,437	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
7,639	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
7,839	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
8,040	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
8,241	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
8,440	1,090	0,000	1,030E+0	1,030E+0	0,000E+0
8,642	1,090	0,000	1,030E+0	1,030E+0	0,000E+0
8,845	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
9,045	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
9,245	1,040	0,000	1,090E+0	1,090E+0	0,000E+0
9,445	1,040	0,000	1,090E+0	1,090E+0	0,000E+0
