t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,201	0,000	0,075	3,000E-1	1,700E+1
0,402	0,000	0,075	3,000E-1	1,700E+1
0,603	0,000	0,075	3,000E-1	1,700E+1
0,804	0,000	0,075	3,000E-1	1,700E+1
1,004	0,000	0,075	3,000E-1	1,700E+1
1,205	0,000	0,075	3,000E-1	1,700E+1
1,405	0,000	0,075	3,000E-1	1,700E+1
1,605	0,000	0,075	3,000E-1	1,700E+1
1,805	0,000	0,075	3,000E-1	1,700E+1
2,005	0,000	0,075	3,000E-1	1,700E+1
2,205	0,000	0,075	3,000E-1	1,700E+1
2,406	0,000	0,075	3,000E-1	1,700E+1
2,607	0,000	0,075	3,000E-1	1,700E+1
2,808	0,000	0,075	3,000E-1	1,700E+1
3,007	0,000	0,075	3,000E-1	1,700E+1
3,207	0,000	0,075	3,000E-1	1,700E+1
3,407	0,000	0,075	3,000E-1	1,700E+1
3,607	0,000	0,075	3,000E-1	1,700E+1
3,807	0,000	0,075	3,000E-1	1,700E+1
4,008	0,000	0,075	3,000E-1	1,700E+1
4,208	0,000	0,075	3,000E-1	1,700E+1
4,408	0,000	0,075	3,000E-1	1,700E+1
4,608	0,000	0,075	3,000E-1	1,700E+1
4,808	0,000	0,075	3,000E-1	1,700E+1
5,008	0,000	0,075	3,000E-1	1,700E+1
5,208	0,000	0,075	3,000E-1	1,700E+1
5,409	0,000	0,075	3,000E-1	1,700E+1
5,609	0,000	0,075	3,000E-1	1,700E+1
5,809	0,000	0,075	3,000E-1	1,700E+1
6,010	0,000	0,075	3,000E-1	1,700E+1
6,211	0,000	0,075	3,000E-1	1,700E+1
6,411	0,000	0,075	3,000E-1	1,700E+1
6,612	0,000	0,075	3,000E-1	1,700E+1
6,811	0,000	0,075	3,000E-1	1,700E+1
7,012	0,000	0,075	3,000E-1	1,700E+1
7,212	0,000	0,075	3,000E-1	1,700E+1
7,414	0,000	0,075	3,000E-1	1,700E+1
7,614	0,000	0,075	3,000E-1	1,700E+1
7,815	0,000	0,075	3,000E-1	1,700E+1
8,014	0,000	0,075	3,000E-1	1,700E+1
8,214	0,000	0,075	3,000E-1	1,700E+1
8,414	0,000	0,075	3,000E-1	1,700E+1
8,615	0,000	0,075	3,000E-1	1,700E+1
8,815	0,000	0,075	3,000E-1	1,700E+1
9,014	0,000	0,075	3,000E-1	1,700E+1
9,214	0,000	0,075	3,000E-1	1,700E+1
9,416	0,000	0,075	3,000E-1	1,700E+1
9,616	0,000	0,075	3,000E-1	1,700E+1
9,816	0,000	0,075	3,000E-1	1,700E+1
10,017	0,000	0,075	3,000E-1	1,700E+1
10,216	0,000	0,075	3,000E-1	1,700E+1
10,417	0,000	0,075	3,000E-1	1,700E+1
10,618	0,000	0,075	3,000E-1	1,700E+1
10,818	0,000	0,075	3,000E-1	1,700E+1
11,018	0,000	0,075	3,000E-1	1,700E+1
11,218	0,000	0,075	3,000E-1	1,700E+1
11,418	0,000	0,075	3,000E-1	1,700E+1
11,618	0,000	0,075	3,000E-1	1,700E+1
11,819	0,000	0,075	3,000E-1	1,700E+1
12,020	0,000	0,075	3,000E-1	1,700E+1
12,221	0,000	0,075	3,000E-1	1,700E+1
12,423	0,000	0,075	3,000E-1	1,700E+1
12,623	0,000	0,075	3,000E-1	1,700E+1
12,822	0,000	0,075	3,000E-1	1,700E+1
13,023	0,000	0,075	3,000E-1	1,700E+1
13,222	0,000	0,075	3,000E-1	1,700E+1
13,422	0,000	0,075	3,000E-1	1,700E+1
13,624	0,000	0,075	3,000E-1	1,700E+1
13,824	0,000	0,075	3,000E-1	1,700E+1
14,023	0,000	0,075	3,000E-1	1,700E+1
14,224	0,000	0,075	3,000E-1	1,700E+1
14,424	0,000	0,075	3,000E-1	1,700E+1
14,624	0,000	0,075	3,000E-1	1,700E+1
14,825	0,000	0,075	3,000E-1	1,700E+1
15,024	0,000	0,075	3,000E-1	1,700E+1
15,224	0,000	0,075	3,000E-1	1,700E+1
15,425	0,000	0,075	3,000E-1	1,700E+1
15,624	0,000	0,075	3,000E-1	1,700E+1
15,824	0,000	0,075	3,000E-1	1,700E+1
16,025	0,000	0,075	3,000E-1	1,700E+1
16,225	0,000	0,075	3,000E-1	1,700E+1
16,425	0,000	0,075	3,000E-1	1,700E+1
16,626	0,000	0,075	3,000E-1	1,700E+1
16,827	0,000	0,075	3,000E-1	1,700E+1
17,028	0,000	0,075	3,000E-1	1,700E+1
17,228	0,000	0,075	3,000E-1	1,700E+1
17,429	0,000	0,075	3,000E-1	1,700E+1
17,628	0,000	0,075	3,000E-1	1,700E+1
17,828	0,000	0,075	3,000E-1	1,700E+1
18,029	0,000	0,075	3,000E-1	1,700E+1
18,229	0,000	0,075	3,000E-1	1,700E+1
18,429	0,000	0,075	3,000E-1	1,700E+1
18,630	0,000	0,075	3,000E-1	1,700E+1
18,830	0,000	0,075	3,000E-1	1,700E+1
19,031	0,000	0,075	3,000E-1	1,700E+1
19,231	0,000	0,075	3,000E-1	1,700E+1
19,431	0,000	0,075	3,000E-1	1,700E+1
19,631	0,000	0,075	3,000E-1	1,700E+1
19,832	0,000	0,075	3,000E-1	1,700E+1
20,033	0,000	0,075	3,000E-1	1,700E+1
20,232	0,000	0,075	3,000E-1	1,700E+1
20,432	0,000	0,075	3,000E-1	1,700E+1
20,634	0,000	0,075	3,000E-1	1,700E+1
20,834	0,000	0,075	3,000E-1	1,700E+1
21,033	0,000	0,075	3,000E-1	1,700E+1
21,233	0,000	0,075	3,000E-1	1,700E+1
21,433	0,000	0,075	3,000E-1	1,700E+1
21,633	0,000	0,075	3,000E-1	1,700E+1
21,834	0,000	0,075	3,000E-1	1,700E+1
22,034	0,000	0,075	3,000E-1	1,700E+1
22,234	0,000	0,075	3,000E-1	1,700E+1
22,434	0,000	0,075	3,000E-1	1,700E+1
22,636	0,000	0,075	3,000E-1	1,700E+1
22,835	0,000	0,075	3,000E-1	1,700E+1
23,036	0,000	0,075	3,000E-1	1,700E+1
23,236	0,000	0,075	3,000E-1	1,700E+1
23,436	0,000	0,075	3,000E-1	1,700E+1
23,636	0,000	0,075	3,000E-1	1,700E+1
23,838	0,000	0,075	3,000E-1	1,700E+1
24,037	0,000	0,075	3,000E-1	1,700E+1
24,237	0,000	0,075	3,000E-1	1,700E+1
24,438	0,000	0,075	3,000E-1	1,700E+1
24,637	0,000	0,075	3,000E-1	1,700E+1
24,838	0,000	0,075	3,000E-1	1,700E+1
25,038	0,000	0,075	3,000E-1	1,700E+1
25,238	0,000	0,075	3,000E-1	1,700E+1
25,438	0,000	0,075	3,000E-1	1,700E+1
25,638	0,000	0,075	3,000E-1	1,700E+1
25,838	0,000	0,075	3,000E-1	1,700E+1
26,040	0,000	0,075	3,000E-1	1,700E+1
26,239	0,000	0,075	3,000E-1	1,700E+1
26,440	0,000	0,075	3,000E-1	1,700E+1
26,641	0,000	0,075	3,000E-1	1,700E+1
26,842	0,000	0,075	3,000E-1	1,700E+1
27,042	0,000	0,075	3,000E-1	1,700E+1
27,243	0,000	0,075	3,000E-1	1,700E+1
27,444	0,000	0,075	3,000E-1	1,700E+1
27,643	0,000	0,075	3,000E-1	1,700E+1
27,843	0,000	0,075	3,000E-1	1,700E+1
28,043	0,000	0,075	3,000E-1	1,700E+1
28,244	0,000	0,075	3,000E-1	1,700E+1
28,445	0,000	0,075	3,000E-1	1,700E+1
28,646	0,000	0,075	3,000E-1	1,700E+1
28,845	0,000	0,075	3,000E-1	1,700E+1
29,045	0,000	0,075	3,000E-1	1,700E+1
29,246	0,000	0,075	3,000E-1	1,700E+1
29,446	0,000	0,075	3,000E-1	1,700E+1
29,646	0,000	0,075	3,000E-1	1,700E+1
29,846	0,000	0,075	3,000E-1	1,700E+1
30,047	0,000	0,075	3,000E-1	1,700E+1
30,247	0,000	0,075	3,000E-1	1,700E+1
30,448	0,000	0,075	3,000E-1	1,700E+1
30,649	0,000	0,075	3,000E-1	1,700E+1
30,848	0,000	0,075	3,000E-1	1,700E+1
31,048	0,000	0,075	3,000E-1	1,700E+1
31,248	0,000	0,075	3,000E-1	1,700E+1
31,448	0,000	0,075	3,000E-1	1,700E+1
31,648	0,000	0,075	3,000E-1	1,700E+1
31,848	0,000	0,075	3,000E-1	1,700E+1
32,048	0,000	0,075	3,000E-1	1,700E+1
32,248	0,000	0,075	3,000E-1	1,700E+1
32,448	0,000	0,075	3,000E-1	1,700E+1
32,648	0,000	0,075	3,000E-1	1,700E+1
32,848	0,000	0,075	3,000E-1	1,700E+1
33,048	0,000	0,075	3,000E-1	1,700E+1
33,250	0,000	0,075	3,000E-1	1,700E+1
33,450	0,000	0,075	3,000E-1	1,700E+1
33,651	0,000	0,075	3,000E-1	1,700E+1
33,851	0,000	0,075	3,000E-1	1,700E+1
34,052	0,000	0,075	3,000E-1	1,700E+1
34,254	0,000	0,075	3,000E-1	1,700E+1
34,453	0,000	0,075	3,000E-1	1,700E+1
34,653	0,000	0,075	3,000E-1	1,700E+1
34,855	0,000	0,075	3,000E-1	1,700E+1
35,054	0,000	0,075	3,000E-1	1,700E+1
35,254	0,000	0,075	3,000E-1	1,700E+1
35,454	0,000	0,075	3,000E-1	1,700E+1
35,655	0,000	0,075	3,000E-1	1,700E+1
