t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	58,645	25,000	9,990E+1
2,000	58,594	25,000	1,000E-2
3,000	58,556	25,000	4,918E-1
3,000	58,556	25,000	4,608E-1
4,001	58,530	60,000	9,990E+1
5,004	58,529	60,000	9,990E+1
6,010	58,459	60,000	9,990E+1
7,019	58,448	60,000	9,990E+1
8,025	58,486	60,000	9,848E+1
9,032	58,526	60,000	9,695E+1
10,037	58,573	60,000	9,513E+1
11,045	58,597	60,000	9,425E+1
12,050	58,516	60,000	9,754E+1
13,055	58,433	60,000	9,990E+1
14,061	58,508	60,000	9,702E+1
15,066	58,404	60,000	9,990E+1
16,071	58,422	60,000	9,930E+1
17,077	58,453	60,000	9,810E+1
18,082	58,535	60,000	9,496E+1
19,089	58,584	60,000	9,309E+1
20,095	58,614	60,000	9,194E+1
21,100	58,623	60,000	9,167E+1
22,108	58,597	60,000	9,274E+1
23,111	58,602	60,000	9,261E+1
24,118	58,600	60,000	9,273E+1
25,124	58,661	60,000	9,039E+1
26,129	58,663	60,000	9,038E+1
27,134	58,756	60,000	8,675E+1
28,142	58,732	60,000	8,776E+1
29,147	58,752	60,000	8,700E+1
30,153	58,817	60,000	8,452E+1
31,158	58,776	60,000	8,618E+1
32,165	58,805	60,000	8,509E+1
33,171	58,844	60,000	8,360E+1
34,176	58,905	60,000	8,123E+1
35,183	58,903	60,000	8,134E+1
36,189	58,841	60,000	8,387E+1
37,194	58,749	60,000	8,754E+1
38,201	58,752	60,000	8,748E+1
39,207	58,808	60,000	8,534E+1
40,212	58,744	60,000	8,793E+1
41,218	58,778	60,000	8,664E+1
42,225	58,835	60,000	8,444E+1
43,230	58,813	60,000	8,536E+1
44,236	58,814	60,000	8,539E+1
45,241	58,850	60,000	8,398E+1
46,248	58,742	60,000	8,831E+1
47,254	58,727	60,000	8,898E+1
48,259	58,627	60,000	9,298E+1
49,264	58,624	60,000	9,318E+1
50,272	58,671	60,000	9,138E+1
51,277	58,689	60,000	9,071E+1
52,282	58,609	60,000	9,396E+1
53,290	58,641	60,000	9,275E+1
54,293	58,680	60,000	9,127E+1
55,298	58,719	60,000	8,980E+1
56,304	58,778	60,000	8,750E+1
57,311	58,755	60,000	8,849E+1
58,317	58,719	60,000	8,995E+1
59,322	58,678	60,000	9,162E+1
60,327	58,665	60,000	9,223E+1
61,333	58,730	60,000	8,968E+1
62,340	58,754	60,000	8,880E+1
63,346	58,799	60,000	8,706E+1
64,351	58,895	60,000	8,335E+1
65,358	58,956	60,000	8,098E+1
66,364	58,897	60,000	8,336E+1
67,369	58,849	60,000	8,530E+1
68,375	58,864	60,000	8,475E+1
69,382	58,847	60,000	8,546E+1
70,387	58,847	60,000	8,553E+1
71,393	58,956	60,000	8,128E+1
72,398	58,969	60,000	8,080E+1
73,405	59,022	60,000	7,876E+1
74,411	58,998	60,000	7,974E+1
75,416	59,006	60,000	7,947E+1
76,423	59,008	60,000	7,943E+1
77,429	59,014	60,000	7,922E+1
78,434	59,001	60,000	7,980E+1
79,439	59,069	60,000	7,715E+1
80,447	58,934	60,000	8,254E+1
81,450	58,935	60,000	8,253E+1
82,455	58,976	60,000	8,097E+1
83,461	58,974	60,000	8,110E+1
84,468	59,093	60,000	7,643E+1
85,473	59,108	60,000	7,587E+1
86,479	59,086	60,000	7,679E+1
87,484	59,097	60,000	7,637E+1
88,491	59,123	60,000	7,540E+1
89,497	59,187	60,000	7,291E+1
90,502	59,218	60,000	7,173E+1
91,509	59,254	60,000	7,034E+1
92,515	59,252	60,000	7,044E+1
93,520	59,257	60,000	7,027E+1
94,526	59,236	60,000	7,112E+1
95,531	59,160	60,000	7,416E+1
96,538	59,098	60,000	7,668E+1
97,544	59,064	60,000	7,807E+1
98,549	59,076	60,000	7,763E+1
99,558	59,071	60,000	7,787E+1
100,564	59,076	60,000	7,774E+1
101,569	59,057	60,000	7,778E+1
102,574	59,052	60,000	7,855E+1
103,582	59,084	60,000	7,879E+1
104,588	59,109	60,000	7,755E+1
105,593	59,177	60,000	7,660E+1
106,598	59,142	60,000	7,397E+1
107,605	59,154	60,000	7,541E+1
108,611	59,213	60,000	7,495E+1
109,616	59,250	60,000	7,265E+1
110,623	59,311	60,000	7,122E+1
111,629	59,363	60,000	6,884E+1
112,634	59,465	60,000	6,681E+1
113,639	59,563	60,000	6,282E+1
114,645	59,485	60,000	5,894E+1
115,652	59,527	60,000	6,205E+1
116,657	59,477	60,000	6,041E+1
117,663	59,426	60,000	6,243E+1
118,670	59,487	60,000	6,445E+1
119,675	59,447	60,000	6,206E+1
120,681	59,401	60,000	6,369E+1
121,686	59,375	60,000	6,554E+1
122,693	59,367	60,000	6,658E+1
123,699	59,353	60,000	6,694E+1
