t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,003	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,205	1,070	0,000	1,419E+2	1,419E+2	0,000E+0
0,405	1,070	0,000	1,419E+2	1,419E+2	0,000E+0
0,604	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
0,805	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,004	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,205	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,406	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,607	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,806	0,870	0,000	1,070E+0	1,070E+0	0,000E+0
2,006	0,870	0,000	1,070E+0	1,070E+0	0,000E+0
2,208	0,870	0,000	8,700E-1	8,700E-1	0,000E+0
2,407	0,870	0,000	8,700E-1	8,700E-1	0,000E+0
2,608	1,040	0,000	8,700E-1	8,700E-1	0,000E+0
2,809	1,040	0,000	8,700E-1	8,700E-1	0,000E+0
3,011	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
3,210	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
3,410	1,370	0,000	1,040E+0	1,040E+0	0,000E+0
3,612	1,370	0,000	1,040E+0	1,040E+0	0,000E+0
3,812	1,370	0,000	1,370E+0	1,370E+0	0,000E+0
4,011	1,370	0,000	1,370E+0	1,370E+0	0,000E+0
4,213	1,370	0,000	1,370E+0	1,370E+0	0,000E+0
4,414	1,370	0,000	1,370E+0	1,370E+0	0,000E+0
4,613	1,090	0,000	1,370E+0	1,370E+0	0,000E+0
4,814	1,090	0,000	1,370E+0	1,370E+0	0,000E+0
5,016	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
5,217	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
5,418	1,080	0,000	1,090E+0	0,000E+0	0,000E+0
5,619	1,080	0,000	1,090E+0	0,000E+0	0,000E+0
5,818	1,080	0,000	1,090E+0	0,000E+0	0,000E+0
6,019	1,080	0,000	1,082E+0	1,082E+0	0,000E+0
6,220	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
6,421	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
6,621	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
6,824	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
7,024	1,100	0,000	1,080E+0	1,080E+0	0,000E+0
7,225	1,100	0,000	1,080E+0	1,080E+0	0,000E+0
7,425	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
