t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
1,000	20,044	70,000	9,990E+1
2,000	20,041	70,000	1,000E-2
2,000	20,044	70,000	2,424E+0
4,001	20,044	70,000	4,521E+0
5,001	20,046	70,000	6,819E+0
6,001	20,047	70,000	8,995E+0
7,001	20,051	70,000	1,119E+1
8,001	20,055	70,000	1,327E+1
9,001	20,056	70,000	1,539E+1
10,001	20,059	70,000	1,758E+1
11,001	20,058	70,000	1,975E+1
12,001	20,063	70,000	2,201E+1
13,001	20,071	70,000	2,409E+1
14,001	20,075	70,000	2,602E+1
15,001	20,078	70,000	2,814E+1
16,001	20,085	70,000	3,024E+1
17,001	20,089	70,000	3,223E+1
18,001	20,092	70,000	3,435E+1
19,001	20,096	70,000	3,646E+1
20,001	20,099	70,000	3,854E+1
21,001	20,102	70,000	4,067E+1
22,001	20,103	70,000	4,285E+1
23,001	20,104	70,000	4,502E+1
24,001	20,108	70,000	4,725E+1
25,001	20,110	70,000	4,933E+1
26,001	20,114	70,000	5,154E+1
27,001	20,114	70,000	5,363E+1
28,001	20,117	70,000	5,587E+1
29,001	20,122	70,000	5,798E+1
30,001	20,131	70,000	6,008E+1
31,001	20,136	70,000	6,193E+1
32,001	20,137	70,000	6,403E+1
33,001	20,142	70,000	6,620E+1
34,001	20,151	70,000	6,825E+1
35,002	20,159	70,000	7,018E+1
36,002	20,166	70,000	7,212E+1
37,002	20,173	70,000	7,407E+1
38,002	20,180	70,000	7,602E+1
39,002	20,188	70,000	7,800E+1
40,002	20,209	70,000	7,993E+1
41,002	20,224	70,000	8,139E+1
42,002	20,244	70,000	8,302E+1
43,002	20,258	70,000	8,448E+1
44,002	20,265	70,000	8,617E+1
45,002	20,273	70,000	8,814E+1
46,002	20,282	70,000	9,006E+1
47,002	20,290	70,000	9,194E+1
48,002	20,300	70,000	9,388E+1
49,002	20,314	70,000	9,573E+1
50,002	20,333	70,000	9,740E+1
51,002	20,358	70,000	9,891E+1
52,002	20,372	70,000	9,990E+1
53,002	20,380	70,000	9,990E+1
54,002	20,394	70,000	9,990E+1
55,002	20,416	70,000	9,990E+1
56,002	20,437	70,000	9,990E+1
57,002	20,454	70,000	9,990E+1
58,002	20,470	70,000	9,990E+1
59,002	20,486	70,000	9,990E+1
60,002	20,509	70,000	9,990E+1
61,002	20,524	70,000	9,990E+1
62,002	20,550	70,000	9,990E+1
63,002	20,571	70,000	9,990E+1
64,003	20,596	70,000	9,990E+1
65,003	20,619	70,000	9,990E+1
66,003	20,636	70,000	9,990E+1
67,003	20,648	70,000	9,990E+1
68,003	20,663	70,000	9,990E+1
69,003	20,686	70,000	9,990E+1
70,003	20,701	70,000	9,990E+1
71,003	20,711	70,000	9,990E+1
72,003	20,736	70,000	9,990E+1
73,003	20,752	70,000	9,990E+1
74,003	20,783	70,000	9,990E+1
75,003	20,794	70,000	9,990E+1
76,003	20,811	70,000	9,990E+1
77,003	20,834	70,000	9,990E+1
78,003	20,841	70,000	9,990E+1
79,003	20,867	70,000	9,990E+1
80,003	20,913	70,000	9,990E+1
81,003	20,919	70,000	9,990E+1
