t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,204	0,000	0,075	3,000E-1	1,700E+1
0,403	0,000	0,075	3,000E-1	1,700E+1
0,604	0,000	0,075	3,000E-1	1,700E+1
0,805	0,000	0,075	3,000E-1	1,700E+1
1,005	0,000	0,075	3,000E-1	1,700E+1
1,206	0,000	0,075	3,000E-1	1,700E+1
1,408	0,000	0,075	3,000E-1	1,700E+1
1,611	0,000	0,075	3,000E-1	1,700E+1
1,811	0,000	0,075	3,000E-1	1,700E+1
2,013	0,000	0,075	3,000E-1	1,700E+1
2,215	0,000	0,075	3,000E-1	1,700E+1
2,415	0,000	0,075	3,000E-1	1,700E+1
2,615	0,000	0,075	3,000E-1	1,700E+1
2,815	0,000	0,075	3,000E-1	1,700E+1
3,016	0,000	0,075	3,000E-1	1,700E+1
3,217	0,000	0,075	3,000E-1	1,700E+1
3,418	0,000	0,075	3,000E-1	1,700E+1
3,620	0,000	0,075	3,000E-1	1,700E+1
3,820	0,000	0,075	3,000E-1	1,700E+1
4,020	0,000	0,075	3,000E-1	1,700E+1
4,221	0,000	0,075	3,000E-1	1,700E+1
4,422	0,000	0,075	3,000E-1	1,700E+1
4,623	0,000	0,075	3,000E-1	1,700E+1
4,824	0,000	0,075	3,000E-1	1,700E+1
5,024	0,000	0,075	3,000E-1	1,700E+1
5,227	0,000	0,075	3,000E-1	1,700E+1
5,428	0,000	0,075	3,000E-1	1,700E+1
5,628	0,000	0,075	3,000E-1	1,700E+1
5,829	0,000	0,075	3,000E-1	1,700E+1
6,030	0,000	0,075	3,000E-1	1,700E+1
6,232	0,000	0,075	3,000E-1	1,700E+1
6,433	0,000	0,075	3,000E-1	1,700E+1
6,634	0,000	0,075	3,000E-1	1,700E+1
6,834	0,000	0,075	3,000E-1	1,700E+1
7,035	0,000	0,075	3,000E-1	1,700E+1
7,235	0,000	0,075	3,000E-1	1,700E+1
7,436	0,000	0,075	3,000E-1	1,700E+1
7,637	0,000	0,075	3,000E-1	1,700E+1
7,839	0,000	0,075	3,000E-1	1,700E+1
8,039	0,000	0,075	3,000E-1	1,700E+1
8,240	0,000	0,075	3,000E-1	1,700E+1
8,441	0,000	0,075	3,000E-1	1,700E+1
8,643	0,000	0,075	3,000E-1	1,700E+1
8,844	0,000	0,075	3,000E-1	1,700E+1
9,044	0,000	0,075	3,000E-1	1,700E+1
9,244	0,000	0,075	3,000E-1	1,700E+1
9,444	0,000	0,075	3,000E-1	1,700E+1
9,645	0,000	0,075	3,000E-1	1,700E+1
9,847	0,000	0,075	3,000E-1	1,700E+1
10,047	0,000	0,075	3,000E-1	1,700E+1
10,247	0,000	0,075	3,000E-1	1,700E+1
10,449	0,000	0,075	3,000E-1	1,700E+1
10,649	0,000	0,075	3,000E-1	1,700E+1
10,849	0,000	0,075	3,000E-1	1,700E+1
11,049	0,000	0,075	3,000E-1	1,700E+1
11,249	0,000	0,075	3,000E-1	1,700E+1
11,449	0,000	0,075	3,000E-1	1,700E+1
11,649	0,000	0,075	3,000E-1	1,700E+1
11,851	0,000	0,075	3,000E-1	1,700E+1
12,050	0,000	0,075	3,000E-1	1,700E+1
12,250	0,000	0,075	3,000E-1	1,700E+1
12,450	0,000	0,075	3,000E-1	1,700E+1
12,650	0,000	0,075	3,000E-1	1,700E+1
12,850	0,000	0,075	3,000E-1	1,700E+1
13,051	0,000	0,075	3,000E-1	1,700E+1
13,251	0,000	0,075	3,000E-1	1,700E+1
13,451	0,000	0,075	3,000E-1	1,700E+1
13,652	0,000	0,075	3,000E-1	1,700E+1
13,852	0,000	0,075	3,000E-1	1,700E+1
14,052	0,000	0,075	3,000E-1	1,700E+1
14,253	0,000	0,075	3,000E-1	1,700E+1
14,454	0,000	0,075	3,000E-1	1,700E+1
14,656	0,000	0,075	3,000E-1	1,700E+1
14,857	0,000	0,075	3,000E-1	1,700E+1
15,059	0,000	0,075	3,000E-1	1,700E+1
15,259	0,000	0,075	3,000E-1	1,700E+1
15,460	0,000	0,075	3,000E-1	1,700E+1
15,661	0,000	0,075	3,000E-1	1,700E+1
15,861	0,000	0,075	3,000E-1	1,700E+1
16,061	0,000	0,075	3,000E-1	1,700E+1
16,262	0,000	0,075	3,000E-1	1,700E+1
16,462	0,000	0,075	3,000E-1	1,700E+1
16,664	0,000	0,075	3,000E-1	1,700E+1
16,864	0,000	0,075	3,000E-1	1,700E+1
17,064	0,000	0,075	3,000E-1	1,700E+1
17,265	0,000	0,075	3,000E-1	1,700E+1
17,465	0,000	0,075	3,000E-1	1,700E+1
17,665	0,000	0,075	3,000E-1	1,700E+1
17,865	0,000	0,075	3,000E-1	1,700E+1
18,065	0,000	0,075	3,000E-1	1,700E+1
18,266	0,000	0,075	3,000E-1	1,700E+1
18,466	0,000	0,075	3,000E-1	1,700E+1
18,665	0,000	0,075	3,000E-1	1,700E+1
18,865	0,000	0,075	3,000E-1	1,700E+1
19,065	0,000	0,075	3,000E-1	1,700E+1
19,267	0,000	0,075	3,000E-1	1,700E+1
19,466	0,000	0,075	3,000E-1	1,700E+1
19,666	0,000	0,075	3,000E-1	1,700E+1
19,867	0,000	0,075	3,000E-1	1,700E+1
20,067	0,000	0,075	3,000E-1	1,700E+1
20,268	0,000	0,075	3,000E-1	1,700E+1
20,470	0,000	0,075	3,000E-1	1,700E+1
20,670	0,000	0,075	3,000E-1	1,700E+1
20,871	0,000	0,075	3,000E-1	1,700E+1
21,072	0,000	0,075	3,000E-1	1,700E+1
21,272	0,000	0,075	3,000E-1	1,700E+1
21,474	0,000	0,075	3,000E-1	1,700E+1
21,674	0,000	0,075	3,000E-1	1,700E+1
21,875	0,000	0,075	3,000E-1	1,700E+1
22,075	0,000	0,075	3,000E-1	1,700E+1
22,275	0,000	0,075	3,000E-1	1,700E+1
22,476	0,000	0,075	3,000E-1	1,700E+1
22,676	0,000	0,075	3,000E-1	1,700E+1
22,876	0,000	0,075	3,000E-1	1,700E+1
23,076	0,000	0,075	3,000E-1	1,700E+1
23,277	0,000	0,075	3,000E-1	1,700E+1
23,476	0,000	0,075	3,000E-1	1,700E+1
23,676	0,000	0,075	3,000E-1	1,700E+1
23,878	0,000	0,075	3,000E-1	1,700E+1
24,079	0,000	0,075	3,000E-1	1,700E+1
24,280	0,000	0,075	3,000E-1	1,700E+1
24,481	0,000	0,075	3,000E-1	1,700E+1
24,682	0,000	0,075	3,000E-1	1,700E+1
24,883	0,000	0,075	3,000E-1	1,700E+1
25,085	0,000	0,075	3,000E-1	1,700E+1
25,286	0,000	0,075	3,000E-1	1,700E+1
25,486	0,000	0,075	3,000E-1	1,700E+1
25,686	0,000	0,075	3,000E-1	1,700E+1
25,886	0,000	0,075	3,000E-1	1,700E+1
26,087	0,000	0,075	3,000E-1	1,700E+1
26,287	0,000	0,075	3,000E-1	1,700E+1
26,488	0,000	0,075	3,000E-1	1,700E+1
26,690	0,000	0,075	3,000E-1	1,700E+1
26,889	0,000	0,075	3,000E-1	1,700E+1
27,090	0,000	0,075	3,000E-1	1,700E+1
27,290	0,000	0,075	3,000E-1	1,700E+1
27,491	0,000	0,075	3,000E-1	1,700E+1
27,692	0,000	0,075	3,000E-1	1,700E+1
27,893	0,000	0,075	3,000E-1	1,700E+1
28,094	0,000	0,075	3,000E-1	1,700E+1
28,295	0,000	0,075	3,000E-1	1,700E+1
28,496	0,000	0,075	3,000E-1	1,700E+1
28,698	0,000	0,075	3,000E-1	1,700E+1
28,899	0,000	0,075	3,000E-1	1,700E+1
29,099	0,000	0,075	3,000E-1	1,700E+1
29,300	0,000	0,075	3,000E-1	1,700E+1
29,500	0,000	0,075	3,000E-1	1,700E+1
29,703	0,000	0,075	3,000E-1	1,700E+1
29,903	0,000	0,075	3,000E-1	1,700E+1
30,102	0,000	0,075	3,000E-1	1,700E+1
30,302	0,000	0,075	3,000E-1	1,700E+1
30,502	0,000	0,075	3,000E-1	1,700E+1
30,703	0,000	0,075	3,000E-1	1,700E+1
30,902	0,000	0,075	3,000E-1	1,700E+1
31,102	0,000	0,075	3,000E-1	1,700E+1
31,302	0,000	0,075	3,000E-1	1,700E+1
31,503	0,000	0,075	3,000E-1	1,700E+1
31,704	0,000	0,075	3,000E-1	1,700E+1
31,903	0,000	0,075	3,000E-1	1,700E+1
32,103	0,000	0,075	3,000E-1	1,700E+1
32,303	0,000	0,075	3,000E-1	1,700E+1
32,504	0,000	0,075	3,000E-1	1,700E+1
32,705	0,000	0,075	3,000E-1	1,700E+1
32,906	0,000	0,075	3,000E-1	1,700E+1
33,106	0,000	0,075	3,000E-1	1,700E+1
33,307	0,000	0,075	3,000E-1	1,700E+1
33,508	0,000	0,075	3,000E-1	1,700E+1
33,708	0,000	0,075	3,000E-1	1,700E+1
33,908	0,000	0,075	3,000E-1	1,700E+1
34,108	0,000	0,075	3,000E-1	1,700E+1
34,310	0,000	0,075	3,000E-1	1,700E+1
34,510	0,000	0,075	3,000E-1	1,700E+1
34,711	0,000	0,075	3,000E-1	1,700E+1
34,911	0,000	0,075	3,000E-1	1,700E+1
35,112	0,000	0,075	3,000E-1	1,700E+1
35,312	0,000	0,075	3,000E-1	1,700E+1
35,512	0,000	0,075	3,000E-1	1,700E+1
35,713	0,000	0,075	3,000E-1	1,700E+1
