t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,204	1,110	0,000	1,102E+0	1,102E+0	0,000E+0
0,403	1,110	0,000	1,102E+0	1,102E+0	0,000E+0
0,604	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
0,805	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
1,005	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
1,206	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
1,408	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
1,611	0,960	0,000	1,110E+0	1,110E+0	0,000E+0
1,811	0,960	0,000	1,110E+0	1,110E+0	0,000E+0
2,013	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,215	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,415	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
2,615	0,950	0,000	9,600E-1	9,600E-1	0,000E+0
2,815	0,950	0,000	9,600E-1	9,600E-1	0,000E+0
3,016	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
3,217	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
3,418	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
3,620	1,280	0,000	9,500E-1	9,500E-1	0,000E+0
3,820	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
4,020	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
4,221	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
4,422	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
4,623	1,200	0,000	1,280E+0	1,280E+0	0,000E+0
4,824	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
5,024	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
5,227	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
5,428	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
5,628	1,090	0,000	1,200E+0	0,000E+0	0,000E+0
5,829	1,090	0,000	1,200E+0	0,000E+0	0,000E+0
6,030	1,090	0,000	1,099E+0	1,099E+0	0,000E+0
6,232	1,090	0,000	1,099E+0	1,099E+0	0,000E+0
6,433	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
6,634	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
6,834	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
7,035	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
7,235	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
7,436	1,050	0,000	1,090E+0	1,090E+0	0,000E+0
7,637	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
7,839	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
8,039	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
8,240	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
8,441	1,140	0,000	1,050E+0	1,050E+0	0,000E+0
8,643	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
8,844	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
9,044	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
9,244	1,070	0,000	1,140E+0	1,140E+0	0,000E+0
9,444	1,070	0,000	1,140E+0	1,140E+0	0,000E+0
