t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,000	66,918	0,000	6,579E+1	6,647E+1	6,590E+1	6,281E+1	7,207E+1	7,293E+1	6,441E+1	6,875E+1	6,950E+1	5,900E+1
2,000	67,166	0,000	6,584E+1	6,646E+1	6,590E+1	6,283E+1	7,207E+1	7,290E+1	6,440E+1	6,875E+1	6,953E+1	5,902E+1
3,000	67,136	0,000	6,584E+1	6,645E+1	6,591E+1	6,281E+1	7,206E+1	7,290E+1	6,437E+1	6,873E+1	6,952E+1	5,895E+1
4,000	67,139	0,000	6,580E+1	6,644E+1	6,591E+1	6,283E+1	7,203E+1	7,289E+1	6,438E+1	6,871E+1	6,950E+1	5,894E+1
5,000	67,105	0,000	6,575E+1	6,644E+1	6,587E+1	6,284E+1	7,200E+1	7,287E+1	6,436E+1	6,864E+1	6,946E+1	5,890E+1
6,000	67,100	0,000	6,573E+1	6,638E+1	6,587E+1	6,284E+1	7,197E+1	7,284E+1	6,435E+1	6,861E+1	6,944E+1	5,887E+1
7,000	67,098	0,000	6,573E+1	6,639E+1	6,586E+1	6,284E+1	7,194E+1	7,286E+1	6,434E+1	6,858E+1	6,941E+1	5,890E+1
8,001	67,108	0,000	6,571E+1	6,640E+1	6,585E+1	6,281E+1	7,195E+1	7,285E+1	6,431E+1	6,859E+1	6,940E+1	5,882E+1
9,001	67,088	0,000	6,569E+1	6,638E+1	6,586E+1	6,279E+1	7,197E+1	7,284E+1	6,432E+1	6,857E+1	6,937E+1	5,877E+1
10,001	67,123	0,000	6,573E+1	6,638E+1	6,588E+1	6,280E+1	7,194E+1	7,287E+1	6,431E+1	6,855E+1	6,937E+1	5,880E+1
11,001	67,089	0,000	6,572E+1	6,637E+1	6,587E+1	6,281E+1	7,192E+1	7,284E+1	6,429E+1	6,850E+1	6,933E+1	5,879E+1
12,001	67,097	0,000	6,569E+1	6,639E+1	6,589E+1	6,278E+1	7,188E+1	7,281E+1	6,428E+1	6,849E+1	6,932E+1	5,878E+1
13,001	67,099	0,000	6,568E+1	6,639E+1	6,586E+1	6,278E+1	7,186E+1	7,275E+1	6,427E+1	6,850E+1	6,931E+1	5,876E+1
14,001	67,104	0,000	6,565E+1	6,640E+1	6,587E+1	6,277E+1	7,183E+1	7,273E+1	6,427E+1	6,846E+1	6,928E+1	5,874E+1
15,001	67,062	0,000	6,562E+1	6,638E+1	6,585E+1	6,276E+1	7,181E+1	7,272E+1	6,428E+1	6,842E+1	6,928E+1	5,875E+1
16,001	67,062	0,000	6,560E+1	6,635E+1	6,584E+1	6,275E+1	7,181E+1	7,272E+1	6,426E+1	6,842E+1	6,926E+1	5,875E+1
17,001	67,087	0,000	6,560E+1	6,635E+1	6,584E+1	6,273E+1	7,179E+1	7,272E+1	6,426E+1	6,842E+1	6,926E+1	5,876E+1
18,001	67,077	0,000	6,562E+1	6,636E+1	6,585E+1	6,275E+1	7,178E+1	7,271E+1	6,428E+1	6,839E+1	6,926E+1	5,879E+1
19,001	67,089	0,000	6,566E+1	6,635E+1	6,587E+1	6,276E+1	7,178E+1	7,271E+1	6,427E+1	6,843E+1	6,927E+1	5,882E+1
20,001	67,111	0,000	6,567E+1	6,636E+1	6,586E+1	6,273E+1	7,179E+1	7,270E+1	6,428E+1	6,842E+1	6,930E+1	5,879E+1
21,001	67,138	0,000	6,573E+1	6,637E+1	6,586E+1	6,276E+1	7,177E+1	7,268E+1	6,427E+1	6,841E+1	6,931E+1	5,895E+1
22,001	67,147	0,000	6,579E+1	6,639E+1	6,590E+1	6,276E+1	7,173E+1	7,264E+1	6,429E+1	6,842E+1	6,931E+1	5,894E+1
23,001	67,138	0,000	6,579E+1	6,643E+1	6,591E+1	6,276E+1	7,173E+1	7,261E+1	6,427E+1	6,843E+1	6,933E+1	5,895E+1
24,001	67,093	0,000	6,576E+1	6,638E+1	6,590E+1	6,278E+1	7,171E+1	7,261E+1	6,427E+1	6,844E+1	6,931E+1	5,897E+1
25,001	67,096	0,000	6,576E+1	6,638E+1	6,588E+1	6,279E+1	7,169E+1	7,258E+1	6,425E+1	6,843E+1	6,930E+1	5,895E+1
26,001	67,106	0,000	6,580E+1	6,640E+1	6,589E+1	6,277E+1	7,168E+1	7,256E+1	6,424E+1	6,842E+1	6,929E+1	5,894E+1
27,001	67,113	0,000	6,578E+1	6,638E+1	6,589E+1	6,278E+1	7,168E+1	7,252E+1	6,424E+1	6,841E+1	6,927E+1	5,897E+1
28,001	67,098	0,000	6,577E+1	6,636E+1	6,588E+1	6,276E+1	7,167E+1	7,249E+1	6,426E+1	6,840E+1	6,927E+1	5,894E+1
29,001	67,152	0,000	6,577E+1	6,637E+1	6,588E+1	6,276E+1	7,167E+1	7,250E+1	6,423E+1	6,839E+1	6,926E+1	5,898E+1
30,001	67,145	0,000	6,581E+1	6,639E+1	6,590E+1	6,274E+1	7,165E+1	7,249E+1	6,422E+1	6,839E+1	6,924E+1	5,890E+1
