t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	70,060	25,000	9,990E+1
2,000	70,060	25,000	1,000E-2
3,000	70,059	25,000	1,000E-2
4,000	70,100	25,000	1,000E-2
5,000	70,059	70,000	9,990E+1
6,000	70,045	70,000	9,990E+1
7,000	69,969	70,000	9,990E+1
8,001	70,014	70,000	9,990E+1
9,001	69,995	70,000	9,808E+1
10,001	69,966	70,000	9,883E+1
11,001	69,986	70,000	9,990E+1
12,001	69,980	70,000	9,915E+1
13,001	69,979	70,000	9,937E+1
14,001	69,964	70,000	9,941E+1
15,001	69,892	70,000	9,990E+1
16,001	69,848	70,000	9,990E+1
17,001	69,806	70,000	9,990E+1
18,001	69,761	70,000	9,990E+1
19,001	69,722	70,000	9,990E+1
20,001	69,697	70,000	9,990E+1
21,001	69,791	70,000	9,990E+1
22,001	69,675	70,000	9,621E+1
23,001	69,630	70,000	9,990E+1
24,001	69,678	70,000	9,990E+1
25,001	69,725	70,000	9,798E+1
26,001	69,746	70,000	9,617E+1
27,001	69,870	70,000	9,531E+1
28,001	69,726	70,000	9,041E+1
29,001	69,626	70,000	9,614E+1
30,001	69,696	70,000	9,990E+1
31,001	69,619	70,000	9,714E+1
32,001	69,584	70,000	9,990E+1
33,001	69,632	70,000	9,990E+1
34,001	69,673	70,000	9,798E+1
35,001	69,784	70,000	9,637E+1
36,001	69,809	70,000	9,203E+1
37,001	69,887	70,000	9,103E+1
38,001	69,820	70,000	8,794E+1
39,001	69,741	70,000	9,058E+1
40,001	69,719	70,000	9,374E+1
41,001	69,780	70,000	9,462E+1
42,001	69,796	70,000	9,222E+1
43,001	69,782	70,000	9,162E+1
44,001	69,819	70,000	9,216E+1
45,002	69,731	70,000	9,070E+1
46,002	69,719	70,000	9,420E+1
47,002	69,702	70,000	9,467E+1
48,002	69,725	70,000	9,537E+1
49,002	69,844	70,000	9,449E+1
50,002	69,882	70,000	8,975E+1
51,002	69,804	70,000	8,827E+1
52,002	69,876	70,000	9,137E+1
53,002	69,914	70,000	8,855E+1
54,002	69,894	70,000	8,703E+1
55,002	69,838	70,000	8,782E+1
56,002	69,853	70,000	9,005E+1
57,002	69,865	70,000	8,946E+1
58,010	69,792	70,000	8,899E+1
59,010	69,792	70,000	9,189E+1
60,036	69,858	70,000	9,190E+1
61,036	69,870	70,000	8,927E+1
62,036	69,867	70,000	8,882E+1
