t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	37,637	0,000	3,664E+1	3,718E+1	3,681E+1	3,540E+1	4,122E+1	4,144E+1	3,571E+1	3,776E+1	3,884E+1	3,359E+1
1,961	37,637	0,000	3,664E+1	3,718E+1	3,681E+1	3,540E+1	4,122E+1	4,144E+1	3,571E+1	3,776E+1	3,884E+1	3,359E+1
1,961	37,584	0,000	3,669E+1	3,719E+1	3,681E+1	3,541E+1	4,124E+1	4,143E+1	3,571E+1	3,775E+1	3,884E+1	3,360E+1
3,979	37,584	0,000	3,669E+1	3,719E+1	3,681E+1	3,541E+1	4,124E+1	4,143E+1	3,571E+1	3,775E+1	3,884E+1	3,360E+1
3,979	37,597	0,000	3,668E+1	3,719E+1	3,681E+1	3,540E+1	4,123E+1	4,137E+1	3,569E+1	3,770E+1	3,882E+1	3,360E+1
5,997	37,597	0,000	3,668E+1	3,719E+1	3,681E+1	3,540E+1	4,123E+1	4,137E+1	3,569E+1	3,770E+1	3,882E+1	3,360E+1
5,997	37,544	0,000	3,664E+1	3,716E+1	3,684E+1	3,539E+1	4,119E+1	4,135E+1	3,570E+1	3,767E+1	3,879E+1	3,358E+1
5,997	37,544	0,000	3,664E+1	3,716E+1	3,684E+1	3,539E+1	4,119E+1	4,135E+1	3,570E+1	3,767E+1	3,879E+1	3,358E+1
8,018	37,582	0,000	3,666E+1	3,716E+1	3,688E+1	3,539E+1	4,121E+1	4,134E+1	3,570E+1	3,766E+1	3,877E+1	3,357E+1
8,018	37,582	0,000	3,666E+1	3,716E+1	3,688E+1	3,539E+1	4,121E+1	4,134E+1	3,570E+1	3,766E+1	3,877E+1	3,357E+1
10,034	37,535	0,000	3,666E+1	3,714E+1	3,682E+1	3,540E+1	4,121E+1	4,137E+1	3,569E+1	3,766E+1	3,878E+1	3,358E+1
10,034	37,535	0,000	3,666E+1	3,714E+1	3,682E+1	3,540E+1	4,121E+1	4,137E+1	3,569E+1	3,766E+1	3,878E+1	3,358E+1
12,054	37,580	0,000	3,663E+1	3,713E+1	3,678E+1	3,538E+1	4,124E+1	4,141E+1	3,569E+1	3,766E+1	3,879E+1	3,360E+1
12,054	37,580	0,000	3,663E+1	3,713E+1	3,678E+1	3,538E+1	4,124E+1	4,141E+1	3,569E+1	3,766E+1	3,879E+1	3,360E+1
14,073	37,565	0,000	3,666E+1	3,714E+1	3,674E+1	3,539E+1	4,127E+1	4,143E+1	3,569E+1	3,766E+1	3,881E+1	3,361E+1
14,073	37,565	0,000	3,666E+1	3,714E+1	3,674E+1	3,539E+1	4,127E+1	4,143E+1	3,569E+1	3,766E+1	3,881E+1	3,361E+1
16,093	37,584	0,000	3,665E+1	3,710E+1	3,671E+1	3,541E+1	4,129E+1	4,140E+1	3,567E+1	3,765E+1	3,879E+1	3,362E+1
16,093	37,584	0,000	3,665E+1	3,710E+1	3,671E+1	3,541E+1	4,129E+1	4,140E+1	3,567E+1	3,765E+1	3,879E+1	3,362E+1
18,111	37,559	0,000	3,665E+1	3,715E+1	3,669E+1	3,541E+1	4,131E+1	4,133E+1	3,567E+1	3,764E+1	3,879E+1	3,360E+1
18,111	37,559	0,000	3,665E+1	3,715E+1	3,669E+1	3,541E+1	4,131E+1	4,133E+1	3,567E+1	3,764E+1	3,879E+1	3,360E+1
20,130	37,567	0,000	3,664E+1	3,715E+1	3,666E+1	3,542E+1	4,132E+1	4,133E+1	3,569E+1	3,765E+1	3,879E+1	3,360E+1
20,130	37,567	0,000	3,664E+1	3,715E+1	3,666E+1	3,542E+1	4,132E+1	4,133E+1	3,569E+1	3,765E+1	3,879E+1	3,360E+1
22,150	37,521	0,000	3,662E+1	3,714E+1	3,662E+1	3,540E+1	4,129E+1	4,132E+1	3,567E+1	3,766E+1	3,877E+1	3,360E+1
22,150	37,521	0,000	3,662E+1	3,714E+1	3,662E+1	3,540E+1	4,129E+1	4,132E+1	3,567E+1	3,766E+1	3,877E+1	3,360E+1
24,168	37,511	0,000	3,657E+1	3,713E+1	3,661E+1	3,537E+1	4,127E+1	4,133E+1	3,567E+1	3,771E+1	3,876E+1	3,362E+1
24,168	37,511	0,000	3,657E+1	3,713E+1	3,661E+1	3,537E+1	4,127E+1	4,133E+1	3,567E+1	3,771E+1	3,876E+1	3,362E+1
26,187	37,501	0,000	3,661E+1	3,713E+1	3,661E+1	3,536E+1	4,123E+1	4,131E+1	3,567E+1	3,768E+1	3,876E+1	3,362E+1
26,187	37,501	0,000	3,661E+1	3,713E+1	3,661E+1	3,536E+1	4,123E+1	4,131E+1	3,567E+1	3,768E+1	3,876E+1	3,362E+1
28,205	37,514	0,000	3,657E+1	3,712E+1	3,660E+1	3,534E+1	4,122E+1	4,131E+1	3,565E+1	3,766E+1	3,876E+1	3,362E+1
28,205	37,514	0,000	3,657E+1	3,712E+1	3,660E+1	3,534E+1	4,122E+1	4,131E+1	3,565E+1	3,766E+1	3,876E+1	3,362E+1
30,223	37,481	0,000	3,656E+1	3,714E+1	3,660E+1	3,534E+1	4,122E+1	4,131E+1	3,564E+1	3,768E+1	3,876E+1	3,362E+1
30,223	37,481	0,000	3,656E+1	3,714E+1	3,660E+1	3,534E+1	4,122E+1	4,131E+1	3,564E+1	3,768E+1	3,876E+1	3,362E+1
32,240	37,529	0,000	3,652E+1	3,715E+1	3,666E+1	3,533E+1	4,122E+1	4,132E+1	3,563E+1	3,766E+1	3,874E+1	3,363E+1
32,240	37,529	0,000	3,652E+1	3,715E+1	3,666E+1	3,533E+1	4,122E+1	4,132E+1	3,563E+1	3,766E+1	3,874E+1	3,363E+1
34,258	37,562	0,000	3,655E+1	3,715E+1	3,668E+1	3,532E+1	4,123E+1	4,131E+1	3,562E+1	3,765E+1	3,874E+1	3,361E+1
34,258	37,562	0,000	3,655E+1	3,715E+1	3,668E+1	3,532E+1	4,123E+1	4,131E+1	3,562E+1	3,765E+1	3,874E+1	3,361E+1
36,275	37,552	0,000	3,656E+1	3,715E+1	3,668E+1	3,531E+1	4,119E+1	4,131E+1	3,561E+1	3,764E+1	3,874E+1	3,358E+1
36,275	37,552	0,000	3,656E+1	3,715E+1	3,668E+1	3,531E+1	4,119E+1	4,131E+1	3,561E+1	3,764E+1	3,874E+1	3,358E+1
38,293	37,527	0,000	3,655E+1	3,713E+1	3,666E+1	3,532E+1	4,117E+1	4,132E+1	3,562E+1	3,763E+1	3,874E+1	3,359E+1
38,293	37,527	0,000	3,655E+1	3,713E+1	3,666E+1	3,532E+1	4,117E+1	4,132E+1	3,562E+1	3,763E+1	3,874E+1	3,359E+1
40,311	37,552	0,000	3,656E+1	3,710E+1	3,663E+1	3,535E+1	4,117E+1	4,139E+1	3,562E+1	3,761E+1	3,878E+1	3,360E+1
