t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,003	0,000	0,075	3,000E-1	3,000E+1
3,003	0,000	0,075	3,000E-1	3,000E+1
4,006	0,000	0,075	3,000E-1	3,000E+1
5,007	0,000	0,075	3,000E-1	3,000E+1
6,007	0,000	0,075	3,000E-1	3,000E+1
7,008	0,000	0,075	3,000E-1	3,000E+1
8,010	0,000	0,075	3,000E-1	3,000E+1
9,012	0,000	0,075	3,000E-1	3,000E+1
10,012	0,000	0,075	3,000E-1	3,000E+1
11,013	0,000	0,075	3,000E-1	3,000E+1
12,014	0,000	0,075	3,000E-1	3,000E+1
13,014	0,000	0,075	3,000E-1	3,000E+1
14,015	0,000	0,075	3,000E-1	3,000E+1
15,017	0,000	0,075	3,000E-1	3,000E+1
16,018	0,000	0,075	3,000E-1	3,000E+1
17,021	0,000	0,075	3,000E-1	3,000E+1
18,021	0,000	0,075	3,000E-1	3,000E+1
19,024	0,000	0,075	3,000E-1	3,000E+1
20,024	0,000	0,075	3,000E-1	3,000E+1
21,026	0,000	0,075	3,000E-1	3,000E+1
22,026	0,000	0,075	3,000E-1	3,000E+1
23,028	0,000	0,075	3,000E-1	3,000E+1
24,028	0,000	0,075	3,000E-1	3,000E+1
25,031	0,000	0,075	3,000E-1	3,000E+1
26,031	0,000	0,075	3,000E-1	3,000E+1
27,031	0,000	0,075	3,000E-1	3,000E+1
28,033	0,000	0,075	3,000E-1	3,000E+1
29,034	0,000	0,075	3,000E-1	3,000E+1
30,033	0,000	0,075	3,000E-1	3,000E+1
31,033	0,000	0,075	3,000E-1	3,000E+1
32,035	0,000	0,075	3,000E-1	3,000E+1
33,036	0,000	0,075	3,000E-1	3,000E+1
34,037	0,000	0,075	3,000E-1	3,000E+1
35,039	0,000	0,075	3,000E-1	3,000E+1
36,039	0,000	0,075	3,000E-1	3,000E+1
37,040	0,000	0,075	3,000E-1	3,000E+1
38,041	0,000	0,075	3,000E-1	3,000E+1
39,043	0,000	0,075	3,000E-1	3,000E+1
40,044	0,000	0,075	3,000E-1	3,000E+1
41,044	0,000	0,075	3,000E-1	3,000E+1
42,044	0,000	0,075	3,000E-1	3,000E+1
43,044	0,000	0,075	3,000E-1	3,000E+1
44,045	0,000	0,075	3,000E-1	3,000E+1
45,046	0,000	0,075	3,000E-1	3,000E+1
46,046	0,000	0,075	3,000E-1	3,000E+1
47,046	0,000	0,075	3,000E-1	3,000E+1
48,047	0,000	0,075	3,000E-1	3,000E+1
49,047	0,000	0,075	3,000E-1	3,000E+1
50,048	0,000	0,075	3,000E-1	3,000E+1
51,049	0,000	0,075	3,000E-1	3,000E+1
52,048	0,000	0,075	3,000E-1	3,000E+1
53,050	0,000	0,075	3,000E-1	3,000E+1
54,050	0,000	0,075	3,000E-1	3,000E+1
55,051	0,000	0,075	3,000E-1	3,000E+1
56,052	0,000	0,075	3,000E-1	3,000E+1
57,052	0,000	0,075	3,000E-1	3,000E+1
58,054	0,000	0,075	3,000E-1	3,000E+1
59,055	0,000	0,075	3,000E-1	3,000E+1
60,055	0,000	0,075	3,000E-1	3,000E+1
61,055	0,000	0,075	3,000E-1	3,000E+1
62,056	0,000	0,075	3,000E-1	3,000E+1
63,056	0,000	0,075	3,000E-1	3,000E+1
64,056	0,000	0,075	3,000E-1	3,000E+1
65,056	0,000	0,075	3,000E-1	3,000E+1
66,057	0,000	0,075	3,000E-1	3,000E+1
67,059	0,000	0,075	3,000E-1	3,000E+1
68,058	0,000	0,075	3,000E-1	3,000E+1
69,058	0,000	0,075	3,000E-1	3,000E+1
70,059	0,000	0,075	3,000E-1	3,000E+1
71,060	0,000	0,075	3,000E-1	3,000E+1
72,059	0,000	0,075	3,000E-1	3,000E+1
73,061	0,000	0,075	3,000E-1	3,000E+1
74,061	0,000	0,075	3,000E-1	3,000E+1
75,061	0,000	0,075	3,000E-1	3,000E+1
76,062	0,000	0,075	3,000E-1	3,000E+1
77,062	0,000	0,075	3,000E-1	3,000E+1
78,062	0,000	0,075	3,000E-1	3,000E+1
79,063	0,000	0,075	3,000E-1	3,000E+1
80,064	0,000	0,075	3,000E-1	3,000E+1
81,063	0,000	0,075	3,000E-1	3,000E+1
82,064	0,000	0,075	3,000E-1	3,000E+1
83,063	0,000	0,075	3,000E-1	3,000E+1
84,063	0,000	0,075	3,000E-1	3,000E+1
85,063	0,000	0,075	3,000E-1	3,000E+1
86,063	0,000	0,075	3,000E-1	3,000E+1
87,064	0,000	0,075	3,000E-1	3,000E+1
88,065	0,000	0,075	3,000E-1	3,000E+1
89,065	0,000	0,075	3,000E-1	3,000E+1
90,065	0,000	0,075	3,000E-1	3,000E+1
91,067	0,000	0,075	3,000E-1	3,000E+1
92,066	0,000	0,075	3,000E-1	3,000E+1
93,066	0,000	0,075	3,000E-1	3,000E+1
94,067	0,000	0,075	3,000E-1	3,000E+1
95,067	0,000	0,075	3,000E-1	3,000E+1
96,067	0,000	0,075	3,000E-1	3,000E+1
97,070	0,000	0,075	3,000E-1	3,000E+1
98,070	0,000	0,075	3,000E-1	3,000E+1
99,071	0,000	0,075	3,000E-1	3,000E+1
100,072	0,000	0,075	3,000E-1	3,000E+1
101,071	0,000	0,075	3,000E-1	3,000E+1
102,074	0,000	0,075	3,000E-1	3,000E+1
103,073	0,000	0,075	3,000E-1	3,000E+1
104,073	0,000	0,075	3,000E-1	3,000E+1
105,073	0,000	0,075	3,000E-1	3,000E+1
106,073	0,000	0,075	3,000E-1	3,000E+1
107,073	0,000	0,075	3,000E-1	3,000E+1
108,074	0,000	0,075	3,000E-1	3,000E+1
109,074	0,000	0,075	3,000E-1	3,000E+1
110,073	0,000	0,075	3,000E-1	3,000E+1
111,073	0,000	0,075	3,000E-1	3,000E+1
112,073	0,000	0,075	3,000E-1	3,000E+1
113,073	0,000	0,075	3,000E-1	3,000E+1
114,073	0,000	0,075	3,000E-1	3,000E+1
115,073	0,000	0,075	3,000E-1	3,000E+1
116,073	0,000	0,075	3,000E-1	3,000E+1
117,074	0,000	0,075	3,000E-1	3,000E+1
118,074	0,000	0,075	3,000E-1	3,000E+1
119,074	0,000	0,075	3,000E-1	3,000E+1
120,075	0,000	0,075	3,000E-1	3,000E+1
121,074	0,000	0,075	3,000E-1	3,000E+1
122,074	0,000	0,075	3,000E-1	3,000E+1
123,076	0,000	0,075	3,000E-1	3,000E+1
124,076	0,000	0,075	3,000E-1	3,000E+1
125,078	0,000	0,075	3,000E-1	3,000E+1
126,078	0,000	0,075	3,000E-1	3,000E+1
127,078	0,000	0,075	3,000E-1	3,000E+1
128,079	0,000	0,075	3,000E-1	3,000E+1
129,079	0,000	0,075	3,000E-1	3,000E+1
130,080	0,000	0,075	3,000E-1	3,000E+1
131,080	0,000	0,075	3,000E-1	3,000E+1
132,081	0,000	0,075	3,000E-1	3,000E+1
133,081	0,000	0,075	3,000E-1	3,000E+1
134,081	0,000	0,075	3,000E-1	3,000E+1
135,082	0,000	0,075	3,000E-1	3,000E+1
136,081	0,000	0,075	3,000E-1	3,000E+1
137,082	0,000	0,075	3,000E-1	3,000E+1
138,084	0,000	0,075	3,000E-1	3,000E+1
139,083	0,000	0,075	3,000E-1	3,000E+1
140,084	0,000	0,075	3,000E-1	3,000E+1
141,084	0,000	0,075	3,000E-1	3,000E+1
142,084	0,000	0,075	3,000E-1	3,000E+1
143,085	0,000	0,075	3,000E-1	3,000E+1
144,086	0,000	0,075	3,000E-1	3,000E+1
145,086	0,000	0,075	3,000E-1	3,000E+1
146,087	0,000	0,075	3,000E-1	3,000E+1
147,086	0,000	0,075	3,000E-1	3,000E+1
148,086	0,000	0,075	3,000E-1	3,000E+1
149,088	0,000	0,075	3,000E-1	3,000E+1
150,089	0,000	0,075	3,000E-1	3,000E+1
151,089	0,000	0,075	3,000E-1	3,000E+1
152,091	0,000	0,075	3,000E-1	3,000E+1
153,091	0,000	0,075	3,000E-1	3,000E+1
154,091	0,000	0,075	3,000E-1	3,000E+1
155,092	0,000	0,075	3,000E-1	3,000E+1
156,092	0,000	0,075	3,000E-1	3,000E+1
157,093	0,000	0,075	3,000E-1	3,000E+1
158,093	0,000	0,075	3,000E-1	3,000E+1
159,094	0,000	0,075	3,000E-1	3,000E+1
160,094	0,000	0,075	3,000E-1	3,000E+1
161,094	0,000	0,075	3,000E-1	3,000E+1
162,094	0,000	0,075	3,000E-1	3,000E+1
163,094	0,000	0,075	3,000E-1	3,000E+1
164,094	0,000	0,075	3,000E-1	3,000E+1
165,094	0,000	0,075	3,000E-1	3,000E+1
166,095	0,000	0,075	3,000E-1	3,000E+1
167,094	0,000	0,075	3,000E-1	3,000E+1
168,094	0,000	0,075	3,000E-1	3,000E+1
169,094	0,000	0,075	3,000E-1	3,000E+1
170,094	0,000	0,075	3,000E-1	3,000E+1
171,095	0,000	0,075	3,000E-1	3,000E+1
172,094	0,000	0,075	3,000E-1	3,000E+1
173,095	0,000	0,075	3,000E-1	3,000E+1
174,095	0,000	0,075	3,000E-1	3,000E+1
175,096	0,000	0,075	3,000E-1	3,000E+1
176,097	0,000	0,075	3,000E-1	3,000E+1
177,099	0,000	0,075	3,000E-1	3,000E+1
178,100	0,000	0,075	3,000E-1	3,000E+1
179,099	0,000	0,075	3,000E-1	3,000E+1
180,099	0,000	0,075	3,000E-1	3,000E+1
181,099	0,000	0,075	3,000E-1	3,000E+1
182,099	0,000	0,075	3,000E-1	3,000E+1
183,100	0,000	0,075	3,000E-1	3,000E+1
184,101	0,000	0,075	3,000E-1	3,000E+1
185,101	0,000	0,075	3,000E-1	3,000E+1
186,101	0,000	0,075	3,000E-1	3,000E+1
187,102	0,000	0,075	3,000E-1	3,000E+1
188,101	0,000	0,075	3,000E-1	3,000E+1
189,101	0,000	0,075	3,000E-1	3,000E+1
190,101	0,000	0,075	3,000E-1	3,000E+1
191,102	0,000	0,075	3,000E-1	3,000E+1
192,103	0,000	0,075	3,000E-1	3,000E+1
193,103	0,000	0,075	3,000E-1	3,000E+1
194,104	0,000	0,075	3,000E-1	3,000E+1
195,106	0,000	0,075	3,000E-1	3,000E+1
196,107	0,000	0,075	3,000E-1	3,000E+1
