t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
0,000	0,000	25,000	9,990E+1
0,000	0,000	25,000	9,990E+1
2,119	52,953	25,000	1,000E-2
2,119	52,953	25,000	1,000E-2
4,285	52,945	25,000	1,000E-2
4,285	52,945	25,000	1,000E-2
6,451	52,977	25,000	1,000E-2
6,451	52,977	25,000	1,000E-2
8,617	52,966	25,000	1,000E-2
8,617	52,966	25,000	1,000E-2
10,783	52,956	25,000	1,000E-2
10,783	52,956	25,000	1,000E-2
12,951	52,907	25,000	1,000E-2
12,951	52,907	75,000	6,892E-1
12,951	52,907	75,000	9,990E+1
15,119	52,890	75,000	9,990E+1
15,119	52,890	75,000	9,990E+1
17,285	52,904	75,000	9,990E+1
17,285	52,904	75,000	9,990E+1
19,453	52,885	75,000	9,990E+1
19,453	52,885	70,000	9,990E+1
21,545	52,781	70,000	1,000E-2
21,545	52,781	70,000	7,875E-1
23,637	52,794	70,000	1,050E+0
23,637	52,794	70,000	1,827E+0
25,728	52,806	70,000	2,128E+0
25,728	52,806	70,000	2,905E+0
27,894	52,875	70,000	3,681E+0
27,894	52,875	70,000	1,723E+0
29,984	52,819	70,000	2,497E+0
29,984	52,819	70,000	5,489E+0
29,984	52,819	70,000	6,265E+0
32,076	52,861	70,000	5,357E+0
32,076	52,861	70,000	6,130E+0
34,166	52,844	70,000	7,597E+0
34,166	52,844	70,000	8,372E+0
36,255	52,867	70,000	8,255E+0
36,255	52,867	70,000	9,029E+0
38,347	52,889	70,000	8,911E+0
38,347	52,889	70,000	9,684E+0
40,435	52,815	70,000	1,341E+1
40,435	52,815	75,000	9,990E+1
42,527	52,801	75,000	9,990E+1
42,527	52,801	75,000	9,990E+1
44,691	52,831	70,000	9,971E+1
44,691	52,831	70,000	1,000E-2
46,859	52,826	70,000	7,852E-1
46,859	52,826	70,000	1,759E+0
48,951	52,747	70,000	2,534E+0
48,951	52,747	70,000	6,440E+0
48,951	52,747	70,000	7,219E+0
51,041	52,727	70,000	8,791E+0
51,041	52,727	70,000	9,570E+0
53,205	52,850	70,000	5,476E+0
53,205	52,850	70,000	6,252E+0
55,371	52,809	69,000	8,650E+0
55,371	52,809	66,000	1,000E-2
57,539	52,823	66,000	7,130E-2
57,539	52,823	66,000	6,657E-1
59,708	52,870	66,000	1,000E-2
59,708	52,870	70,000	9,990E+1
61,876	52,777	70,000	9,990E+1
61,876	52,777	70,000	9,990E+1
63,970	52,767	70,000	9,990E+1
63,970	52,767	70,000	9,990E+1
63,970	52,767	70,000	9,990E+1
66,136	52,836	70,000	9,794E+1
66,136	52,836	70,000	9,872E+1
68,304	52,855	70,000	9,876E+1
68,304	52,855	70,000	9,954E+1
70,470	52,905	70,000	9,831E+1
70,470	52,905	70,000	9,908E+1
72,636	52,892	70,000	9,990E+1
72,636	52,892	70,000	9,990E+1
74,730	52,838	70,000	9,990E+1
74,730	52,838	70,000	9,990E+1
76,892	52,858	70,000	9,990E+1
76,892	52,858	70,000	9,986E+1
76,892	52,858	70,000	9,990E+1
79,061	52,826	70,000	9,990E+1
79,061	52,826	70,000	9,990E+1
81,227	52,921	70,000	9,693E+1
81,227	52,921	70,000	9,770E+1
83,395	53,008	70,000	9,499E+1
83,395	53,008	70,000	9,575E+1
85,563	53,016	70,000	9,624E+1
85,563	53,016	70,000	9,701E+1
87,729	53,022	70,000	9,752E+1
87,729	53,022	70,000	9,829E+1
89,895	53,011	70,000	9,905E+1
89,895	53,011	70,000	9,990E+1
89,895	53,011	70,000	9,990E+1
92,061	53,113	70,000	9,661E+1
92,061	53,113	70,000	9,737E+1
94,230	53,010	70,000	9,990E+1
94,230	53,010	70,000	9,990E+1
96,396	53,055	70,000	9,887E+1
96,396	53,055	70,000	9,963E+1
98,560	53,121	70,000	9,778E+1
98,560	53,121	70,000	9,854E+1
100,724	53,206	70,000	9,596E+1
100,724	53,206	70,000	9,671E+1
102,888	53,255	70,000	9,747E+1
102,888	53,255	70,000	9,629E+1
102,888	53,255	70,000	9,705E+1
105,054	53,238	70,000	9,847E+1
105,054	53,238	70,000	9,923E+1
107,218	53,307	70,000	9,725E+1
107,218	53,307	70,000	9,801E+1
109,384	53,409	70,000	9,474E+1
109,384	53,409	70,000	9,549E+1
111,551	53,386	70,000	9,711E+1
111,551	53,386	70,000	9,786E+1
113,719	53,456	70,000	9,586E+1
113,719	53,456	70,000	9,660E+1
115,885	53,425	70,000	9,735E+1
115,885	53,425	70,000	9,931E+1
115,885	53,425	70,000	9,990E+1
118,051	53,478	70,000	9,857E+1
118,051	53,478	70,000	9,931E+1
120,217	53,486	70,000	9,972E+1
120,217	53,486	70,000	9,990E+1
122,381	53,514	70,000	9,958E+1
122,381	53,514	70,000	9,990E+1
124,549	53,498	70,000	9,990E+1
124,549	53,498	70,000	9,990E+1
126,716	53,527	70,000	9,950E+1
126,716	53,527	70,000	9,990E+1
