t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,003	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,204	1,150	0,000	0,000E+0	0,000E+0	0,000E+0
0,405	1,150	0,000	0,000E+0	0,000E+0	0,000E+0
0,606	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
0,806	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,006	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,208	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
1,407	1,060	0,000	1,150E+0	1,150E+0	0,000E+0
1,607	1,060	0,000	1,150E+0	1,150E+0	0,000E+0
1,807	1,060	0,000	1,150E+0	1,150E+0	0,000E+0
2,007	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
2,208	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
2,408	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
2,609	1,100	0,000	1,060E+0	1,060E+0	0,000E+0
2,808	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
3,008	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
3,209	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
3,409	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
3,609	1,110	0,000	1,100E+0	1,100E+0	0,000E+0
3,809	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,009	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,210	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,410	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
4,610	1,100	0,000	1,110E+0	1,110E+0	0,000E+0
4,811	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
5,010	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
5,210	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
5,410	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
5,610	1,060	0,000	1,100E+0	0,000E+0	0,000E+0
5,810	1,060	0,000	1,100E+0	0,000E+0	0,000E+0
6,011	1,060	0,000	1,088E+0	1,088E+0	0,000E+0
6,211	1,060	0,000	1,088E+0	1,088E+0	0,000E+0
6,412	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
6,612	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
6,812	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
7,012	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
7,212	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
7,412	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
