t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	64,801	0,000	6,477E+1	6,475E+1	6,444E+1	6,250E+1	6,842E+1	6,894E+1	6,380E+1	6,545E+1	6,644E+1	6,230E+1
0,000	64,801	0,000	6,477E+1	6,475E+1	6,444E+1	6,250E+1	6,842E+1	6,894E+1	6,380E+1	6,545E+1	6,644E+1	6,230E+1
2,106	64,955	0,000	6,481E+1	6,474E+1	6,446E+1	6,238E+1	6,838E+1	6,897E+1	6,380E+1	6,546E+1	6,646E+1	6,219E+1
2,106	64,955	0,000	6,481E+1	6,474E+1	6,446E+1	6,238E+1	6,838E+1	6,897E+1	6,380E+1	6,546E+1	6,646E+1	6,219E+1
4,275	64,884	0,000	6,479E+1	6,477E+1	6,445E+1	6,231E+1	6,839E+1	6,898E+1	6,376E+1	6,543E+1	6,646E+1	6,209E+1
4,275	64,884	0,000	6,479E+1	6,477E+1	6,445E+1	6,231E+1	6,839E+1	6,898E+1	6,376E+1	6,543E+1	6,646E+1	6,209E+1
6,440	64,884	0,000	6,479E+1	6,477E+1	6,445E+1	6,231E+1	6,839E+1	6,898E+1	6,376E+1	6,543E+1	6,646E+1	6,209E+1
6,440	64,812	0,000	6,475E+1	6,474E+1	6,440E+1	6,237E+1	6,840E+1	6,898E+1	6,375E+1	6,542E+1	6,645E+1	6,214E+1
8,604	64,812	0,000	6,475E+1	6,474E+1	6,440E+1	6,237E+1	6,840E+1	6,898E+1	6,375E+1	6,542E+1	6,645E+1	6,214E+1
8,604	64,786	0,000	6,475E+1	6,473E+1	6,439E+1	6,238E+1	6,839E+1	6,890E+1	6,375E+1	6,544E+1	6,639E+1	6,215E+1
10,771	64,786	0,000	6,475E+1	6,473E+1	6,439E+1	6,238E+1	6,839E+1	6,890E+1	6,375E+1	6,544E+1	6,639E+1	6,215E+1
10,771	64,811	0,000	6,479E+1	6,475E+1	6,441E+1	6,238E+1	6,837E+1	6,887E+1	6,372E+1	6,540E+1	6,637E+1	6,223E+1
12,938	64,811	0,000	6,479E+1	6,475E+1	6,441E+1	6,238E+1	6,837E+1	6,887E+1	6,372E+1	6,540E+1	6,637E+1	6,223E+1
12,938	64,806	0,000	6,476E+1	6,478E+1	6,443E+1	6,238E+1	6,835E+1	6,886E+1	6,372E+1	6,540E+1	6,637E+1	6,219E+1
12,938	64,806	0,000	6,476E+1	6,478E+1	6,443E+1	6,238E+1	6,835E+1	6,886E+1	6,372E+1	6,540E+1	6,637E+1	6,219E+1
15,106	64,768	0,000	6,464E+1	6,475E+1	6,441E+1	6,233E+1	6,836E+1	6,890E+1	6,370E+1	6,542E+1	6,635E+1	6,212E+1
15,106	64,768	0,000	6,464E+1	6,475E+1	6,441E+1	6,233E+1	6,836E+1	6,890E+1	6,370E+1	6,542E+1	6,635E+1	6,212E+1
17,273	64,721	0,000	6,461E+1	6,471E+1	6,440E+1	6,239E+1	6,837E+1	6,891E+1	6,368E+1	6,542E+1	6,633E+1	6,223E+1
17,273	64,721	0,000	6,461E+1	6,471E+1	6,440E+1	6,239E+1	6,837E+1	6,891E+1	6,368E+1	6,542E+1	6,633E+1	6,223E+1
19,440	64,721	0,000	6,461E+1	6,471E+1	6,440E+1	6,239E+1	6,837E+1	6,891E+1	6,368E+1	6,542E+1	6,633E+1	6,223E+1
19,440	64,723	0,000	6,461E+1	6,471E+1	6,437E+1	6,239E+1	6,844E+1	6,893E+1	6,365E+1	6,546E+1	6,632E+1	6,228E+1
21,606	64,723	0,000	6,461E+1	6,471E+1	6,437E+1	6,239E+1	6,844E+1	6,893E+1	6,365E+1	6,546E+1	6,632E+1	6,228E+1
21,606	64,733	0,000	6,460E+1	6,470E+1	6,438E+1	6,242E+1	6,856E+1	6,894E+1	6,362E+1	6,544E+1	6,637E+1	6,224E+1
23,771	64,733	0,000	6,460E+1	6,470E+1	6,438E+1	6,242E+1	6,856E+1	6,894E+1	6,362E+1	6,544E+1	6,637E+1	6,224E+1
23,771	64,708	0,000	6,459E+1	6,472E+1	6,438E+1	6,238E+1	6,866E+1	6,899E+1	6,364E+1	6,544E+1	6,635E+1	6,214E+1
