t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
2,106	69,889	70,000	1,000E-2
2,106	69,889	70,000	1,501E-2
4,275	69,867	70,000	8,917E-1
4,275	69,867	70,000	8,977E-1
6,440	69,772	70,000	4,668E+0
6,440	69,772	70,000	4,678E+0
8,604	69,706	70,000	7,323E+0
8,604	69,706	70,000	7,337E+0
10,771	69,743	70,000	7,350E+0
10,771	69,743	70,000	5,877E+0
12,938	69,796	70,000	5,889E+0
12,938	69,796	70,000	3,820E+0
12,938	69,796	70,000	3,830E+0
15,106	69,690	70,000	8,019E+0
15,106	69,690	70,000	8,033E+0
17,273	69,726	70,000	6,621E+0
17,273	69,726	70,000	6,633E+0
19,440	69,763	70,000	5,179E+0
19,440	69,763	70,000	5,190E+0
21,606	69,710	70,000	7,281E+0
21,606	69,710	70,000	7,294E+0
23,771	69,816	70,000	7,307E+0
23,771	69,816	70,000	3,140E+0
25,938	69,864	70,000	3,148E+0
25,938	69,864	70,000	1,275E+0
25,938	69,864	70,000	1,281E+0
28,106	69,760	70,000	5,388E+0
28,106	69,760	70,000	5,399E+0
30,271	69,855	70,000	1,645E+0
30,271	69,855	70,000	1,652E+0
32,436	69,763	70,000	5,304E+0
32,436	69,763	70,000	5,314E+0
34,602	69,726	70,000	6,791E+0
34,602	69,726	70,000	6,803E+0
36,769	69,529	70,000	6,816E+0
36,769	69,529	70,000	1,463E+1
38,936	69,666	70,000	1,466E+1
38,936	69,666	70,000	9,228E+0
38,936	69,666	70,000	9,243E+0
41,102	69,653	70,000	9,793E+0
41,102	69,653	70,000	9,809E+0
43,269	69,584	70,000	1,258E+1
43,269	69,584	70,000	1,260E+1
45,434	69,626	70,000	1,093E+1
45,434	69,626	70,000	1,095E+1
47,600	69,496	70,000	1,610E+1
47,600	69,496	70,000	1,612E+1
49,767	69,453	70,000	1,614E+1
49,767	69,453	70,000	1,789E+1
51,930	69,487	70,000	1,791E+1
51,930	69,487	70,000	1,659E+1
51,930	69,487	70,000	1,661E+1
54,096	69,547	70,000	1,424E+1
54,096	69,547	70,000	1,426E+1
56,263	69,364	70,000	2,153E+1
56,263	69,364	70,000	2,156E+1
58,432	69,402	70,000	2,010E+1
58,432	69,402	70,000	2,013E+1
60,594	69,483	70,000	1,693E+1
60,594	69,483	70,000	1,695E+1
62,765	69,433	70,000	1,697E+1
62,765	69,433	70,000	1,902E+1
64,932	69,273	70,000	1,904E+1
64,932	69,273	70,000	2,539E+1
64,932	69,273	70,000	2,542E+1
67,098	69,303	70,000	2,425E+1
67,098	69,303	70,000	2,428E+1
69,265	69,361	70,000	2,203E+1
69,265	69,361	70,000	2,206E+1
71,432	69,386	70,000	2,108E+1
71,432	69,386	70,000	2,111E+1
73,600	69,453	70,000	1,850E+1
73,600	69,453	70,000	1,852E+1
75,765	69,419	70,000	1,855E+1
75,765	69,419	70,000	1,992E+1
77,934	69,287	70,000	1,995E+1
77,934	69,287	70,000	2,520E+1
77,934	69,287	70,000	2,524E+1
80,098	69,302	70,000	2,469E+1
80,098	69,302	70,000	2,472E+1
82,265	69,261	70,000	2,636E+1
82,265	69,261	70,000	2,639E+1
84,432	69,219	70,000	2,811E+1
84,432	69,219	70,000	2,815E+1
86,597	69,239	70,000	2,737E+1
86,597	69,239	70,000	2,740E+1
88,761	69,173	70,000	2,744E+1
88,761	69,173	70,000	3,009E+1
90,930	69,189	70,000	3,013E+1
90,930	69,189	70,000	2,955E+1
90,930	69,189	70,000	2,959E+1
93,098	69,286	70,000	2,574E+1
93,098	69,286	70,000	2,577E+1
95,263	69,437	70,000	1,982E+1
95,263	69,437	70,000	1,985E+1
97,430	69,236	70,000	2,788E+1
97,430	69,236	70,000	2,791E+1
99,597	69,266	70,000	2,674E+1
99,597	69,266	70,000	2,677E+1
101,763	69,380	70,000	2,680E+1
101,763	69,380	70,000	2,234E+1
103,930	69,279	70,000	2,237E+1
103,930	69,279	70,000	2,636E+1
103,930	69,279	70,000	2,639E+1
106,097	69,257	70,000	2,729E+1
106,097	69,257	70,000	2,733E+1
108,257	69,108	70,000	3,326E+1
108,257	69,108	70,000	3,330E+1
110,424	69,258	70,000	2,742E+1
110,424	69,258	70,000	2,745E+1
112,591	69,166	70,000	3,111E+1
112,591	69,166	70,000	3,115E+1
114,753	69,084	70,000	3,119E+1
114,753	69,084	70,000	3,448E+1
