t	IF	IR	VF	VR
0,000	0,000	0,320	0,000E+0	3,000E+1
0,002	0,000	0,320	3,000E-1	3,000E+1
1,002	0,000	0,320	3,000E-1	3,000E+1
2,002	0,000	0,320	3,000E-1	3,000E+1
3,002	0,000	0,320	3,000E-1	3,000E+1
4,002	0,000	0,320	3,000E-1	3,000E+1
5,002	0,000	0,320	3,000E-1	3,000E+1
6,002	0,000	0,320	3,000E-1	3,000E+1
7,003	0,000	0,320	3,000E-1	3,000E+1
8,003	0,000	0,320	3,000E-1	3,000E+1
9,003	0,000	0,320	3,000E-1	3,000E+1
10,003	0,000	0,320	3,000E-1	3,000E+1
11,004	0,000	0,320	3,000E-1	3,000E+1
12,005	0,000	0,320	3,000E-1	3,000E+1
13,006	0,000	0,320	3,000E-1	3,000E+1
14,007	0,000	0,320	3,000E-1	3,000E+1
15,007	0,000	0,320	3,000E-1	3,000E+1
16,007	0,000	0,320	3,000E-1	3,000E+1
17,007	0,000	0,320	3,000E-1	3,000E+1
18,008	0,000	0,320	3,000E-1	3,000E+1
19,008	0,000	0,320	3,000E-1	3,000E+1
20,009	0,000	0,320	3,000E-1	3,000E+1
21,009	0,000	0,320	3,000E-1	3,000E+1
22,008	0,000	0,320	3,000E-1	3,000E+1
23,008	0,000	0,320	3,000E-1	3,000E+1
24,008	0,000	0,320	3,000E-1	3,000E+1
25,008	0,000	0,320	3,000E-1	3,000E+1
26,010	0,000	0,320	3,000E-1	3,000E+1
27,011	0,000	0,320	3,000E-1	3,000E+1
28,012	0,000	0,320	3,000E-1	3,000E+1
29,012	0,000	0,320	3,000E-1	3,000E+1
30,012	0,000	0,320	3,000E-1	3,000E+1
31,013	0,000	0,320	3,000E-1	3,000E+1
32,012	0,000	0,320	3,000E-1	3,000E+1
33,012	0,000	0,100	3,000E-1	3,000E+1
34,013	0,000	0,100	3,000E-1	3,000E+1
35,013	0,000	0,100	3,000E-1	3,000E+1
36,013	0,320	0,100	1,918E+1	3,000E+1
37,013	0,320	0,100	1,919E+1	3,000E+1
38,013	0,320	0,100	1,581E+1	3,000E+1
39,014	0,100	0,100	6,220E+0	3,000E+1
40,015	0,100	0,100	6,220E+0	3,000E+1
41,016	0,100	0,100	6,220E+0	3,000E+1
42,016	0,100	0,100	6,220E+0	3,000E+1
43,016	0,100	0,100	6,220E+0	3,000E+1
44,016	0,100	0,100	6,220E+0	3,000E+1
45,018	0,100	0,100	6,220E+0	3,000E+1
46,017	0,100	0,100	6,220E+0	3,000E+1
47,017	0,100	0,100	6,220E+0	3,000E+1
48,018	0,100	0,100	6,220E+0	3,000E+1
49,019	0,100	0,100	6,220E+0	3,000E+1
50,019	0,100	0,100	6,220E+0	3,000E+1
51,019	0,100	0,100	6,220E+0	3,000E+1
52,019	0,100	0,100	6,220E+0	3,000E+1
53,019	0,100	0,100	6,220E+0	3,000E+1
54,020	0,100	0,100	6,220E+0	3,000E+1
55,020	0,100	0,100	6,220E+0	3,000E+1
56,021	0,100	0,100	6,220E+0	3,000E+1
57,021	0,100	0,100	6,220E+0	3,000E+1
58,021	0,100	0,100	6,220E+0	3,000E+1
59,022	0,100	0,100	6,220E+0	3,000E+1
60,021	0,100	0,100	6,220E+0	3,000E+1
61,021	0,100	0,100	6,220E+0	3,000E+1
62,022	0,100	0,100	6,220E+0	3,000E+1
63,022	0,100	0,100	6,220E+0	3,000E+1
64,022	0,100	0,100	6,220E+0	3,000E+1
65,022	0,100	0,100	6,220E+0	3,000E+1
66,022	0,100	0,100	6,220E+0	3,000E+1
67,022	0,100	0,100	6,220E+0	3,000E+1
68,022	0,100	0,100	6,220E+0	3,000E+1
69,022	0,100	0,100	6,220E+0	3,000E+1
