t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
1,002	0,800	0,000	8,000E-1	8,000E-1	0,000E+0
2,002	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
3,002	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
4,002	1,320	0,000	1,320E+0	1,320E+0	0,000E+0
5,002	1,280	0,000	1,320E+0	0,000E+0	3,000E+3
6,002	1,280	0,000	1,280E+0	1,280E+0	3,000E+3
7,003	1,030	0,000	1,030E+0	1,030E+0	3,000E+3
8,003	1,100	0,000	1,100E+0	1,100E+0	3,000E+3
9,003	1,010	0,000	1,010E+0	1,010E+0	3,000E+3
10,003	1,120	0,000	1,120E+0	1,120E+0	3,000E+3
11,004	1,150	0,000	1,084E+0	1,084E+0	3,000E+3
12,005	1,150	0,000	1,150E+0	1,150E+0	3,000E+3
13,006	0,950	0,000	9,500E-1	9,500E-1	3,000E+3
14,007	1,030	0,000	1,030E+0	1,030E+0	3,000E+3
15,007	1,390	0,000	1,390E+0	1,390E+0	3,000E+3
16,007	0,920	0,000	9,200E-1	9,200E-1	3,000E+3
17,007	1,190	0,000	1,095E+0	1,095E+0	3,000E+3
18,008	1,190	0,000	1,190E+0	1,190E+0	3,000E+3
19,008	13,300	9,660	1,330E+1	1,330E+1	3,000E+3
20,009	95,280	85,850	9,528E+1	9,528E+1	3,000E+3
21,009	58,650	36,470	5,865E+1	5,865E+1	3,000E+3
22,008	21,490	17,650	2,149E+1	2,149E+1	3,000E+3
23,008	23,470	20,090	2,347E+1	2,347E+1	3,000E+3
24,008	24,940	20,530	2,347E+1	2,347E+1	3,000E+3
25,008	24,740	20,570	2,494E+1	2,494E+1	3,000E+3
26,010	24,150	20,550	2,474E+1	2,474E+1	3,000E+3
27,011	25,090	20,590	2,415E+1	2,415E+1	3,000E+3
28,012	24,270	20,600	2,509E+1	2,058E+1	3,000E+3
29,012	24,270	20,600	2,427E+1	2,427E+1	3,000E+3
30,012	24,340	20,570	2,434E+1	2,434E+1	3,000E+3
31,013	24,540	20,520	2,454E+1	2,454E+1	3,000E+3
32,012	24,350	20,550	2,435E+1	2,435E+1	3,000E+3
33,012	24,060	20,600	2,406E+1	2,406E+1	3,000E+3
34,013	24,790	20,510	2,428E+1	2,428E+1	3,000E+3
35,013	24,790	20,510	2,479E+1	2,479E+1	3,000E+3
36,013	24,190	20,510	2,419E+1	2,419E+1	3,000E+3
37,013	269,550	270,010	2,695E+2	2,695E+2	3,000E+3
38,013	345,680	370,200	3,457E+2	3,457E+2	3,000E+3
39,014	359,580	397,750	3,596E+2	3,596E+2	3,000E+3
40,015	60,600	55,840	2,119E+2	2,119E+2	3,000E+3
41,016	43,090	38,900	6,060E+1	6,060E+1	3,000E+3
42,016	43,090	38,900	4,309E+1	4,309E+1	3,000E+3
43,016	43,250	39,110	4,377E+1	4,377E+1	3,000E+3
44,016	43,250	39,110	4,325E+1	4,325E+1	3,000E+3
45,018	43,930	39,150	4,405E+1	4,405E+1	3,000E+3
46,017	43,930	39,150	4,393E+1	4,393E+1	3,000E+3
47,017	42,910	39,000	4,291E+1	4,291E+1	3,000E+3
48,018	43,220	39,100	4,291E+1	4,291E+1	3,000E+3
49,019	43,130	38,960	4,322E+1	4,322E+1	3,000E+3
50,019	43,000	39,100	4,313E+1	4,313E+1	3,000E+3
51,019	42,300	38,830	4,300E+1	4,300E+1	3,000E+3
52,019	42,470	38,960	4,230E+1	3,902E+1	3,000E+3
53,019	42,470	38,960	4,247E+1	4,247E+1	3,000E+3
54,020	42,360	38,910	4,236E+1	4,236E+1	3,000E+3
55,020	42,920	38,900	4,292E+1	4,292E+1	3,000E+3
56,021	42,290	38,870	4,292E+1	4,292E+1	3,000E+3
57,021	43,090	38,960	4,229E+1	4,229E+1	3,000E+3
58,021	43,090	38,960	4,309E+1	3,894E+1	3,000E+3
59,022	43,220	38,920	4,322E+1	4,322E+1	3,000E+3
60,021	42,400	38,890	4,240E+1	4,240E+1	3,000E+3
