t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,140	65,486	0,000	6,480E+1	6,528E+1	6,479E+1	6,291E+1	6,877E+1	6,940E+1	6,378E+1	6,599E+1	6,682E+1	6,199E+1
2,140	65,486	0,000	6,480E+1	6,528E+1	6,479E+1	6,291E+1	6,877E+1	6,940E+1	6,378E+1	6,599E+1	6,682E+1	6,199E+1
4,305	65,436	0,000	6,473E+1	6,524E+1	6,478E+1	6,287E+1	6,876E+1	6,940E+1	6,376E+1	6,596E+1	6,683E+1	6,184E+1
4,305	65,436	0,000	6,473E+1	6,524E+1	6,478E+1	6,287E+1	6,876E+1	6,940E+1	6,376E+1	6,596E+1	6,683E+1	6,184E+1
6,472	65,396	0,000	6,469E+1	6,522E+1	6,473E+1	6,288E+1	6,876E+1	6,936E+1	6,374E+1	6,594E+1	6,678E+1	6,184E+1
6,472	65,396	0,000	6,469E+1	6,522E+1	6,473E+1	6,288E+1	6,876E+1	6,936E+1	6,374E+1	6,594E+1	6,678E+1	6,184E+1
8,638	65,348	0,000	6,464E+1	6,518E+1	6,470E+1	6,290E+1	6,872E+1	6,933E+1	6,371E+1	6,594E+1	6,677E+1	6,189E+1
8,638	65,348	0,000	6,464E+1	6,518E+1	6,470E+1	6,290E+1	6,872E+1	6,933E+1	6,371E+1	6,594E+1	6,677E+1	6,189E+1
10,803	65,338	0,000	6,464E+1	6,517E+1	6,470E+1	6,285E+1	6,868E+1	6,927E+1	6,368E+1	6,598E+1	6,675E+1	6,180E+1
10,803	65,338	0,000	6,464E+1	6,517E+1	6,470E+1	6,285E+1	6,868E+1	6,927E+1	6,368E+1	6,598E+1	6,675E+1	6,180E+1
12,972	65,346	0,000	6,466E+1	6,517E+1	6,470E+1	6,284E+1	6,867E+1	6,930E+1	6,364E+1	6,593E+1	6,674E+1	6,185E+1
12,972	65,346	0,000	6,466E+1	6,517E+1	6,470E+1	6,284E+1	6,867E+1	6,930E+1	6,364E+1	6,593E+1	6,674E+1	6,185E+1
12,972	65,346	0,000	6,466E+1	6,517E+1	6,470E+1	6,284E+1	6,867E+1	6,930E+1	6,364E+1	6,593E+1	6,674E+1	6,185E+1
