t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	71,000	9,990E+1
0,000	0,000	71,000	9,990E+1
0,000	69,877	71,000	1,000E-2
2,140	69,877	71,000	6,066E-2
2,140	69,950	71,000	1,000E-2
4,305	69,950	70,000	1,000E-2
4,305	69,960	70,000	1,000E-2
6,472	69,960	70,000	1,181E-2
6,472	69,960	70,000	1,361E-2
8,638	69,996	70,000	1,000E-2
8,638	69,996	70,000	1,018E-2
10,803	69,950	70,000	1,833E+0
10,803	69,950	70,000	1,835E+0
12,972	69,840	70,000	6,196E+0
12,972	69,840	70,000	6,203E+0
12,972	69,641	70,000	1,410E+1
15,138	69,641	70,000	1,411E+1
15,138	69,853	70,000	5,728E+0
17,305	69,853	70,000	5,734E+0
17,305	69,817	70,000	7,148E+0
19,472	69,817	70,000	7,156E+0
19,472	69,763	70,000	7,164E+0
21,636	69,763	70,000	9,332E+0
21,636	69,763	70,000	9,343E+0
23,799	69,668	70,000	1,312E+1
23,799	69,668	70,000	1,313E+1
25,965	69,495	70,000	2,000E+1
25,965	69,495	70,000	2,002E+1
25,965	69,575	70,000	1,688E+1
28,132	69,575	70,000	1,690E+1
28,132	69,517	70,000	1,921E+1
30,299	69,517	70,000	1,924E+1
30,299	69,587	70,000	1,648E+1
32,465	69,587	70,000	1,650E+1
32,465	69,466	70,000	2,130E+1
34,632	69,466	70,000	2,132E+1
34,632	69,466	70,000	2,134E+1
36,797	69,376	70,000	2,493E+1
36,797	69,376	70,000	2,496E+1
38,963	69,456	70,000	2,184E+1
38,963	69,456	70,000	2,187E+1
38,963	69,405	70,000	2,389E+1
41,132	69,405	70,000	2,392E+1
41,132	69,543	70,000	1,850E+1
43,298	69,543	70,000	1,852E+1
43,298	69,434	70,000	2,286E+1
45,465	69,434	70,000	2,288E+1
45,465	69,310	70,000	2,782E+1
47,632	69,310	70,000	2,785E+1
47,632	69,310	70,000	2,788E+1
49,798	69,234	70,000	3,093E+1
49,798	69,234	70,000	3,096E+1
51,965	69,275	70,000	2,937E+1
51,965	69,275	70,000	2,940E+1
51,965	69,269	70,000	2,965E+1
54,133	69,269	70,000	2,969E+1
54,133	69,194	70,000	3,273E+1
56,298	69,194	70,000	3,277E+1
56,298	69,219	70,000	3,181E+1
58,465	69,219	70,000	3,185E+1
58,465	69,207	70,000	3,234E+1
60,629	69,207	70,000	3,238E+1
60,629	69,207	70,000	3,241E+1
62,798	69,192	70,000	3,306E+1
62,798	69,192	70,000	3,310E+1
64,963	69,228	70,000	3,167E+1
64,963	69,228	70,000	3,170E+1
64,963	69,269	70,000	3,011E+1
67,131	69,269	70,000	3,015E+1
67,131	69,203	70,000	3,279E+1
