t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,002	0,000	0,075	3,000E-1	3,000E+1
2,002	0,000	0,075	3,000E-1	3,000E+1
3,002	0,000	0,075	3,000E-1	3,000E+1
4,002	0,000	0,075	3,000E-1	3,000E+1
5,003	0,000	0,075	3,000E-1	3,000E+1
6,003	0,000	0,075	3,000E-1	3,000E+1
7,003	0,000	0,075	3,000E-1	3,000E+1
8,003	0,000	0,075	3,000E-1	3,000E+1
9,004	0,000	0,075	3,000E-1	3,000E+1
10,005	0,000	0,075	3,000E-1	3,000E+1
11,005	0,000	0,075	3,000E-1	3,000E+1
12,005	0,000	0,075	3,000E-1	3,000E+1
13,006	0,000	0,075	3,000E-1	3,000E+1
14,006	0,000	0,075	3,000E-1	3,000E+1
15,006	0,000	0,075	3,000E-1	3,000E+1
16,006	0,000	0,075	3,000E-1	3,000E+1
17,006	0,000	0,075	3,000E-1	3,000E+1
18,007	0,000	0,075	3,000E-1	3,000E+1
19,008	0,000	0,075	3,000E-1	3,000E+1
20,009	0,000	0,075	3,000E-1	3,000E+1
21,010	0,000	0,075	3,000E-1	3,000E+1
22,010	0,000	0,075	3,000E-1	3,000E+1
23,010	0,000	0,075	3,000E-1	3,000E+1
24,010	0,000	0,075	3,000E-1	3,000E+1
25,010	0,000	0,075	3,000E-1	3,000E+1
26,010	0,000	0,075	3,000E-1	3,000E+1
27,010	0,000	0,075	3,000E-1	3,000E+1
28,010	0,000	0,075	3,000E-1	3,000E+1
29,010	0,000	0,075	3,000E-1	3,000E+1
30,011	0,000	0,075	3,000E-1	3,000E+1
31,011	0,000	0,075	3,000E-1	3,000E+1
32,011	0,000	0,075	3,000E-1	3,000E+1
33,011	0,000	0,075	3,000E-1	3,000E+1
34,012	0,000	0,075	3,000E-1	3,000E+1
35,012	0,000	0,075	3,000E-1	3,000E+1
36,012	0,000	0,075	3,000E-1	3,000E+1
37,012	0,000	0,075	3,000E-1	3,000E+1
38,013	0,000	0,075	3,000E-1	3,000E+1
39,014	0,000	0,075	3,000E-1	3,000E+1
40,014	0,000	0,075	3,000E-1	3,000E+1
41,014	0,000	0,075	3,000E-1	3,000E+1
42,014	0,000	0,075	3,000E-1	3,000E+1
43,014	0,000	0,075	3,000E-1	3,000E+1
44,015	0,000	0,075	3,000E-1	3,000E+1
45,015	0,000	0,075	3,000E-1	3,000E+1
46,015	0,000	0,075	3,000E-1	3,000E+1
47,015	0,000	0,075	3,000E-1	3,000E+1
48,015	0,000	0,075	3,000E-1	3,000E+1
49,017	0,000	0,075	3,000E-1	3,000E+1
50,017	0,000	0,075	3,000E-1	3,000E+1
51,017	0,000	0,075	3,000E-1	3,000E+1
52,017	0,000	0,075	3,000E-1	3,000E+1
53,017	0,000	0,075	3,000E-1	3,000E+1
54,017	0,000	0,075	3,000E-1	3,000E+1
55,017	0,000	0,075	3,000E-1	3,000E+1
56,017	0,000	0,075	3,000E-1	3,000E+1
57,017	0,000	0,075	3,000E-1	3,000E+1
58,017	0,000	0,075	3,000E-1	3,000E+1
59,018	0,000	0,075	3,000E-1	3,000E+1
60,018	0,000	0,075	3,000E-1	3,000E+1
61,018	0,000	0,075	3,000E-1	3,000E+1
62,018	0,000	0,075	3,000E-1	3,000E+1
63,018	0,000	0,075	3,000E-1	3,000E+1
64,019	0,000	0,075	3,000E-1	3,000E+1
65,020	0,000	0,075	3,000E-1	3,000E+1
66,020	0,000	0,075	3,000E-1	3,000E+1
67,020	0,000	0,075	3,000E-1	3,000E+1
68,020	0,000	0,075	3,000E-1	3,000E+1
69,020	0,000	0,075	3,000E-1	3,000E+1
70,021	0,000	0,075	3,000E-1	3,000E+1
71,021	0,000	0,075	3,000E-1	3,000E+1
72,022	0,000	0,075	3,000E-1	3,000E+1
73,021	0,000	0,075	3,000E-1	3,000E+1
74,021	0,000	0,075	3,000E-1	3,000E+1
75,021	0,000	0,075	3,000E-1	3,000E+1
76,022	0,000	0,075	3,000E-1	3,000E+1
77,023	0,000	0,075	3,000E-1	3,000E+1
78,021	0,000	0,075	3,000E-1	3,000E+1
79,022	0,000	0,075	3,000E-1	3,000E+1
80,022	0,000	0,075	3,000E-1	3,000E+1
81,023	0,000	0,075	3,000E-1	3,000E+1
82,023	0,000	0,075	3,000E-1	3,000E+1
83,024	0,000	0,075	3,000E-1	3,000E+1
84,024	0,000	0,075	3,000E-1	3,000E+1
85,024	0,000	0,075	3,000E-1	3,000E+1
86,024	0,000	0,075	3,000E-1	3,000E+1
87,024	0,000	0,075	3,000E-1	3,000E+1
88,024	0,000	0,075	3,000E-1	3,000E+1
89,024	0,000	0,075	3,000E-1	3,000E+1
90,024	0,000	0,075	3,000E-1	3,000E+1
91,024	0,000	0,075	3,000E-1	3,000E+1
92,024	0,000	0,075	3,000E-1	3,000E+1
93,024	0,000	0,075	3,000E-1	3,000E+1
94,024	0,000	0,075	3,000E-1	3,000E+1
95,025	0,000	0,075	3,000E-1	3,000E+1
96,025	0,000	0,075	3,000E-1	3,000E+1
97,027	0,000	0,075	3,000E-1	3,000E+1
98,028	0,000	0,075	3,000E-1	3,000E+1
99,027	0,000	0,075	3,000E-1	3,000E+1
100,028	0,000	0,075	3,000E-1	3,000E+1
101,026	0,000	0,075	3,000E-1	3,000E+1
102,027	0,000	0,075	3,000E-1	3,000E+1
103,027	0,000	0,075	3,000E-1	3,000E+1
104,028	0,000	0,075	3,000E-1	3,000E+1
105,028	0,000	0,075	3,000E-1	3,000E+1
106,027	0,000	0,075	3,000E-1	3,000E+1
107,028	0,000	0,075	3,000E-1	3,000E+1
108,028	0,000	0,075	3,000E-1	3,000E+1
109,028	0,000	0,075	3,000E-1	3,000E+1
110,028	0,000	0,075	3,000E-1	3,000E+1
111,030	0,000	0,075	3,000E-1	3,000E+1
112,029	0,000	0,075	3,000E-1	3,000E+1
113,030	0,000	0,075	3,000E-1	3,000E+1
114,030	0,000	0,075	3,000E-1	3,000E+1
115,029	0,000	0,075	3,000E-1	3,000E+1
116,030	0,000	0,075	3,000E-1	3,000E+1
117,029	0,000	0,075	3,000E-1	3,000E+1
118,029	0,000	0,075	3,000E-1	3,000E+1
119,030	0,000	0,075	3,000E-1	3,000E+1
120,030	0,000	0,075	3,000E-1	3,000E+1
121,030	0,000	0,075	3,000E-1	3,000E+1
122,031	0,000	0,075	3,000E-1	3,000E+1
123,031	0,000	0,075	3,000E-1	3,000E+1
124,031	0,000	0,075	3,000E-1	3,000E+1
125,032	0,000	0,075	3,000E-1	3,000E+1
126,032	0,000	0,075	3,000E-1	3,000E+1
127,032	0,000	0,075	3,000E-1	3,000E+1
128,032	0,000	0,075	3,000E-1	3,000E+1
129,034	0,000	0,075	3,000E-1	3,000E+1
130,034	0,000	0,075	3,000E-1	3,000E+1
131,034	0,000	0,075	3,000E-1	3,000E+1
132,035	0,000	0,075	3,000E-1	3,000E+1
133,035	0,000	0,075	3,000E-1	3,000E+1
134,035	0,000	0,075	3,000E-1	3,000E+1
135,035	0,000	0,075	3,000E-1	3,000E+1
136,035	0,000	0,075	3,000E-1	3,000E+1
137,036	0,000	0,075	3,000E-1	3,000E+1
138,036	0,000	0,075	3,000E-1	3,000E+1
139,036	0,000	0,075	3,000E-1	3,000E+1
140,037	0,000	0,075	3,000E-1	3,000E+1
141,038	0,000	0,075	3,000E-1	3,000E+1
142,039	0,000	0,075	3,000E-1	3,000E+1
143,040	0,000	0,075	3,000E-1	3,000E+1
144,040	0,000	0,075	3,000E-1	3,000E+1
145,041	0,000	0,075	3,000E-1	3,000E+1
146,041	0,000	0,075	3,000E-1	3,000E+1
147,041	0,000	0,075	3,000E-1	3,000E+1
148,042	0,000	0,075	3,000E-1	3,000E+1
149,042	0,000	0,075	3,000E-1	3,000E+1
150,042	0,000	0,075	3,000E-1	3,000E+1
151,042	0,000	0,075	3,000E-1	3,000E+1
152,043	0,000	0,075	3,000E-1	3,000E+1
153,044	0,000	0,075	3,000E-1	3,000E+1
154,044	0,000	0,075	3,000E-1	3,000E+1
155,046	0,000	0,075	3,000E-1	3,000E+1
156,046	0,000	0,075	3,000E-1	3,000E+1
157,046	0,000	0,075	3,000E-1	3,000E+1
158,046	0,000	0,075	3,000E-1	3,000E+1
159,046	0,000	0,075	3,000E-1	3,000E+1
160,046	0,000	0,075	3,000E-1	3,000E+1
161,046	0,000	0,075	3,000E-1	3,000E+1
162,048	0,000	0,075	3,000E-1	3,000E+1
163,047	0,000	0,075	3,000E-1	3,000E+1
164,047	0,000	0,075	3,000E-1	3,000E+1
165,049	0,000	0,075	3,000E-1	3,000E+1
166,049	0,000	0,075	3,000E-1	3,000E+1
167,049	0,000	0,075	3,000E-1	3,000E+1
168,049	0,000	0,075	3,000E-1	3,000E+1
169,049	0,000	0,075	3,000E-1	3,000E+1
170,050	0,000	0,075	3,000E-1	3,000E+1
171,051	0,000	0,075	3,000E-1	3,000E+1
172,050	0,000	0,075	3,000E-1	3,000E+1
173,050	0,000	0,075	3,000E-1	3,000E+1
174,050	0,000	0,075	3,000E-1	3,000E+1
175,050	0,000	0,075	3,000E-1	3,000E+1
176,050	0,000	0,075	3,000E-1	3,000E+1
177,050	0,000	0,075	3,000E-1	3,000E+1
178,050	0,000	0,075	3,000E-1	3,000E+1
179,050	0,000	0,075	3,000E-1	3,000E+1
180,050	0,000	0,075	3,000E-1	3,000E+1
181,050	0,000	0,075	3,000E-1	3,000E+1
182,051	0,000	0,075	3,000E-1	3,000E+1
183,051	0,000	0,075	3,000E-1	3,000E+1
184,052	0,000	0,075	3,000E-1	3,000E+1
185,053	0,000	0,075	3,000E-1	3,000E+1
186,052	0,000	0,075	3,000E-1	3,000E+1
187,052	0,000	0,075	3,000E-1	3,000E+1
188,052	0,000	0,075	3,000E-1	3,000E+1
189,052	0,000	0,075	3,000E-1	3,000E+1
190,052	0,000	0,075	3,000E-1	3,000E+1
191,052	0,000	0,075	3,000E-1	3,000E+1
192,053	0,000	0,075	3,000E-1	3,000E+1
193,053	0,000	0,075	3,000E-1	3,000E+1
194,053	0,000	0,075	3,000E-1	3,000E+1
195,053	0,000	0,075	3,000E-1	3,000E+1
196,053	0,000	0,075	3,000E-1	3,000E+1
