t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,002	0,910	0,000	9,100E-1	9,100E-1	0,000E+0
2,002	1,010	0,000	9,100E-1	9,100E-1	0,000E+0
3,002	1,410	0,000	1,410E+0	1,410E+0	0,000E+0
4,002	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
5,003	1,280	0,000	1,070E+0	0,000E+0	0,000E+0
6,003	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
7,003	0,940	0,000	9,400E-1	9,400E-1	0,000E+0
8,003	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
9,004	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
10,005	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
11,005	0,900	0,000	1,077E+0	1,077E+0	0,000E+0
12,005	0,900	0,000	9,000E-1	9,000E-1	0,000E+0
13,006	1,190	0,000	1,190E+0	1,190E+0	0,000E+0
14,006	1,330	0,000	1,330E+0	1,330E+0	0,000E+0
15,006	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
16,006	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
17,006	1,350	0,000	1,350E+0	1,350E+0	0,000E+0
18,007	1,010	0,000	1,350E+0	1,350E+0	0,000E+0
19,008	1,100	0,000	1,010E+0	1,010E+0	0,000E+0
20,009	1,130	0,000	1,100E+0	1,100E+0	0,000E+0
21,010	0,980	0,000	1,130E+0	1,130E+0	0,000E+0
22,010	1,290	0,000	9,800E-1	0,000E+0	0,000E+0
23,010	1,290	0,000	1,290E+0	1,290E+0	0,000E+0
24,010	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
25,010	1,170	0,000	1,170E+0	1,170E+0	0,000E+0
26,010	1,030	0,000	1,170E+0	1,170E+0	0,000E+0
27,010	1,350	0,000	1,350E+0	1,350E+0	0,000E+0
28,010	1,300	0,000	1,350E+0	0,000E+0	0,000E+0
29,010	1,300	0,000	1,300E+0	1,300E+0	0,000E+0
30,011	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
31,011	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
32,011	0,830	0,000	8,300E-1	8,300E-1	0,000E+0
33,011	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
34,012	1,080	0,000	1,130E+0	0,000E+0	0,000E+0
35,012	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
36,012	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
37,012	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
38,013	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
39,014	0,990	0,000	1,110E+0	1,110E+0	0,000E+0
40,014	1,170	0,000	1,097E+0	1,097E+0	0,000E+0
41,014	1,170	0,000	1,170E+0	1,170E+0	0,000E+0
42,014	0,920	0,000	9,200E-1	9,200E-1	0,000E+0
43,014	1,210	0,000	1,210E+0	1,210E+0	0,000E+0
44,015	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
45,015	0,970	0,000	9,700E-1	9,700E-1	0,000E+0
46,015	1,240	0,000	1,111E+0	1,111E+0	0,000E+0
47,015	1,240	0,000	1,240E+0	1,240E+0	0,000E+0
