t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,142	59,738	0,000	5,660E+1	5,795E+1	5,767E+1	5,180E+1	6,025E+1	6,131E+1	5,287E+1	5,764E+1	5,885E+1	4,696E+1
2,142	59,738	0,000	5,660E+1	5,795E+1	5,767E+1	5,180E+1	6,025E+1	6,131E+1	5,287E+1	5,764E+1	5,885E+1	4,696E+1
4,308	59,746	0,000	5,662E+1	5,796E+1	5,774E+1	5,176E+1	6,016E+1	6,129E+1	5,284E+1	5,765E+1	5,887E+1	4,689E+1
4,308	59,746	0,000	5,662E+1	5,796E+1	5,774E+1	5,176E+1	6,016E+1	6,129E+1	5,284E+1	5,765E+1	5,887E+1	4,689E+1
6,476	59,720	0,000	5,654E+1	5,795E+1	5,773E+1	5,177E+1	6,023E+1	6,128E+1	5,284E+1	5,762E+1	5,888E+1	4,692E+1
6,476	59,720	0,000	5,654E+1	5,795E+1	5,773E+1	5,177E+1	6,023E+1	6,128E+1	5,284E+1	5,762E+1	5,888E+1	4,692E+1
8,642	59,730	0,000	5,649E+1	5,791E+1	5,777E+1	5,177E+1	6,028E+1	6,128E+1	5,283E+1	5,761E+1	5,889E+1	4,691E+1
8,642	59,730	0,000	5,649E+1	5,791E+1	5,777E+1	5,177E+1	6,028E+1	6,128E+1	5,283E+1	5,761E+1	5,889E+1	4,691E+1
10,808	59,713	0,000	5,646E+1	5,787E+1	5,770E+1	5,176E+1	6,025E+1	6,126E+1	5,282E+1	5,757E+1	5,888E+1	4,696E+1
10,808	59,713	0,000	5,646E+1	5,787E+1	5,770E+1	5,176E+1	6,025E+1	6,126E+1	5,282E+1	5,757E+1	5,888E+1	4,696E+1
12,974	59,606	0,000	5,649E+1	5,790E+1	5,768E+1	5,175E+1	6,019E+1	6,119E+1	5,282E+1	5,754E+1	5,885E+1	4,690E+1
12,974	59,606	0,000	5,649E+1	5,790E+1	5,768E+1	5,175E+1	6,019E+1	6,119E+1	5,282E+1	5,754E+1	5,885E+1	4,690E+1
12,974	59,606	0,000	5,649E+1	5,790E+1	5,768E+1	5,175E+1	6,019E+1	6,119E+1	5,282E+1	5,754E+1	5,885E+1	4,690E+1
