t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	56,865	70,000	9,990E+1
2,142	56,865	70,000	1,000E-2
2,142	56,877	70,000	6,025E-1
4,308	56,877	75,000	9,990E+1
4,308	56,907	75,000	9,990E+1
6,476	56,907	70,000	9,955E+1
6,476	56,907	70,000	1,000E-2
8,642	56,880	70,000	1,672E+0
8,642	56,880	70,000	2,263E+0
10,808	56,823	70,000	5,075E+0
10,808	56,823	70,000	5,670E+0
12,974	56,847	70,000	6,265E+0
12,974	56,847	70,000	5,929E+0
12,974	56,852	70,000	6,522E+0
15,144	56,852	70,000	6,919E+0
15,144	56,844	70,000	7,512E+0
17,308	56,844	70,000	8,442E+0
17,308	56,910	70,000	9,036E+0
19,474	56,910	70,000	7,015E+0
19,474	56,920	70,000	7,606E+0
21,640	56,920	70,000	7,781E+0
21,640	56,920	70,000	8,372E+0
23,806	56,992	70,000	6,110E+0
23,806	56,992	70,000	6,697E+0
25,974	56,813	70,000	7,285E+0
25,974	56,813	70,000	1,496E+1
25,974	56,824	70,000	1,556E+1
28,142	56,824	70,000	1,574E+1
28,142	56,864	70,000	1,633E+1
30,309	56,864	70,000	1,532E+1
30,309	56,822	70,000	1,592E+1
32,475	56,822	70,000	1,819E+1
32,475	56,788	70,000	1,879E+1
34,641	56,788	70,000	2,071E+1
34,641	56,788	70,000	2,131E+1
36,807	56,759	70,000	2,305E+1
36,807	56,759	70,000	2,365E+1
38,975	56,809	70,000	2,425E+1
38,975	56,809	70,000	2,285E+1
38,975	56,793	70,000	2,344E+1
41,141	56,793	70,000	2,469E+1
41,141	56,729	70,000	2,529E+1
43,307	56,729	70,000	2,842E+1
43,307	56,697	70,000	2,902E+1
45,473	56,697	70,000	3,091E+1
45,473	56,712	70,000	3,151E+1
47,639	56,712	70,000	3,149E+1
47,639	56,712	70,000	3,209E+1
49,805	56,688	70,000	3,364E+1
49,805	56,688	70,000	3,425E+1
51,973	56,618	70,000	3,485E+1
51,973	56,618	70,000	3,820E+1
51,973	56,624	70,000	3,881E+1
54,137	56,624	70,000	3,919E+1
54,137	56,548	70,000	3,980E+1
56,303	56,548	70,000	4,341E+1
56,303	56,498	70,000	4,402E+1
58,471	56,498	70,000	4,659E+1
58,471	56,502	70,000	4,720E+1
60,637	56,502	70,000	4,765E+1
60,637	56,502	70,000	4,826E+1
62,803	56,478	70,000	4,982E+1
62,803	56,478	70,000	5,043E+1
64,971	56,492	70,000	5,104E+1
64,971	56,492	70,000	5,111E+1
64,971	56,516	70,000	5,172E+1
67,136	56,516	70,000	5,138E+1
67,136	56,520	70,000	5,199E+1
69,304	56,520	70,000	5,246E+1
69,304	56,622	70,000	5,307E+1
71,472	56,622	70,000	4,962E+1
71,472	56,606	70,000	5,022E+1
73,638	56,606	70,000	5,148E+1
73,638	56,606	70,000	5,209E+1
75,806	56,669	70,000	5,015E+1
75,806	56,669	70,000	5,076E+1
77,972	56,728	70,000	5,136E+1
77,972	56,728	70,000	4,962E+1
77,972	56,722	70,000	5,022E+1
80,140	56,722	70,000	5,108E+1
80,140	56,649	70,000	5,168E+1
82,306	56,649	70,000	5,517E+1
82,306	56,677	70,000	5,577E+1
84,474	56,677	70,000	5,529E+1
84,474	56,648	70,000	5,589E+1
86,640	56,648	70,000	5,764E+1
86,640	56,648	70,000	5,824E+1
88,806	56,690	70,000	5,716E+1
88,806	56,690	70,000	5,776E+1
90,972	56,730	70,000	5,836E+1
90,972	56,730	70,000	5,736E+1
90,972	56,764	70,000	5,796E+1
93,138	56,764	70,000	5,721E+1
93,138	56,814	70,000	5,781E+1
95,306	56,814	70,000	5,646E+1
95,306	56,710	70,000	5,706E+1
97,472	56,710	70,000	6,175E+1
97,472	56,705	70,000	6,236E+1
99,638	56,705	70,000	6,315E+1
99,638	56,705	70,000	6,375E+1
101,808	56,725	70,000	6,354E+1
101,808	56,725	70,000	6,414E+1
103,974	56,810	70,000	6,474E+1
103,974	56,810	70,000	6,199E+1
103,974	56,835	70,000	6,259E+1
106,140	56,835	70,000	6,219E+1
106,140	56,775	70,000	6,279E+1
108,308	56,775	70,000	6,578E+1
108,308	56,763	70,000	6,638E+1
110,473	56,763	70,000	6,745E+1
110,473	56,813	70,000	6,805E+1
112,638	56,813	70,000	6,664E+1
112,638	56,813	70,000	6,724E+1
114,804	56,775	70,000	6,936E+1
114,804	56,775	70,000	6,996E+1
