t	IF	IR	VF	VR
0,000	0,000	0,000	0,000E+0	3,000E+1
0,002	0,000	0,000	3,000E-1	3,000E+1
1,001	0,000	0,000	3,000E-1	3,000E+1
2,001	0,000	0,000	3,000E-1	3,000E+1
3,001	0,000	0,000	3,000E-1	3,000E+1
4,001	0,000	0,000	3,000E-1	3,000E+1
5,001	0,000	0,000	3,000E-1	3,000E+1
6,001	0,000	0,000	3,000E-1	3,000E+1
7,001	0,000	0,000	3,000E-1	3,000E+1
8,001	0,000	0,000	3,000E-1	3,000E+1
9,003	0,000	0,000	3,000E-1	3,000E+1
10,002	0,000	0,000	3,000E-1	3,000E+1
11,002	0,000	0,000	3,000E-1	3,000E+1
12,002	0,000	0,000	3,000E-1	3,000E+1
13,002	0,000	0,000	3,000E-1	3,000E+1
14,003	0,000	0,000	3,000E-1	3,000E+1
15,003	0,000	0,000	3,000E-1	3,000E+1
16,004	0,000	0,000	3,000E-1	3,000E+1
17,003	0,000	0,000	3,000E-1	3,000E+1
18,004	0,000	0,000	3,000E-1	3,000E+1
19,004	0,000	0,000	3,000E-1	3,000E+1
20,006	0,000	0,000	3,000E-1	3,000E+1
21,006	0,000	0,000	3,000E-1	3,000E+1
22,006	0,000	0,000	3,000E-1	3,000E+1
23,007	0,000	0,000	3,000E-1	3,000E+1
24,007	0,000	0,000	3,000E-1	3,000E+1
25,007	0,000	0,000	3,000E-1	3,000E+1
26,008	0,000	0,000	3,000E-1	3,000E+1
27,008	0,000	0,000	3,000E-1	3,000E+1
28,009	0,000	0,000	3,000E-1	3,000E+1
29,009	0,000	0,000	3,000E-1	3,000E+1
30,008	0,000	0,000	3,000E-1	3,000E+1
31,010	0,000	0,000	3,000E-1	3,000E+1
32,009	0,000	0,000	3,000E-1	3,000E+1
33,011	0,000	0,000	3,000E-1	3,000E+1
34,010	0,000	0,000	3,000E-1	3,000E+1
35,011	0,000	0,000	3,000E-1	3,000E+1
36,012	0,000	0,000	3,000E-1	3,000E+1
37,013	0,000	0,000	3,000E-1	3,000E+1
38,012	0,000	0,000	3,000E-1	3,000E+1
39,013	0,000	0,000	3,000E-1	3,000E+1
40,014	0,000	0,000	3,000E-1	3,000E+1
41,015	0,000	0,000	3,000E-1	3,000E+1
42,015	0,000	0,000	3,000E-1	3,000E+1
43,014	0,000	0,000	3,000E-1	3,000E+1
44,015	0,000	0,000	3,000E-1	3,000E+1
45,017	0,000	0,000	3,000E-1	3,000E+1
46,017	0,000	0,000	3,000E-1	3,000E+1
47,016	0,000	0,000	3,000E-1	3,000E+1
48,017	0,000	0,000	3,000E-1	3,000E+1
49,018	0,000	0,000	3,000E-1	3,000E+1
50,018	0,000	0,000	3,000E-1	3,000E+1
51,017	0,000	0,000	3,000E-1	3,000E+1
52,019	0,000	0,000	3,000E-1	3,000E+1
53,018	0,000	0,000	3,000E-1	3,000E+1
54,018	0,000	0,000	3,000E-1	3,000E+1
55,020	0,000	0,000	3,000E-1	3,000E+1
56,021	0,000	0,000	3,000E-1	3,000E+1
57,021	0,000	0,000	3,000E-1	3,000E+1
58,022	0,000	0,000	3,000E-1	3,000E+1
59,022	0,000	0,000	3,000E-1	3,000E+1
60,022	0,000	0,000	3,000E-1	3,000E+1
61,022	0,000	0,000	3,000E-1	3,000E+1
62,023	0,000	0,000	3,000E-1	3,000E+1
63,024	0,000	0,000	3,000E-1	3,000E+1
64,023	0,000	0,000	3,000E-1	3,000E+1
65,024	0,000	0,000	3,000E-1	3,000E+1
66,023	0,000	0,000	3,000E-1	3,000E+1
67,024	0,000	0,000	3,000E-1	3,000E+1
68,023	0,000	0,000	3,000E-1	3,000E+1
69,025	0,000	0,000	3,000E-1	3,000E+1
70,026	0,000	0,000	3,000E-1	3,000E+1
71,027	0,000	0,000	3,000E-1	3,000E+1
72,028	0,000	0,000	3,000E-1	3,000E+1
73,028	0,000	0,000	3,000E-1	3,000E+1
74,028	0,000	0,000	3,000E-1	3,000E+1
75,029	0,000	0,000	3,000E-1	3,000E+1
76,030	0,000	0,000	3,000E-1	3,000E+1
77,030	0,000	0,000	3,000E-1	3,000E+1
78,030	0,000	0,000	3,000E-1	3,000E+1
79,032	0,000	0,000	3,000E-1	3,000E+1
80,032	0,000	0,000	3,000E-1	3,000E+1
81,033	0,000	0,000	3,000E-1	3,000E+1
82,033	0,000	0,000	3,000E-1	3,000E+1
83,034	0,000	0,000	3,000E-1	3,000E+1
84,033	0,000	0,000	3,000E-1	3,000E+1
85,033	0,000	0,000	3,000E-1	3,000E+1
86,033	0,000	0,000	3,000E-1	3,000E+1
87,035	0,000	0,000	3,000E-1	3,000E+1
88,034	0,000	0,000	3,000E-1	3,000E+1
89,034	0,000	0,000	3,000E-1	3,000E+1
90,035	0,000	0,000	3,000E-1	3,000E+1
91,034	0,000	0,000	3,000E-1	3,000E+1
92,034	0,000	0,000	3,000E-1	3,000E+1
93,036	0,000	0,000	3,000E-1	3,000E+1
94,035	0,000	0,000	3,000E-1	3,000E+1
95,035	0,000	0,000	3,000E-1	3,000E+1
96,035	0,000	0,000	3,000E-1	3,000E+1
97,035	0,000	0,000	3,000E-1	3,000E+1
98,036	0,000	0,000	3,000E-1	3,000E+1
99,036	0,000	0,000	3,000E-1	3,000E+1
100,035	0,000	0,000	3,000E-1	3,000E+1
101,037	0,000	0,000	3,000E-1	3,000E+1
102,036	0,000	0,000	3,000E-1	3,000E+1
103,037	0,000	0,000	3,000E-1	3,000E+1
104,036	0,000	0,000	3,000E-1	3,000E+1
105,036	0,000	0,000	3,000E-1	3,000E+1
106,036	0,000	0,000	3,000E-1	3,000E+1
107,036	0,000	0,000	3,000E-1	3,000E+1
108,036	0,000	0,000	3,000E-1	3,000E+1
109,037	0,000	0,000	3,000E-1	3,000E+1
110,037	0,000	0,000	3,000E-1	3,000E+1
111,037	0,000	0,000	3,000E-1	3,000E+1
112,036	0,000	0,000	3,000E-1	3,000E+1
113,036	0,000	0,000	3,000E-1	3,000E+1
