t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
1,001	0,830	0,000	8,300E-1	8,300E-1	0,000E+0
2,001	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
3,001	1,390	0,000	1,390E+0	1,390E+0	0,000E+0
4,001	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
5,001	1,260	0,000	1,030E+0	0,000E+0	0,000E+0
6,001	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
7,001	0,970	0,000	9,700E-1	9,700E-1	0,000E+0
8,001	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
9,003	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
10,002	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
11,002	1,080	0,000	1,008E+0	1,008E+0	0,000E+0
12,002	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
13,002	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
14,003	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
15,003	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
16,004	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
17,003	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
18,004	0,980	0,000	1,260E+0	1,260E+0	0,000E+0
19,004	0,980	0,000	9,800E-1	9,800E-1	0,000E+0
20,006	1,160	0,000	1,100E+0	1,100E+0	0,000E+0
21,006	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
22,006	1,180	0,000	1,020E+0	0,000E+0	0,000E+0
23,007	1,180	0,000	1,180E+0	1,180E+0	0,000E+0
24,007	0,830	0,000	1,180E+0	1,180E+0	0,000E+0
25,007	0,970	0,000	9,700E-1	9,700E-1	0,000E+0
26,008	1,080	0,000	9,700E-1	9,700E-1	0,000E+0
27,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
28,009	1,050	0,000	1,018E+0	1,018E+0	0,000E+0
29,009	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
30,008	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
31,010	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
32,009	1,250	0,000	1,250E+0	1,250E+0	0,000E+0
33,011	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
34,010	1,010	0,000	1,071E+0	1,071E+0	0,000E+0
35,011	0,950	0,000	1,010E+0	1,010E+0	0,000E+0
36,012	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
37,013	0,990	0,000	8,500E-1	8,500E-1	0,000E+0
38,012	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
39,013	1,250	0,000	1,250E+0	1,250E+0	0,000E+0
40,014	0,880	0,000	8,800E-1	8,800E-1	0,000E+0
41,015	1,100	0,000	8,800E-1	8,800E-1	0,000E+0
42,015	1,360	0,000	1,100E+0	1,100E+0	0,000E+0
43,014	0,900	0,000	1,360E+0	1,360E+0	0,000E+0
44,015	1,250	0,000	9,000E-1	9,000E-1	0,000E+0
45,017	0,940	0,000	1,250E+0	0,000E+0	0,000E+0
46,017	0,940	0,000	9,400E-1	9,400E-1	0,000E+0
47,016	1,190	0,000	9,400E-1	9,400E-1	0,000E+0
48,017	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
49,018	1,120	0,000	1,080E+0	1,080E+0	0,000E+0
50,018	1,180	0,000	1,180E+0	1,180E+0	0,000E+0
51,017	0,890	0,000	1,180E+0	0,000E+0	0,000E+0
52,019	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
53,018	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
54,018	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
55,020	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
56,021	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
57,021	1,230	0,000	1,122E+0	1,122E+0	0,000E+0
58,022	1,230	0,000	1,230E+0	1,230E+0	0,000E+0
59,022	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
60,022	0,920	0,000	9,200E-1	9,200E-1	0,000E+0
61,022	0,970	0,000	9,700E-1	9,700E-1	0,000E+0
62,023	1,310	0,000	1,310E+0	1,310E+0	0,000E+0
63,024	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
64,023	1,020	0,000	1,140E+0	1,140E+0	0,000E+0
65,024	0,970	0,000	1,020E+0	1,020E+0	0,000E+0
66,023	1,170	0,000	9,700E-1	9,700E-1	0,000E+0
67,024	1,030	0,000	1,170E+0	1,170E+0	0,000E+0
68,023	1,030	0,000	1,030E+0	0,000E+0	0,000E+0
69,025	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
70,026	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
71,027	1,290	0,000	1,290E+0	1,290E+0	0,000E+0
72,028	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
73,028	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
74,028	1,030	0,000	9,500E-1	0,000E+0	0,000E+0
75,029	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
76,030	0,940	0,000	9,400E-1	9,400E-1	0,000E+0
77,030	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
78,030	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
79,032	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
