t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	21,578	25,000	1,000E-2
2,000	21,581	25,000	2,583E-2
3,000	21,572	25,000	5,764E-1
4,000	21,567	25,000	8,897E-1
5,000	21,566	25,000	1,124E+0
6,000	21,562	25,000	1,418E+0
7,000	21,554	25,000	1,890E+0
8,001	21,552	25,000	2,145E+0
9,001	21,548	25,000	2,419E+0
10,001	21,553	25,000	2,377E+0
11,001	21,571	25,000	1,839E+0
12,001	21,586	25,000	1,400E+0
13,001	21,588	25,000	1,475E+0
14,001	21,605	25,000	9,748E-1
15,001	21,607	25,000	1,049E+0
16,001	21,602	25,000	1,380E+0
17,001	21,603	25,000	1,494E+0
18,002	21,607	25,000	1,509E+0
19,002	21,610	25,000	1,543E+0
20,002	21,617	25,000	1,419E+0
21,002	21,618	25,000	1,493E+0
22,002	21,608	25,000	2,061E+0
23,002	21,603	25,000	2,413E+0
24,002	21,602	25,000	2,586E+0
25,002	21,602	25,000	2,759E+0
26,003	21,604	25,000	2,853E+0
27,003	21,602	25,000	3,066E+0
28,003	21,604	25,000	3,140E+0
29,003	21,607	25,000	3,174E+0
30,003	21,604	25,000	3,446E+0
31,004	21,599	25,000	3,778E+0
32,004	21,605	25,000	3,734E+0
33,004	21,610	25,000	3,669E+0
34,004	21,608	25,000	3,901E+0
35,004	21,607	25,000	4,094E+0
36,004	21,607	25,000	4,267E+0
37,004	21,614	25,000	4,123E+0
38,004	21,608	25,000	4,534E+0
39,004	21,608	25,000	4,667E+0
40,004	21,601	25,000	5,117E+0
41,004	21,598	25,000	5,370E+0
42,005	21,597	25,000	5,563E+0
43,005	21,591	25,000	5,935E+0
44,005	21,581	25,000	6,505E+0
45,005	21,585	25,000	6,481E+0
46,005	21,595	25,000	6,278E+0
47,005	21,591	25,000	6,571E+0
48,005	21,590	25,000	6,744E+0
49,005	21,580	25,000	7,314E+0
50,005	21,579	25,000	7,508E+0
51,005	21,584	25,000	7,445E+0
52,005	21,586	25,000	7,540E+0
53,005	21,599	25,000	7,159E+0
54,006	21,612	25,000	6,817E+0
55,006	21,623	25,000	6,515E+0
56,006	21,635	25,000	6,211E+0
57,006	21,648	25,000	5,868E+0
58,006	21,651	25,000	5,901E+0
59,006	21,648	25,000	6,171E+0
60,006	21,648	25,000	6,283E+0
61,006	21,643	25,000	6,632E+0
62,006	21,648	25,000	6,585E+0
63,006	21,646	25,000	6,836E+0
64,006	21,651	25,000	6,789E+0
65,006	21,648	25,000	7,039E+0
66,006	21,636	25,000	7,666E+0
67,006	21,623	25,000	8,373E+0
68,006	21,627	25,000	8,367E+0
69,006	21,633	25,000	8,242E+0
70,006	21,640	25,000	8,116E+0
71,006	21,644	25,000	8,149E+0
72,007	21,645	25,000	8,241E+0
73,007	21,630	25,000	8,987E+0
74,007	21,633	25,000	9,020E+0
75,007	21,628	25,000	9,370E+0
76,007	21,630	25,000	9,444E+0
77,007	21,627	25,000	9,734E+0
78,007	21,636	25,000	9,490E+0
79,007	21,640	25,000	9,504E+0
80,007	21,639	25,000	9,715E+0
81,007	21,639	25,000	9,847E+0
82,007	21,634	25,000	1,020E+1
83,007	21,633	25,000	1,039E+1
84,007	21,635	25,000	1,048E+1
85,007	21,623	25,000	1,107E+1
86,007	21,614	25,000	1,162E+1
87,007	21,605	25,000	1,213E+1
88,008	21,605	25,000	1,224E+1
89,008	21,610	25,000	1,222E+1
90,008	21,619	25,000	1,201E+1
91,008	21,625	25,000	1,193E+1
92,008	21,633	25,000	1,178E+1
93,008	21,625	25,000	1,223E+1
94,008	21,630	25,000	1,217E+1
95,008	21,629	25,000	1,238E+1
96,008	21,630	25,000	1,251E+1
97,008	21,626	25,000	1,280E+1
98,008	21,633	25,000	1,268E+1
99,008	21,633	25,000	1,285E+1
100,008	21,635	25,000	1,290E+1
101,008	21,638	25,000	1,293E+1
102,008	21,631	25,000	1,334E+1
103,008	21,633	25,000	1,342E+1
104,008	21,631	25,000	1,367E+1
105,008	21,628	25,000	1,392E+1
106,008	21,618	25,000	1,449E+1
107,008	21,631	25,000	1,412E+1
108,008	21,625	25,000	1,449E+1
109,008	21,622	25,000	1,478E+1
110,009	21,640	25,000	1,422E+1
111,009	21,636	25,000	1,451E+1
112,009	21,650	25,000	1,413E+1
113,009	21,654	25,000	1,414E+1
114,009	21,649	25,000	1,447E+1
115,009	21,651	25,000	1,453E+1
116,009	21,650	25,000	1,474E+1
117,009	21,652	25,000	1,479E+1
118,009	21,662	25,000	1,458E+1
119,009	21,665	25,000	1,460E+1
120,009	21,660	25,000	1,496E+1
121,009	21,657	25,000	1,519E+1
122,009	21,651	25,000	1,558E+1
123,009	21,638	25,000	1,627E+1
124,009	21,648	25,000	1,602E+1
125,009	21,663	25,000	1,560E+1
126,009	21,668	25,000	1,555E+1
127,009	21,666	25,000	1,578E+1
128,009	21,651	25,000	1,649E+1
129,009	21,641	25,000	1,706E+1
130,010	21,640	25,000	1,723E+1
131,010	21,653	25,000	1,688E+1
132,010	21,679	25,000	1,600E+1
133,010	21,680	25,000	1,613E+1
134,010	21,692	25,000	1,577E+1
135,010	21,700	25,000	1,562E+1
136,010	21,713	25,000	1,526E+1
137,010	21,715	25,000	1,534E+1
138,010	21,712	25,000	1,561E+1
139,010	21,730	25,000	1,501E+1
140,010	21,725	25,000	1,537E+1
141,010	21,727	25,000	1,542E+1
142,010	21,715	25,000	1,605E+1
143,010	21,710	25,000	1,639E+1
144,010	21,719	25,000	1,620E+1
145,010	21,709	25,000	1,675E+1
146,011	21,696	25,000	1,741E+1
147,011	21,713	25,000	1,689E+1
148,011	21,707	25,000	1,725E+1
149,011	21,709	25,000	1,734E+1
150,011	21,720	25,000	1,708E+1
151,011	21,724	25,000	1,703E+1
152,011	21,728	25,000	1,703E+1
153,011	21,748	25,000	1,637E+1
154,011	21,745	25,000	1,668E+1
155,011	21,737	25,000	1,712E+1
156,012	21,737	25,000	1,725E+1
157,012	21,730	25,000	1,767E+1
158,012	21,726	25,000	1,802E+1
159,012	21,738	25,000	1,769E+1
160,012	21,760	25,000	1,695E+1
161,012	21,773	25,000	1,658E+1
162,012	21,791	25,000	1,603E+1
163,012	21,782	25,000	1,653E+1
164,012	21,767	25,000	1,723E+1
165,012	21,757	25,000	1,779E+1
166,012	21,752	25,000	1,812E+1
167,012	21,766	25,000	1,773E+1
168,012	21,770	25,000	1,772E+1
169,013	21,766	25,000	1,804E+1
170,013	21,776	25,000	1,775E+1
171,013	21,763	25,000	1,843E+1
172,013	21,774	25,000	1,812E+1
173,013	21,779	25,000	1,809E+1
174,013	21,782	25,000	1,812E+1
175,013	21,786	25,000	1,808E+1
176,013	21,804	25,000	1,753E+1
177,013	21,812	25,000	1,734E+1
178,013	21,812	25,000	1,751E+1
179,013	21,825	25,000	1,715E+1
180,013	21,828	25,000	1,714E+1
181,013	21,810	25,000	1,800E+1
182,014	21,797	25,000	1,865E+1
183,014	21,814	25,000	1,815E+1
184,014	21,804	25,000	1,869E+1
185,014	21,795	25,000	1,917E+1
186,014	21,792	25,000	1,945E+1
187,014	21,792	25,000	1,960E+1
188,014	21,797	25,000	1,956E+1
189,014	21,800	25,000	1,955E+1
190,014	21,794	25,000	1,995E+1
191,014	21,797	25,000	1,996E+1
192,014	21,806	25,000	1,974E+1
193,014	21,814	25,000	1,961E+1
194,014	21,826	25,000	1,926E+1
195,014	21,822	25,000	1,958E+1
196,014	21,789	25,000	2,101E+1
197,014	21,780	25,000	2,151E+1
198,015	21,784	25,000	2,152E+1
199,015	21,776	25,000	2,196E+1
200,015	21,780	25,000	2,193E+1
201,015	21,781	25,000	2,206E+1
202,015	21,795	25,000	2,163E+1
203,015	21,802	25,000	2,151E+1
204,015	21,812	25,000	2,126E+1
205,015	21,799	25,000	2,194E+1
206,015	21,801	25,000	2,199E+1
207,015	21,806	25,000	2,195E+1
208,015	21,816	25,000	2,168E+1
209,015	21,819	25,000	2,171E+1
210,015	21,834	25,000	2,125E+1
211,015	21,826	25,000	2,169E+1
212,015	21,821	25,000	2,206E+1
213,015	21,819	25,000	2,228E+1
214,015	21,820	25,000	2,236E+1
215,016	21,836	25,000	2,189E+1
216,016	21,857	25,000	2,120E+1
217,016	21,852	25,000	2,152E+1
218,016	21,877	25,000	2,071E+1
219,016	21,878	25,000	2,080E+1
220,016	21,871	25,000	2,119E+1
221,016	21,848	25,000	2,227E+1
222,016	21,855	25,000	2,215E+1
223,016	21,845	25,000	2,269E+1
