t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,204	0,000	0,075	3,000E-1	1,700E+1
0,403	0,000	0,075	3,000E-1	1,700E+1
0,605	0,000	0,075	3,000E-1	1,700E+1
0,804	0,000	0,075	3,000E-1	1,700E+1
1,005	0,000	0,075	3,000E-1	1,700E+1
1,206	0,000	0,075	3,000E-1	1,700E+1
1,406	0,000	0,075	3,000E-1	1,700E+1
1,606	0,000	0,075	3,000E-1	1,700E+1
1,806	0,000	0,075	3,000E-1	1,700E+1
2,006	0,000	0,075	3,000E-1	1,700E+1
2,207	0,000	0,075	3,000E-1	1,700E+1
2,407	0,000	0,075	3,000E-1	1,700E+1
2,607	0,000	0,075	3,000E-1	1,700E+1
2,807	0,000	0,075	3,000E-1	1,700E+1
3,008	0,000	0,075	3,000E-1	1,700E+1
3,208	0,000	0,075	3,000E-1	1,700E+1
3,408	0,000	0,075	3,000E-1	1,700E+1
3,608	0,000	0,075	3,000E-1	1,700E+1
3,809	0,000	0,075	3,000E-1	1,700E+1
4,009	0,000	0,075	3,000E-1	1,700E+1
4,210	0,000	0,075	3,000E-1	1,700E+1
4,411	0,000	0,075	3,000E-1	1,700E+1
4,611	0,000	0,075	3,000E-1	1,700E+1
4,813	0,000	0,075	3,000E-1	1,700E+1
5,012	0,000	0,075	3,000E-1	1,700E+1
5,212	0,000	0,075	3,000E-1	1,700E+1
5,413	0,000	0,075	3,000E-1	1,700E+1
5,613	0,000	0,075	3,000E-1	1,700E+1
5,813	0,000	0,075	3,000E-1	1,700E+1
6,014	0,000	0,075	3,000E-1	1,700E+1
6,215	0,000	0,075	3,000E-1	1,700E+1
6,416	0,000	0,075	3,000E-1	1,700E+1
6,616	0,000	0,075	3,000E-1	1,700E+1
6,816	0,000	0,075	3,000E-1	1,700E+1
7,016	0,000	0,075	3,000E-1	1,700E+1
7,217	0,000	0,075	3,000E-1	1,700E+1
7,417	0,000	0,075	3,000E-1	1,700E+1
7,618	0,000	0,075	3,000E-1	1,700E+1
7,818	0,000	0,075	3,000E-1	1,700E+1
8,019	0,000	0,075	3,000E-1	1,700E+1
8,219	0,000	0,075	3,000E-1	1,700E+1
8,418	0,000	0,075	3,000E-1	1,700E+1
8,618	0,000	0,075	3,000E-1	1,700E+1
8,819	0,000	0,075	3,000E-1	1,700E+1
9,019	0,000	0,075	3,000E-1	1,700E+1
9,220	0,000	0,075	3,000E-1	1,700E+1
9,420	0,000	0,075	3,000E-1	1,700E+1
9,620	0,000	0,075	3,000E-1	1,700E+1
9,820	0,000	0,075	3,000E-1	1,700E+1
10,020	0,000	0,075	3,000E-1	1,700E+1
10,222	0,000	0,075	3,000E-1	1,700E+1
10,421	0,000	0,075	3,000E-1	1,700E+1
10,621	0,000	0,075	3,000E-1	1,700E+1
10,821	0,000	0,075	3,000E-1	1,700E+1
11,021	0,000	0,075	3,000E-1	1,700E+1
11,222	0,000	0,075	3,000E-1	1,700E+1
11,422	0,000	0,075	3,000E-1	1,700E+1
11,622	0,000	0,075	3,000E-1	1,700E+1
11,822	0,000	0,075	3,000E-1	1,700E+1
12,022	0,000	0,075	3,000E-1	1,700E+1
12,223	0,000	0,075	3,000E-1	1,700E+1
12,422	0,000	0,075	3,000E-1	1,700E+1
12,622	0,000	0,075	3,000E-1	1,700E+1
12,822	0,000	0,075	3,000E-1	1,700E+1
13,022	0,000	0,075	3,000E-1	1,700E+1
13,223	0,000	0,075	3,000E-1	1,700E+1
13,424	0,000	0,075	3,000E-1	1,700E+1
13,625	0,000	0,075	3,000E-1	1,700E+1
13,825	0,000	0,075	3,000E-1	1,700E+1
14,026	0,000	0,075	3,000E-1	1,700E+1
14,227	0,000	0,075	3,000E-1	1,700E+1
14,426	0,000	0,075	3,000E-1	1,700E+1
14,626	0,000	0,075	3,000E-1	1,700E+1
14,826	0,000	0,075	3,000E-1	1,700E+1
15,026	0,000	0,075	3,000E-1	1,700E+1
15,227	0,000	0,075	3,000E-1	1,700E+1
15,428	0,000	0,075	3,000E-1	1,700E+1
15,629	0,000	0,075	3,000E-1	1,700E+1
15,829	0,000	0,075	3,000E-1	1,700E+1
16,028	0,000	0,075	3,000E-1	1,700E+1
16,230	0,000	0,075	3,000E-1	1,700E+1
16,431	0,000	0,075	3,000E-1	1,700E+1
16,631	0,000	0,075	3,000E-1	1,700E+1
16,831	0,000	0,075	3,000E-1	1,700E+1
17,031	0,000	0,075	3,000E-1	1,700E+1
17,232	0,000	0,075	3,000E-1	1,700E+1
17,433	0,000	0,075	3,000E-1	1,700E+1
17,633	0,000	0,075	3,000E-1	1,700E+1
17,833	0,000	0,075	3,000E-1	1,700E+1
18,033	0,000	0,075	3,000E-1	1,700E+1
18,233	0,000	0,075	3,000E-1	1,700E+1
18,434	0,000	0,075	3,000E-1	1,700E+1
18,633	0,000	0,075	3,000E-1	1,700E+1
18,834	0,000	0,075	3,000E-1	1,700E+1
19,034	0,000	0,075	3,000E-1	1,700E+1
19,235	0,000	0,075	3,000E-1	1,700E+1
19,436	0,000	0,075	3,000E-1	1,700E+1
19,636	0,000	0,075	3,000E-1	1,700E+1
19,836	0,000	0,075	3,000E-1	1,700E+1
20,036	0,000	0,075	3,000E-1	1,700E+1
20,236	0,000	0,075	3,000E-1	1,700E+1
20,437	0,000	0,075	3,000E-1	1,700E+1
20,637	0,000	0,075	3,000E-1	1,700E+1
20,837	0,000	0,075	3,000E-1	1,700E+1
21,036	0,000	0,075	3,000E-1	1,700E+1
21,238	0,000	0,075	3,000E-1	1,700E+1
21,437	0,000	0,075	3,000E-1	1,700E+1
21,637	0,000	0,075	3,000E-1	1,700E+1
21,838	0,000	0,075	3,000E-1	1,700E+1
22,039	0,000	0,075	3,000E-1	1,700E+1
22,241	0,000	0,075	3,000E-1	1,700E+1
22,440	0,000	0,075	3,000E-1	1,700E+1
22,640	0,000	0,075	3,000E-1	1,700E+1
22,840	0,000	0,075	3,000E-1	1,700E+1
23,041	0,000	0,075	3,000E-1	1,700E+1
23,240	0,000	0,075	3,000E-1	1,700E+1
23,440	0,000	0,075	3,000E-1	1,700E+1
23,640	0,000	0,075	3,000E-1	1,700E+1
23,840	0,000	0,075	3,000E-1	1,700E+1
24,040	0,000	0,075	3,000E-1	1,700E+1
24,240	0,000	0,075	3,000E-1	1,700E+1
24,441	0,000	0,075	3,000E-1	1,700E+1
24,641	0,000	0,075	3,000E-1	1,700E+1
24,841	0,000	0,075	3,000E-1	1,700E+1
25,041	0,000	0,075	3,000E-1	1,700E+1
25,242	0,000	0,075	3,000E-1	1,700E+1
25,442	0,000	0,075	3,000E-1	1,700E+1
25,642	0,000	0,075	3,000E-1	1,700E+1
25,843	0,000	0,075	3,000E-1	1,700E+1
26,043	0,000	0,075	3,000E-1	1,700E+1
26,245	0,000	0,075	3,000E-1	1,700E+1
26,445	0,000	0,075	3,000E-1	1,700E+1
26,645	0,000	0,075	3,000E-1	1,700E+1
26,844	0,000	0,075	3,000E-1	1,700E+1
27,044	0,000	0,075	3,000E-1	1,700E+1
27,246	0,000	0,075	3,000E-1	1,700E+1
27,445	0,000	0,075	3,000E-1	1,700E+1
27,645	0,000	0,075	3,000E-1	1,700E+1
27,846	0,000	0,075	3,000E-1	1,700E+1
28,045	0,000	0,075	3,000E-1	1,700E+1
28,248	0,000	0,075	3,000E-1	1,700E+1
28,447	0,000	0,075	3,000E-1	1,700E+1
28,649	0,000	0,075	3,000E-1	1,700E+1
28,849	0,000	0,075	3,000E-1	1,700E+1
29,050	0,000	0,075	3,000E-1	1,700E+1
29,251	0,000	0,075	3,000E-1	1,700E+1
29,451	0,000	0,075	3,000E-1	1,700E+1
29,651	0,000	0,075	3,000E-1	1,700E+1
29,851	0,000	0,075	3,000E-1	1,700E+1
30,052	0,000	0,075	3,000E-1	1,700E+1
30,253	0,000	0,075	3,000E-1	1,700E+1
30,453	0,000	0,075	3,000E-1	1,700E+1
30,653	0,000	0,075	3,000E-1	1,700E+1
30,855	0,000	0,075	3,000E-1	1,700E+1
31,055	0,000	0,075	3,000E-1	1,700E+1
31,254	0,000	0,075	3,000E-1	1,700E+1
31,455	0,000	0,075	3,000E-1	1,700E+1
31,656	0,000	0,075	3,000E-1	1,700E+1
31,858	0,000	0,075	3,000E-1	1,700E+1
32,058	0,000	0,075	3,000E-1	1,700E+1
32,259	0,000	0,075	3,000E-1	1,700E+1
32,459	0,000	0,075	3,000E-1	1,700E+1
32,659	0,000	0,075	3,000E-1	1,700E+1
32,859	0,000	0,075	3,000E-1	1,700E+1
33,061	0,000	0,075	3,000E-1	1,700E+1
33,262	0,000	0,075	3,000E-1	1,700E+1
33,461	0,000	0,075	3,000E-1	1,700E+1
33,661	0,000	0,075	3,000E-1	1,700E+1
33,861	0,000	0,075	3,000E-1	1,700E+1
34,061	0,000	0,075	3,000E-1	1,700E+1
34,263	0,000	0,075	3,000E-1	1,700E+1
34,463	0,075	0,075	3,000E-1	1,700E+1
34,665	0,075	0,075	5,320E+0	1,700E+1
34,864	0,075	0,075	5,320E+0	1,700E+1
35,065	0,075	0,075	5,060E+0	1,700E+1
35,265	0,075	0,075	5,060E+0	1,700E+1
35,466	0,075	0,075	5,060E+0	1,700E+1
35,666	0,075	0,075	5,060E+0	1,700E+1
