Time [s]	PV [ºC]	SP [ºC]	Duty Cycle 
0,000	0,000	25,000	9,990E+1
0,000	20,159	25,000	1,000E-2
1,000	20,162	25,000	1,095E-1
2,001	20,163	25,000	2,685E-1
4,001	20,168	25,000	3,086E-1
5,001	20,164	25,000	6,855E-1
6,001	20,166	25,000	8,244E-1
7,001	20,162	25,000	1,201E+0
8,001	20,165	25,000	1,321E+0
9,001	20,166	25,000	1,479E+0
10,001	20,171	25,000	1,500E+0
11,002	20,175	25,000	1,579E+0
12,002	20,182	25,000	1,500E+0
13,002	20,205	25,000	8,257E-1
14,002	20,214	25,000	6,658E-1
15,002	20,226	25,000	4,067E-1
16,002	20,245	25,000	1,000E-2
17,002	20,262	25,000	1,000E-2
18,002	20,269	25,000	1,000E-2
19,002	20,267	25,000	2,831E-1
20,002	20,263	25,000	6,553E-1
21,002	20,257	25,000	1,107E+0
22,002	20,258	25,000	1,281E+0
23,002	20,261	25,000	1,357E+0
24,003	20,264	25,000	1,492E+0
25,003	20,270	25,000	1,428E+0
26,003	20,270	25,000	1,681E+0
27,003	20,274	25,000	1,697E+0
28,003	20,279	25,000	1,752E+0
29,003	20,286	25,000	1,668E+0
30,003	20,292	25,000	1,643E+0
31,003	20,300	25,000	1,558E+0
32,003	20,311	25,000	1,315E+0
33,003	20,323	25,000	1,051E+0
34,003	20,338	25,000	6,681E-1
35,003	20,347	25,000	5,218E-1
36,003	20,358	25,000	2,762E-1
37,004	20,360	25,000	4,263E-1
38,004	20,366	25,000	3,981E-1
39,004	20,374	25,000	2,708E-1
40,004	20,383	25,000	1,624E-1
41,004	20,391	25,000	3,434E-2
42,004	20,383	25,000	5,592E-1
43,004	20,381	25,000	8,469E-1
44,004	20,385	25,000	8,970E-1
45,004	20,383	25,000	1,185E+0
46,004	20,370	25,000	1,888E+0
47,004	20,364	25,000	2,335E+0
48,004	20,361	25,000	2,683E+0
49,005	20,364	25,000	2,754E+0
50,005	20,372	25,000	2,666E+0
51,005	20,389	25,000	2,201E+0
52,005	20,395	25,000	2,192E+0
53,005	20,395	25,000	2,360E+0
54,005	20,393	25,000	2,667E+0
55,005	20,398	25,000	2,677E+0
56,005	20,403	25,000	2,687E+0
57,005	20,405	25,000	2,795E+0
58,005	20,409	25,000	2,884E+0
59,006	20,416	25,000	2,794E+0
60,006	20,426	25,000	2,585E+0
61,006	20,435	25,000	2,455E+0
62,006	20,446	25,000	2,245E+0
63,006	20,452	25,000	2,193E+0
64,006	20,448	25,000	2,537E+0
65,006	20,447	25,000	2,822E+0
66,006	20,447	25,000	2,987E+0
67,006	20,447	25,000	3,193E+0
68,006	20,444	25,000	3,557E+0
69,006	20,455	25,000	3,327E+0
70,007	20,457	25,000	3,414E+0
71,007	20,463	25,000	3,381E+0
72,007	20,461	25,000	3,685E+0
73,007	20,457	25,000	4,028E+0
74,007	20,462	25,000	4,035E+0
75,007	20,465	25,000	4,121E+0
76,007	20,454	25,000	4,782E+0
77,007	20,447	25,000	5,284E+0
78,007	20,441	25,000	5,727E+0
79,007	20,441	25,000	5,933E+0
80,007	20,443	25,000	6,060E+0
81,007	20,431	25,000	6,741E+0
82,007	20,433	25,000	6,829E+0
83,008	20,434	25,000	7,015E+0
84,008	20,434	25,000	7,201E+0
85,008	20,437	25,000	7,308E+0
86,008	20,438	25,000	7,455E+0
87,008	20,438	25,000	7,661E+0
88,008	20,440	25,000	7,808E+0
89,008	20,443	25,000	7,915E+0
90,008	20,441	25,000	8,160E+0
91,008	20,441	25,000	8,366E+0
92,008	20,446	25,000	8,393E+0
93,008	20,447	25,000	8,579E+0
94,008	20,453	25,000	8,527E+0
95,009	20,444	25,000	9,089E+0
96,009	20,438	25,000	9,513E+0
97,009	20,432	25,000	9,976E+0
98,009	20,441	25,000	9,806E+0
99,009	20,444	25,000	9,893E+0
100,009	20,447	25,000	9,980E+0
101,009	20,450	25,000	1,011E+1
102,009	20,454	25,000	1,013E+1
103,009	20,444	25,000	1,073E+1
104,009	20,447	25,000	1,080E+1
105,009	20,452	25,000	1,083E+1
106,009	20,450	25,000	1,111E+1
107,009	20,444	25,000	1,158E+1
108,010	20,437	25,000	1,202E+1
109,010	20,441	25,000	1,207E+1
110,010	20,444	25,000	1,215E+1
111,010	20,449	25,000	1,218E+1
112,010	20,440	25,000	1,274E+1
113,010	20,436	25,000	1,311E+1
114,010	20,437	25,000	1,329E+1
115,010	20,435	25,000	1,354E+1
116,010	20,437	25,000	1,369E+1
117,010	20,449	25,000	1,342E+1
118,010	20,459	25,000	1,323E+1
119,010	20,471	25,000	1,296E+1
120,010	20,474	25,000	1,304E+1
121,010	20,483	25,000	1,291E+1
122,011	20,477	25,000	1,335E+1
123,011	20,481	25,000	1,338E+1
124,011	20,478	25,000	1,370E+1
125,011	20,471	25,000	1,416E+1
126,011	20,466	25,000	1,456E+1
127,011	20,462	25,000	1,493E+1
128,011	20,465	25,000	1,501E+1
129,011	20,464	25,000	1,528E+1
130,011	20,468	25,000	1,532E+1
131,011	20,468	25,000	1,553E+1
132,011	20,468	25,000	1,571E+1
133,012	20,471	25,000	1,584E+1
134,012	20,467	25,000	1,618E+1
135,012	20,472	25,000	1,619E+1
136,012	20,457	25,000	1,697E+1
137,012	20,447	25,000	1,759E+1
138,012	20,444	25,000	1,789E+1
139,012	20,441	25,000	1,826E+1
140,012	20,440	25,000	1,848E+1
141,012	20,434	25,000	1,891E+1
142,012	20,447	25,000	1,864E+1
143,012	20,456	25,000	1,845E+1
144,012	20,450	25,000	1,893E+1
145,012	20,459	25,000	1,878E+1
146,013	20,462	25,000	1,886E+1
147,013	20,475	25,000	1,853E+1
148,013	20,482	25,000	1,846E+1
149,013	20,498	25,000	1,803E+1
150,013	20,508	25,000	1,782E+1
151,013	20,511	25,000	1,794E+1
152,013	20,500	25,000	1,854E+1
153,013	20,511	25,000	1,833E+1
154,013	20,518	25,000	1,825E+1
155,013	20,524	25,000	1,820E+1
156,013	20,524	25,000	1,842E+1
157,014	20,523	25,000	1,864E+1
158,014	20,531	25,000	1,855E+1
159,014	20,533	25,000	1,867E+1
160,014	20,526	25,000	1,915E+1
161,014	20,526	25,000	1,935E+1
162,014	20,530	25,000	1,940E+1
163,014	20,523	25,000	1,985E+1
164,014	20,529	25,000	1,984E+1
165,014	20,521	25,000	2,034E+1
166,014	20,526	25,000	2,038E+1
167,014	20,535	25,000	2,019E+1
168,014	20,553	25,000	1,972E+1
169,015	20,558	25,000	1,972E+1
170,015	20,569	25,000	1,948E+1
171,015	20,566	25,000	1,978E+1
172,015	20,565	25,000	2,004E+1
173,015	20,563	25,000	2,030E+1
174,015	20,554	25,000	2,086E+1
175,015	20,543	25,000	2,149E+1
176,015	20,542	25,000	2,172E+1
177,015	20,550	25,000	2,160E+1
178,015	20,556	25,000	2,158E+1
179,015	20,564	25,000	2,147E+1
180,015	20,554	25,000	2,206E+1
181,016	20,548	25,000	2,250E+1
182,016	20,544	25,000	2,284E+1
183,016	20,556	25,000	2,261E+1
184,016	20,559	25,000	2,269E+1
185,016	20,556	25,000	2,301E+1
186,016	20,559	25,000	2,309E+1
187,016	20,558	25,000	2,331E+1
188,016	20,568	25,000	2,311E+1
189,016	20,580	25,000	2,284E+1
190,017	20,588	25,000	2,270E+1
191,017	20,590	25,000	2,286E+1
192,017	20,598	25,000	2,274E+1
193,017	20,596	25,000	2,302E+1
194,017	20,595	25,000	2,326E+1
195,017	20,593	25,000	2,350E+1
196,017	20,603	25,000	2,332E+1
197,017	20,602	25,000	2,356E+1
198,017	20,605	25,000	2,362E+1
199,017	20,602	25,000	2,394E+1
200,017	20,601	25,000	2,419E+1
201,017	20,611	25,000	2,402E+1
202,018	20,623	25,000	2,374E+1
203,018	20,625	25,000	2,382E+1
204,018	20,632	25,000	2,378E+1
205,018	20,636	25,000	2,382E+1
206,018	20,632	25,000	2,415E+1
207,018	20,641	25,000	2,401E+1
208,018	20,645	25,000	2,401E+1
209,018	20,663	25,000	2,350E+1
210,018	20,659	25,000	2,387E+1
211,018	20,656	25,000	2,418E+1
212,018	20,656	25,000	2,438E+1
213,019	20,657	25,000	2,456E+1
214,019	20,651	25,000	2,499E+1
215,019	20,633	25,000	2,590E+1
216,019	20,636	25,000	2,596E+1
217,019	20,624	25,000	2,661E+1
218,019	20,619	25,000	2,705E+1
219,019	20,612	25,000	2,750E+1
220,019	20,618	25,000	2,744E+1
221,019	20,623	25,000	2,748E+1
222,019	20,626	25,000	2,756E+1
223,019	20,626	25,000	2,774E+1
224,020	20,629	25,000	2,784E+1
225,020	20,634	25,000	2,780E+1
226,020	20,640	25,000	2,778E+1
227,020	20,652	25,000	2,750E+1
228,020	20,663	25,000	2,728E+1
229,020	20,670	25,000	2,718E+1
230,020	20,663	25,000	2,767E+1
231,020	20,669	25,000	2,763E+1
232,020	20,668	25,000	2,784E+1
233,020	20,677	25,000	2,768E+1
234,020	20,681	25,000	2,770E+1
235,020	20,692	25,000	2,750E+1
236,020	20,703	25,000	2,726E+1
237,020	20,708	25,000	2,725E+1
238,021	20,736	25,000	2,630E+1
239,021	20,739	25,000	2,639E+1
240,021	20,742	25,000	2,648E+1
241,021	20,752	25,000	2,624E+1
242,021	20,753	25,000	2,641E+1
243,021	20,762	25,000	2,625E+1
244,021	20,760	25,000	2,654E+1
245,021	20,760	25,000	2,673E+1
246,021	20,744	25,000	2,755E+1
247,021	20,748	25,000	2,757E+1
248,022	20,752	25,000	2,758E+1
249,022	20,758	25,000	2,754E+1
250,022	20,761	25,000	2,761E+1
251,022	20,768	25,000	2,752E+1
252,022	20,777	25,000	2,738E+1
253,022	20,765	25,000	2,802E+1
254,022	20,773	25,000	2,792E+1
255,022	20,772	25,000	2,815E+1
256,022	20,765	25,000	2,860E+1
257,022	20,758	25,000	2,908E+1
258,022	20,758	25,000	2,926E+1
259,023	20,755	25,000	2,957E+1
260,023	20,757	25,000	2,970E+1
261,023	20,756	25,000	2,993E+1
262,023	20,763	25,000	2,984E+1
263,023	20,765	25,000	2,994E+1
264,023	20,779	25,000	2,959E+1
265,023	20,787	25,000	2,947E+1
266,023	20,782	25,000	2,985E+1
267,023	20,796	25,000	2,951E+1
268,023	20,796	25,000	2,968E+1
269,023	20,804	25,000	2,955E+1
270,023	20,812	25,000	2,941E+1
271,023	20,816	25,000	2,948E+1
272,023	20,825	25,000	2,929E+1
273,024	20,834	25,000	2,914E+1
274,024	20,836	25,000	2,925E+1
275,024	20,832	25,000	2,958E+1
276,024	20,852	25,000	2,899E+1
277,024	20,857	25,000	2,896E+1
278,024	20,852	25,000	2,937E+1
279,024	20,867	25,000	2,894E+1
280,024	20,864	25,000	2,924E+1
281,024	20,853	25,000	2,987E+1
282,024	20,848	25,000	3,027E+1
283,024	20,860	25,000	2,996E+1
284,024	20,863	25,000	3,005E+1
285,024	20,855	25,000	3,056E+1
286,025	20,855	25,000	3,074E+1
287,025	20,871	25,000	3,026E+1
288,025	20,869	25,000	3,054E+1
289,025	20,876	25,000	3,045E+1
290,025	20,901	25,000	2,967E+1
291,025	20,898	25,000	2,995E+1
292,025	20,914	25,000	2,950E+1
293,025	20,933	25,000	2,895E+1
294,025	20,941	25,000	2,882E+1
295,025	20,934	25,000	2,928E+1
296,025	20,931	25,000	2,958E+1
297,025	20,931	25,000	2,973E+1
298,026	20,944	25,000	2,940E+1
299,026	20,948	25,000	2,942E+1
300,026	20,948	25,000	2,962E+1
301,026	20,953	25,000	2,961E+1
302,026	20,951	25,000	2,985E+1
303,026	20,974	25,000	2,914E+1
304,026	20,974	25,000	2,934E+1
305,026	20,974	25,000	2,949E+1
306,026	20,974	25,000	2,969E+1
307,026	20,974	25,000	2,989E+1
308,026	20,962	25,000	3,051E+1
309,026	20,948	25,000	3,126E+1
310,027	20,937	25,000	3,190E+1
311,027	20,937	25,000	3,207E+1
312,027	20,945	25,000	3,193E+1
313,027	20,947	25,000	3,206E+1
314,027	20,939	25,000	3,254E+1
315,027	20,963	25,000	3,177E+1
316,027	20,972	25,000	3,159E+1
317,027	20,989	25,000	3,110E+1
318,027	20,986	25,000	3,138E+1
319,027	20,974	25,000	3,208E+1
320,027	20,985	25,000	3,180E+1
321,028	20,991	25,000	3,177E+1
322,028	20,995	25,000	3,175E+1
323,028	20,987	25,000	3,225E+1
324,028	21,001	25,000	3,190E+1
325,028	21,025	25,000	3,112E+1
326,028	21,027	25,000	3,123E+1
327,028	21,021	25,000	3,164E+1
328,028	21,016	25,000	3,202E+1
329,028	21,003	25,000	3,272E+1
330,028	20,986	25,000	3,357E+1
331,028	20,991	25,000	3,355E+1
332,029	21,003	25,000	3,326E+1
333,029	20,995	25,000	3,374E+1
334,029	21,001	25,000	3,370E+1
335,029	21,008	25,000	3,362E+1
336,029	21,012	25,000	3,360E+1
337,029	21,004	25,000	3,412E+1
338,029	21,014	25,000	3,388E+1
339,029	21,018	25,000	3,391E+1
340,029	21,002	25,000	3,472E+1
341,030	20,992	25,000	3,534E+1
342,030	21,004	25,000	3,502E+1
343,030	21,015	25,000	3,477E+1
