Time [s]	I_Fonte	I_SP	V_Fonte	V_SP
389,803	0,000	0,200	3,000E-1	1,500E+1
0,002	0,000	0,200	3,000E-1	1,500E+1
0,202	0,000	0,200	3,000E-1	1,500E+1
0,401	0,000	0,200	3,000E-1	1,500E+1
0,602	0,000	0,200	3,000E-1	1,500E+1
0,803	0,000	0,200	3,000E-1	1,500E+1
1,003	0,000	0,200	3,000E-1	1,500E+1
1,203	0,000	0,200	3,000E-1	1,500E+1
1,403	0,000	0,200	3,000E-1	1,500E+1
1,602	0,000	0,200	3,000E-1	1,500E+1
1,803	0,000	0,200	3,000E-1	1,500E+1
2,003	0,000	0,200	3,000E-1	1,500E+1
2,204	0,000	0,200	3,000E-1	1,500E+1
2,404	0,000	0,200	3,000E-1	1,500E+1
2,604	0,000	0,200	3,000E-1	1,500E+1
2,805	0,000	0,200	3,000E-1	1,500E+1
3,005	0,000	0,200	3,000E-1	1,500E+1
3,205	0,000	0,200	3,000E-1	1,500E+1
3,405	0,000	0,200	3,000E-1	1,500E+1
3,606	0,000	0,200	3,000E-1	1,500E+1
3,806	0,000	0,200	3,000E-1	1,500E+1
4,006	0,000	0,200	3,000E-1	1,500E+1
4,206	0,000	0,200	3,000E-1	1,500E+1
4,406	0,000	0,200	3,000E-1	1,500E+1
4,606	0,000	0,200	3,000E-1	1,500E+1
4,806	0,000	0,200	3,000E-1	1,500E+1
5,006	0,000	0,200	3,000E-1	1,500E+1
5,206	0,000	0,200	3,000E-1	1,500E+1
5,407	0,000	0,200	3,000E-1	1,500E+1
5,607	0,000	0,200	3,000E-1	1,500E+1
5,808	0,000	0,200	3,000E-1	1,500E+1
6,008	0,000	0,200	3,000E-1	1,500E+1
6,208	0,000	0,200	3,000E-1	1,500E+1
6,408	0,000	0,200	3,000E-1	1,500E+1
6,608	0,000	0,200	3,000E-1	1,500E+1
6,809	0,000	0,200	3,000E-1	1,500E+1
7,009	0,000	0,200	3,000E-1	1,500E+1
7,209	0,000	0,200	3,000E-1	1,500E+1
7,409	0,000	0,200	3,000E-1	1,500E+1
7,609	0,000	0,200	3,000E-1	1,500E+1
7,810	0,000	0,200	3,000E-1	1,500E+1
8,010	0,000	0,200	3,000E-1	1,500E+1
8,210	0,000	0,200	3,000E-1	1,500E+1
8,410	0,000	0,200	3,000E-1	1,500E+1
8,610	0,000	0,200	3,000E-1	1,500E+1
8,810	0,000	0,200	3,000E-1	1,500E+1
9,010	0,000	0,200	3,000E-1	1,500E+1
9,210	0,000	0,200	3,000E-1	1,500E+1
9,410	0,000	0,200	3,000E-1	1,500E+1
9,611	0,000	0,200	3,000E-1	1,500E+1
9,811	0,000	0,200	3,000E-1	1,500E+1
10,011	0,000	0,200	3,000E-1	1,500E+1
10,210	0,000	0,200	3,000E-1	1,500E+1
10,411	0,000	0,200	3,000E-1	1,500E+1
10,611	0,000	0,200	3,000E-1	1,500E+1
10,812	0,000	0,200	3,000E-1	1,500E+1
11,013	0,000	0,200	3,000E-1	1,500E+1
11,213	0,000	0,200	3,000E-1	1,500E+1
11,413	0,000	0,200	3,000E-1	1,500E+1
11,614	0,000	0,200	3,000E-1	1,500E+1
11,815	0,000	0,200	3,000E-1	1,500E+1
12,015	0,000	0,200	3,000E-1	1,500E+1
12,216	0,000	0,200	3,000E-1	1,500E+1
12,417	0,000	0,200	3,000E-1	1,500E+1
12,617	0,000	0,200	3,000E-1	1,500E+1
12,817	0,000	0,200	3,000E-1	1,500E+1
13,017	0,000	0,200	3,000E-1	1,500E+1
13,217	0,000	0,200	3,000E-1	1,500E+1
13,417	0,000	0,200	3,000E-1	1,500E+1
13,617	0,000	0,200	3,000E-1	1,500E+1
13,818	0,000	0,200	3,000E-1	1,500E+1
14,017	0,000	0,200	3,000E-1	1,500E+1
14,218	0,000	0,200	3,000E-1	1,500E+1
14,418	0,000	0,200	3,000E-1	1,500E+1
14,618	0,000	0,200	3,000E-1	1,500E+1
14,818	0,000	0,200	3,000E-1	1,500E+1
15,019	0,000	0,200	3,000E-1	1,500E+1
15,220	0,000	0,200	3,000E-1	1,500E+1
15,420	0,000	0,200	3,000E-1	1,500E+1
15,620	0,000	0,200	3,000E-1	1,500E+1
15,821	0,000	0,200	3,000E-1	1,500E+1
16,021	0,000	0,200	3,000E-1	1,500E+1
16,221	0,000	0,200	3,000E-1	1,500E+1
16,422	0,000	0,200	3,000E-1	1,500E+1
16,622	0,000	0,200	3,000E-1	1,500E+1
16,822	0,000	0,200	3,000E-1	1,500E+1
17,022	0,000	0,200	3,000E-1	1,500E+1
17,222	0,000	0,200	3,000E-1	1,500E+1
17,422	0,000	0,200	3,000E-1	1,500E+1
17,624	0,000	0,200	3,000E-1	1,500E+1
17,823	0,000	0,200	3,000E-1	1,500E+1
18,024	0,000	0,200	3,000E-1	1,500E+1
18,224	0,000	0,200	3,000E-1	1,500E+1
18,424	0,000	0,200	3,000E-1	1,500E+1
18,624	0,000	0,200	3,000E-1	1,500E+1
18,824	0,000	0,200	3,000E-1	1,500E+1
19,024	0,000	0,200	3,000E-1	1,500E+1
19,225	0,000	0,200	3,000E-1	1,500E+1
19,425	0,000	0,200	3,000E-1	1,500E+1
19,625	0,000	0,200	3,000E-1	1,500E+1
19,826	0,000	0,200	3,000E-1	1,500E+1
20,027	0,000	0,200	3,000E-1	1,500E+1
20,227	0,000	0,200	3,000E-1	1,500E+1
20,428	0,000	0,200	3,000E-1	1,500E+1
20,628	0,000	0,200	3,000E-1	1,500E+1
20,828	0,000	0,200	3,000E-1	1,500E+1
21,029	0,000	0,200	3,000E-1	1,500E+1
21,229	0,000	0,200	3,000E-1	1,500E+1
21,429	0,000	0,200	3,000E-1	1,500E+1
21,629	0,000	0,200	3,000E-1	1,500E+1
21,830	0,000	0,200	3,000E-1	1,500E+1
22,030	0,000	0,200	3,000E-1	1,500E+1
22,229	0,000	0,200	3,000E-1	1,500E+1
22,431	0,000	0,200	3,000E-1	1,500E+1
22,632	0,000	0,200	3,000E-1	1,500E+1
22,832	0,000	0,200	3,000E-1	1,500E+1
23,033	0,000	0,200	3,000E-1	1,500E+1
23,233	0,000	0,200	3,000E-1	1,500E+1
23,433	0,000	0,200	3,000E-1	1,500E+1
23,633	0,000	0,200	3,000E-1	1,500E+1
23,833	0,000	0,200	3,000E-1	1,500E+1
24,033	0,000	0,200	3,000E-1	1,500E+1
24,234	0,000	0,200	3,000E-1	1,500E+1
24,434	0,000	0,200	3,000E-1	1,500E+1
24,634	0,000	0,200	3,000E-1	1,500E+1
24,835	0,000	0,200	3,000E-1	1,500E+1
25,035	0,000	0,200	3,000E-1	1,500E+1
25,235	0,000	0,200	3,000E-1	1,500E+1
25,436	0,000	0,200	3,000E-1	1,500E+1
25,637	0,000	0,200	3,000E-1	1,500E+1
25,838	0,000	0,200	3,000E-1	1,500E+1
26,037	0,000	0,200	3,000E-1	1,500E+1
26,237	0,000	0,200	3,000E-1	1,500E+1
26,437	0,000	0,200	3,000E-1	1,500E+1
26,637	0,000	0,200	3,000E-1	1,500E+1
26,838	0,000	0,200	3,000E-1	1,500E+1
27,038	0,000	0,200	3,000E-1	1,500E+1
27,238	0,000	0,200	3,000E-1	1,500E+1
27,438	0,000	0,200	3,000E-1	1,500E+1
27,638	0,000	0,200	3,000E-1	1,500E+1
27,838	0,000	0,200	3,000E-1	1,500E+1
28,038	0,000	0,200	3,000E-1	1,500E+1
28,238	0,000	0,200	3,000E-1	1,500E+1
28,438	0,000	0,200	3,000E-1	1,500E+1
28,638	0,000	0,200	3,000E-1	1,500E+1
28,838	0,000	0,200	3,000E-1	1,500E+1
29,038	0,000	0,200	3,000E-1	1,500E+1
29,238	0,000	0,200	3,000E-1	1,500E+1
29,438	0,000	0,200	3,000E-1	1,500E+1
29,638	0,000	0,200	3,000E-1	1,500E+1
29,838	0,000	0,200	3,000E-1	1,500E+1
30,038	0,000	0,200	3,000E-1	1,500E+1
30,238	0,000	0,200	3,000E-1	1,500E+1
30,439	0,000	0,200	3,000E-1	1,500E+1
30,640	0,000	0,200	3,000E-1	1,500E+1
30,841	0,000	0,200	3,000E-1	1,500E+1
31,040	0,000	0,200	3,000E-1	1,500E+1
31,241	0,000	0,200	3,000E-1	1,500E+1
31,441	0,000	0,200	3,000E-1	1,500E+1
31,641	0,000	0,200	3,000E-1	1,500E+1
31,841	0,000	0,200	3,000E-1	1,500E+1
32,042	0,000	0,200	3,000E-1	1,500E+1
32,242	0,000	0,200	3,000E-1	1,500E+1
32,442	0,000	0,200	3,000E-1	1,500E+1
32,643	0,000	0,200	3,000E-1	1,500E+1
32,843	0,000	0,200	3,000E-1	1,500E+1
33,043	0,000	0,200	3,000E-1	1,500E+1
33,244	0,000	0,200	3,000E-1	1,500E+1
33,444	0,000	0,200	3,000E-1	1,500E+1
33,645	0,000	0,200	3,000E-1	1,500E+1
33,846	0,000	0,200	3,000E-1	1,500E+1
34,046	0,000	0,200	3,000E-1	1,500E+1
34,246	0,000	0,200	3,000E-1	1,500E+1
34,446	0,000	0,200	3,000E-1	1,500E+1
34,646	0,000	0,200	3,000E-1	1,500E+1
34,846	0,000	0,200	3,000E-1	1,500E+1
35,046	0,000	0,200	3,000E-1	1,500E+1
35,246	0,000	0,200	3,000E-1	1,500E+1
35,446	0,000	0,200	3,000E-1	1,500E+1
35,647	0,000	0,200	3,000E-1	1,500E+1
35,847	0,000	0,200	3,000E-1	1,500E+1
36,048	0,000	0,200	3,000E-1	1,500E+1
36,248	0,000	0,200	3,000E-1	1,500E+1
36,448	0,000	0,200	3,000E-1	1,500E+1
36,648	0,000	0,200	3,000E-1	1,500E+1
36,850	0,000	0,200	3,000E-1	1,500E+1
37,049	0,000	0,200	3,000E-1	1,500E+1
37,249	0,000	0,200	3,000E-1	1,500E+1
37,450	0,000	0,200	3,000E-1	1,500E+1
37,650	0,000	0,200	3,000E-1	1,500E+1
37,850	0,000	0,200	3,000E-1	1,500E+1
38,050	0,000	0,200	3,000E-1	1,500E+1
38,250	0,000	0,200	3,000E-1	1,500E+1
38,450	0,000	0,200	3,000E-1	1,500E+1
38,650	0,000	0,200	3,000E-1	1,500E+1
38,850	0,000	0,200	3,000E-1	1,500E+1
39,050	0,000	0,200	3,000E-1	1,500E+1
39,249	0,000	0,200	3,000E-1	1,500E+1
39,451	0,000	0,200	3,000E-1	1,500E+1
39,653	0,000	0,200	3,000E-1	1,500E+1
39,853	0,000	0,200	3,000E-1	1,500E+1
40,054	0,000	0,200	3,000E-1	1,500E+1
40,254	0,000	0,200	3,000E-1	1,500E+1
40,454	0,000	0,200	3,000E-1	1,500E+1
40,654	0,000	0,200	3,000E-1	1,500E+1
40,854	0,000	0,200	3,000E-1	1,500E+1
41,054	0,000	0,200	3,000E-1	1,500E+1
41,255	0,000	0,200	3,000E-1	1,500E+1
41,455	0,000	0,200	3,000E-1	1,500E+1
41,656	0,000	0,200	3,000E-1	1,500E+1
41,857	0,000	0,200	3,000E-1	1,500E+1
42,059	0,000	0,200	3,000E-1	1,500E+1
42,258	0,000	0,200	3,000E-1	1,500E+1
42,458	0,000	0,200	3,000E-1	1,500E+1
42,659	0,000	0,200	3,000E-1	1,500E+1
42,859	0,000	0,200	3,000E-1	1,500E+1
43,059	0,000	0,200	3,000E-1	1,500E+1
43,259	0,000	0,200	3,000E-1	1,500E+1
43,460	0,000	0,200	3,000E-1	1,500E+1
43,660	0,000	0,200	3,000E-1	1,500E+1
43,860	0,000	0,200	3,000E-1	1,500E+1
44,060	0,000	0,200	3,000E-1	1,500E+1
44,261	0,000	0,200	3,000E-1	1,500E+1
44,461	0,000	0,200	3,000E-1	1,500E+1
44,661	0,000	0,200	3,000E-1	1,500E+1
44,861	0,000	0,200	3,000E-1	1,500E+1
45,061	0,000	0,200	3,000E-1	1,500E+1
45,261	0,000	0,200	3,000E-1	1,500E+1
45,461	0,000	0,200	3,000E-1	1,500E+1
45,662	0,000	0,200	3,000E-1	1,500E+1
45,862	0,000	0,200	3,000E-1	1,500E+1
46,062	0,000	0,200	3,000E-1	1,500E+1
46,262	0,000	0,200	3,000E-1	1,500E+1
46,462	0,000	0,200	3,000E-1	1,500E+1
46,662	0,000	0,200	3,000E-1	1,500E+1
46,862	0,000	0,200	3,000E-1	1,500E+1
47,063	0,000	0,200	3,000E-1	1,500E+1
47,264	0,000	0,200	3,000E-1	1,500E+1
47,465	0,000	0,200	3,000E-1	1,500E+1
47,665	0,000	0,200	3,000E-1	1,500E+1
47,866	0,000	0,200	3,000E-1	1,500E+1
48,066	0,000	0,200	3,000E-1	1,500E+1
48,267	0,000	0,200	3,000E-1	1,500E+1
48,468	0,000	0,200	3,000E-1	1,500E+1
48,668	0,000	0,200	3,000E-1	1,500E+1
48,868	0,000	0,200	3,000E-1	1,500E+1
49,068	0,000	0,200	3,000E-1	1,500E+1
49,269	0,000	0,200	3,000E-1	1,500E+1
49,469	0,000	0,200	3,000E-1	1,500E+1
49,669	0,000	0,200	3,000E-1	1,500E+1
49,869	0,000	0,200	3,000E-1	1,500E+1
50,069	0,000	0,200	3,000E-1	1,500E+1
50,269	0,000	0,200	3,000E-1	1,500E+1
50,469	0,000	0,200	3,000E-1	1,500E+1
50,669	0,000	0,200	3,000E-1	1,500E+1
50,869	0,000	0,200	3,000E-1	1,500E+1
51,069	0,000	0,200	3,000E-1	1,500E+1
51,270	0,000	0,200	3,000E-1	1,500E+1
51,470	0,000	0,200	3,000E-1	1,500E+1
51,670	0,000	0,200	3,000E-1	1,500E+1
51,871	0,000	0,200	3,000E-1	1,500E+1
52,071	0,000	0,200	3,000E-1	1,500E+1
52,272	0,000	0,200	3,000E-1	1,500E+1
52,472	0,000	0,200	3,000E-1	1,500E+1
52,672	0,000	0,200	3,000E-1	1,500E+1
52,873	0,000	0,200	3,000E-1	1,500E+1
53,074	0,000	0,200	3,000E-1	1,500E+1
53,275	0,000	0,200	3,000E-1	1,500E+1
53,476	0,000	0,200	3,000E-1	1,500E+1
53,676	0,000	0,200	3,000E-1	1,500E+1
53,876	0,000	0,200	3,000E-1	1,500E+1
54,076	0,000	0,200	3,000E-1	1,500E+1
54,276	0,000	0,200	3,000E-1	1,500E+1
54,475	0,000	0,200	3,000E-1	1,500E+1
54,676	0,000	0,200	3,000E-1	1,500E+1
54,876	0,000	0,200	3,000E-1	1,500E+1
55,076	0,000	0,200	3,000E-1	1,500E+1
55,276	0,000	0,200	3,000E-1	1,500E+1
55,476	0,000	0,200	3,000E-1	1,500E+1
55,678	0,000	0,200	3,000E-1	1,500E+1
55,877	0,000	0,200	3,000E-1	1,500E+1
56,077	0,000	0,200	3,000E-1	1,500E+1
56,277	0,000	0,200	3,000E-1	1,500E+1
56,477	0,000	0,200	7,350E+0	1,500E+1
56,678	0,184	0,200	7,350E+0	1,500E+1
56,879	0,184	0,200	1,494E+1	1,500E+1
57,079	0,200	0,200	1,494E+1	1,500E+1
57,279	0,200	0,200	1,237E+1	1,500E+1
57,479	0,200	0,200	1,237E+1	1,500E+1
57,680	0,200	0,200	1,237E+1	1,500E+1
57,880	0,200	0,200	1,238E+1	1,500E+1
58,081	0,200	0,200	1,238E+1	1,500E+1
58,281	0,200	0,200	1,238E+1	1,500E+1
58,481	0,200	0,200	1,238E+1	1,500E+1
58,683	0,200	0,200	1,238E+1	1,500E+1
58,883	0,200	0,200	1,238E+1	1,500E+1
59,083	0,200	0,200	1,238E+1	1,500E+1
59,284	0,200	0,200	1,238E+1	1,500E+1
59,485	0,200	0,200	1,238E+1	1,500E+1
59,685	0,200	0,200	1,238E+1	1,500E+1
59,885	0,200	0,200	1,238E+1	1,500E+1
60,086	0,200	0,200	1,238E+1	1,500E+1
60,286	0,200	0,200	1,238E+1	1,500E+1
60,486	0,200	0,200	1,238E+1	1,500E+1
60,686	0,200	0,200	1,238E+1	1,500E+1
60,887	0,200	0,200	1,238E+1	1,500E+1
61,087	0,200	0,200	1,238E+1	1,500E+1
61,288	0,200	0,200	1,238E+1	1,500E+1
61,489	0,200	0,200	1,239E+1	1,500E+1
61,690	0,200	0,200	1,238E+1	1,500E+1
61,890	0,200	0,200	1,238E+1	1,500E+1
62,091	0,200	0,200	1,238E+1	1,500E+1
62,290	0,200	0,200	1,238E+1	1,500E+1
62,490	0,200	0,200	1,238E+1	1,500E+1
62,690	0,200	0,200	1,238E+1	1,500E+1
62,890	0,200	0,200	1,238E+1	1,500E+1
63,092	0,200	0,200	1,238E+1	1,500E+1
63,292	0,200	0,200	1,238E+1	1,500E+1
63,493	0,200	0,200	1,238E+1	1,500E+1
63,693	0,200	0,200	1,238E+1	1,500E+1
63,894	0,200	0,200	1,238E+1	1,500E+1
64,094	0,200	0,200	1,238E+1	1,500E+1
64,294	0,200	0,200	1,238E+1	1,500E+1
64,494	0,200	0,200	1,238E+1	1,500E+1
64,695	0,200	0,200	1,238E+1	1,500E+1
64,894	0,200	0,200	1,238E+1	1,500E+1
65,095	0,200	0,200	1,238E+1	1,500E+1
65,296	0,200	0,200	1,239E+1	1,500E+1
65,496	0,200	0,200	1,239E+1	1,500E+1
65,696	0,200	0,200	1,239E+1	1,500E+1
65,896	0,200	0,200	1,239E+1	1,500E+1
66,096	0,200	0,200	1,239E+1	1,500E+1
66,296	0,200	0,200	1,239E+1	1,500E+1
66,496	0,200	0,200	1,239E+1	1,500E+1
66,697	0,200	0,200	1,239E+1	1,500E+1
66,897	0,200	0,200	1,239E+1	1,500E+1
67,098	0,200	0,200	1,239E+1	1,500E+1
67,299	0,200	0,200	1,239E+1	1,500E+1
67,499	0,200	0,200	1,239E+1	1,500E+1
67,700	0,200	0,200	1,239E+1	1,500E+1
67,901	0,200	0,200	1,239E+1	1,500E+1
68,101	0,200	0,200	1,239E+1	1,500E+1
68,301	0,200	0,200	1,239E+1	1,500E+1
