Time [s]	PV [ºC]	SP [ºC]	Duty Cycle 
0,000	0,000	25,000	9,990E+1
1,000	21,106	25,000	1,000E-2
2,000	21,104	25,000	3,047E-1
3,000	21,111	25,000	1,636E-1
4,000	21,104	25,000	6,364E-1
5,000	21,099	25,000	9,906E-1
6,001	21,102	25,000	1,087E+0
7,001	21,110	25,000	9,269E-1
8,001	21,106	25,000	1,261E+0
9,001	21,108	25,000	1,377E+0
10,001	21,134	25,000	4,834E-1
11,001	21,150	25,000	4,357E-2
12,001	21,158	25,000	1,000E-2
13,001	21,172	25,000	1,000E-2
14,001	21,194	25,000	1,000E-2
15,001	21,184	25,000	5,585E-1
15,001	21,162	25,000	1,602E+0
17,002	21,151	25,000	2,192E+0
17,002	21,145	25,000	2,623E+0
19,003	21,151	25,000	2,559E+0
20,003	21,158	25,000	2,456E+0
21,003	21,172	25,000	2,074E+0
22,003	21,179	25,000	1,970E+0
23,003	21,197	25,000	1,449E+0
24,003	21,206	25,000	1,264E+0
25,003	21,211	25,000	1,218E+0
26,003	21,227	25,000	7,351E-1
27,003	21,238	25,000	4,892E-1
28,003	21,248	25,000	2,631E-1
29,003	21,250	25,000	3,531E-1
30,003	21,252	25,000	4,431E-1
31,003	21,274	25,000	1,000E-2
32,003	21,282	25,000	1,000E-2
33,004	21,288	25,000	1,000E-2
34,004	21,299	25,000	1,000E-2
35,004	21,297	25,000	2,169E-1
36,004	21,285	25,000	8,990E-1
37,004	21,285	25,000	1,027E+0
38,004	21,287	25,000	1,135E+0
39,004	21,299	25,000	8,475E-1
40,004	21,311	25,000	5,193E-1
41,004	21,324	25,000	1,908E-1
42,004	21,321	25,000	4,756E-1
43,004	21,310	25,000	1,058E+0
44,004	21,297	25,000	1,720E+0
45,004	21,299	25,000	1,847E+0
46,004	21,299	25,000	2,014E+0
47,004	21,291	25,000	2,479E+0
48,004	21,291	25,000	2,626E+0
49,004	21,285	25,000	3,031E+0
50,004	21,279	25,000	3,437E+0
51,005	21,273	25,000	3,882E+0
52,005	21,268	25,000	4,229E+0
53,005	21,262	25,000	4,635E+0
54,005	21,256	25,000	5,062E+0
55,005	21,250	25,000	5,448E+0
56,005	21,236	25,000	6,153E+0
57,005	21,247	25,000	5,887E+0
58,005	21,259	25,000	5,601E+0
59,005	21,267	25,000	5,452E+0
60,005	21,263	25,000	5,779E+0
61,005	21,279	25,000	5,294E+0
62,005	21,278	25,000	5,522E+0
63,005	21,293	25,000	5,115E+0
64,005	21,296	25,000	5,164E+0
65,005	21,286	25,000	5,688E+0
66,005	21,272	25,000	6,430E+0
67,005	21,268	25,000	6,757E+0
68,005	21,261	25,000	7,183E+0
69,006	21,248	25,000	7,906E+0
70,006	21,245	25,000	8,195E+0
71,006	21,241	25,000	8,523E+0
72,006	21,251	25,000	8,296E+0
73,006	21,256	25,000	8,248E+0
74,006	21,235	25,000	9,269E+0
75,006	21,221	25,000	9,974E+0
76,006	21,225	25,000	9,986E+0
77,006	21,241	25,000	9,542E+0
78,006	21,246	25,000	9,474E+0
79,006	21,246	25,000	9,643E+0
80,006	21,264	25,000	9,139E+0
81,006	21,273	25,000	8,932E+0
82,006	21,274	25,000	9,040E+0
83,006	21,280	25,000	8,991E+0
84,006	21,289	25,000	8,802E+0
85,006	21,306	25,000	8,296E+0
86,007	21,310	25,000	8,304E+0
87,007	21,300	25,000	8,847E+0
88,007	21,296	25,000	9,193E+0
89,007	21,292	25,000	9,499E+0
90,007	21,293	25,000	9,646E+0
91,007	21,292	25,000	9,853E+0
92,007	21,285	25,000	1,028E+1
93,007	21,282	25,000	1,058E+1
94,007	21,287	25,000	1,057E+1
95,007	21,279	25,000	1,102E+1
96,007	21,273	25,000	1,145E+1
97,007	21,270	25,000	1,171E+1
98,027	21,277	25,000	1,162E+1
99,027	21,280	25,000	1,167E+1
100,027	21,278	25,000	1,194E+1
101,027	21,281	25,000	1,199E+1
102,027	21,279	25,000	1,224E+1
103,027	21,294	25,000	1,179E+1
104,027	21,313	25,000	1,120E+1
105,027	21,318	25,000	1,117E+1
106,027	21,314	25,000	1,152E+1
107,027	21,316	25,000	1,156E+1
108,027	21,309	25,000	1,201E+1
109,027	21,319	25,000	1,178E+1
110,027	21,328	25,000	1,163E+1
111,027	21,330	25,000	1,171E+1
112,027	21,356	25,000	1,081E+1
113,027	21,369	25,000	1,046E+1
114,027	21,380	25,000	1,023E+1
115,027	21,383	25,000	1,023E+1
