Time [s]	I_Fonte[A]	I_SP[A]	V_Fonte[V]	V_SP[V]
0,000	0,000	0,150	0,000E+0	1,500E+1
0,003	0,000	0,150	3,000E-1	1,500E+1
0,204	0,000	0,150	3,000E-1	1,500E+1
0,404	0,000	0,150	3,000E-1	1,500E+1
0,604	0,000	0,150	3,000E-1	1,500E+1
0,806	0,000	0,150	3,000E-1	1,500E+1
1,007	0,000	0,150	3,000E-1	1,500E+1
1,207	0,000	0,150	3,000E-1	1,500E+1
1,407	0,000	0,150	3,000E-1	1,500E+1
1,607	0,000	0,150	3,000E-1	1,500E+1
1,809	0,000	0,150	3,000E-1	1,500E+1
2,008	0,000	0,150	3,000E-1	1,500E+1
2,209	0,000	0,150	3,000E-1	1,500E+1
2,410	0,000	0,150	3,000E-1	1,500E+1
2,609	0,000	0,150	3,000E-1	1,500E+1
2,810	0,000	0,150	3,000E-1	1,500E+1
3,012	0,000	0,150	3,000E-1	1,500E+1
3,212	0,000	0,150	3,000E-1	1,500E+1
3,413	0,000	0,150	3,000E-1	1,500E+1
3,614	0,000	0,150	3,000E-1	1,500E+1
3,815	0,000	0,150	3,000E-1	1,500E+1
4,016	0,000	0,150	3,000E-1	1,500E+1
4,217	0,000	0,150	3,000E-1	1,500E+1
4,416	0,000	0,150	3,000E-1	1,500E+1
4,616	0,000	0,150	3,000E-1	1,500E+1
4,817	0,000	0,150	3,000E-1	1,500E+1
5,016	0,000	0,150	3,000E-1	1,500E+1
5,217	0,000	0,150	3,000E-1	1,500E+1
5,418	0,000	0,150	3,000E-1	1,500E+1
5,618	0,000	0,150	3,000E-1	1,500E+1
5,817	0,000	0,150	3,000E-1	1,500E+1
6,018	0,000	0,150	3,000E-1	1,500E+1
6,218	0,000	0,150	3,000E-1	1,500E+1
6,419	0,000	0,150	3,000E-1	1,500E+1
6,618	0,000	0,150	3,000E-1	1,500E+1
6,819	0,089	0,150	3,000E-1	1,500E+1
7,020	0,089	0,150	1,262E+1	1,500E+1
7,220	0,150	0,150	1,262E+1	1,500E+1
7,420	0,150	0,150	9,260E+0	1,500E+1
7,620	0,150	0,150	9,250E+0	1,500E+1
7,819	0,150	0,150	9,250E+0	1,500E+1
8,021	0,150	0,150	9,250E+0	1,500E+1
8,221	0,150	0,150	9,250E+0	1,500E+1
8,421	0,150	0,150	9,250E+0	1,500E+1
8,621	0,150	0,150	9,250E+0	1,500E+1
8,820	0,150	0,150	9,250E+0	1,500E+1
9,020	0,150	0,150	9,250E+0	1,500E+1
9,220	0,150	0,150	9,250E+0	1,500E+1
9,421	0,150	0,150	9,250E+0	1,500E+1
9,621	0,150	0,150	9,250E+0	1,500E+1
9,821	0,150	0,150	9,250E+0	1,500E+1
10,021	0,150	0,150	9,250E+0	1,500E+1
10,222	0,150	0,150	9,250E+0	1,500E+1
10,424	0,150	0,150	9,250E+0	1,500E+1
10,625	0,150	0,150	9,260E+0	1,500E+1
10,824	0,150	0,150	9,250E+0	1,500E+1
11,024	0,150	0,150	9,250E+0	1,500E+1
11,224	0,150	0,150	9,250E+0	1,500E+1
11,425	0,150	0,150	9,250E+0	1,500E+1
11,627	0,150	0,150	9,250E+0	1,500E+1
11,828	0,150	0,150	9,250E+0	1,500E+1
12,027	0,150	0,150	9,250E+0	1,500E+1
12,228	0,150	0,150	9,260E+0	1,500E+1
12,428	0,150	0,150	9,260E+0	1,500E+1
12,629	0,150	0,150	9,250E+0	1,500E+1
12,829	0,150	0,150	9,250E+0	1,500E+1
13,030	0,150	0,150	9,260E+0	1,500E+1
13,231	0,150	0,150	9,260E+0	1,500E+1
13,430	0,150	0,150	9,260E+0	1,500E+1
13,630	0,150	0,150	9,260E+0	1,500E+1
13,831	0,150	0,150	9,260E+0	1,500E+1
14,031	0,150	0,150	9,260E+0	1,500E+1
14,231	0,150	0,150	9,250E+0	1,500E+1
14,431	0,150	0,150	9,260E+0	1,500E+1
14,632	0,150	0,150	9,260E+0	1,500E+1
14,833	0,150	0,150	9,250E+0	1,500E+1
15,033	0,150	0,150	9,260E+0	1,500E+1
15,233	0,150	0,150	9,260E+0	1,500E+1
15,433	0,150	0,150	9,260E+0	1,500E+1
15,632	0,150	0,150	9,260E+0	1,500E+1
15,832	0,150	0,150	9,260E+0	1,500E+1
16,033	0,150	0,150	9,260E+0	1,500E+1
16,232	0,150	0,150	9,260E+0	1,500E+1
16,432	0,150	0,150	9,260E+0	1,500E+1
16,632	0,150	0,150	9,260E+0	1,500E+1
16,832	0,150	0,150	9,260E+0	1,500E+1
17,033	0,150	0,150	9,260E+0	1,500E+1
17,232	0,150	0,150	9,260E+0	1,500E+1
