Time [s]	PC(E)[W]	PL(E)[W]	PC(T)[W]	PL(T)[W]
0,000	0,000	0,000	0,000E+0	0,000E+0
0,003	0,000	0,000	0,000E+0	0,000E+0
0,204	0,980	0,000	1,263E+0	1,263E+0
0,404	0,980	0,000	1,263E+0	1,263E+0
0,604	0,980	0,000	9,800E-1	9,800E-1
0,806	0,980	0,000	9,800E-1	9,800E-1
1,007	0,980	0,000	9,800E-1	9,800E-1
1,207	0,980	0,000	9,800E-1	9,800E-1
1,407	0,980	0,000	9,800E-1	9,800E-1
1,607	1,070	0,000	9,800E-1	9,800E-1
1,809	1,070	0,000	9,800E-1	9,800E-1
2,008	1,070	0,000	1,070E+0	1,070E+0
2,209	1,070	0,000	1,070E+0	1,070E+0
2,410	1,070	0,000	1,070E+0	1,070E+0
2,609	0,900	0,000	1,070E+0	1,070E+0
2,810	0,900	0,000	1,070E+0	1,070E+0
3,012	0,900	0,000	9,000E-1	9,000E-1
3,212	0,900	0,000	9,000E-1	9,000E-1
3,413	0,900	0,000	9,000E-1	9,000E-1
3,614	1,100	0,000	9,000E-1	9,000E-1
3,815	1,100	0,000	1,100E+0	1,100E+0
4,016	1,100	0,000	1,100E+0	1,100E+0
4,217	1,100	0,000	1,100E+0	1,100E+0
4,416	1,100	0,000	1,100E+0	1,100E+0
4,616	1,260	0,000	1,100E+0	1,100E+0
4,817	1,260	0,000	1,260E+0	1,260E+0
5,016	1,260	0,000	1,260E+0	1,260E+0
5,217	1,260	0,000	1,260E+0	1,260E+0
5,418	1,260	0,000	1,260E+0	1,260E+0
5,618	1,180	0,000	1,260E+0	0,000E+0
5,817	1,180	0,000	1,260E+0	0,000E+0
6,018	1,180	0,000	1,260E+0	0,000E+0
6,218	1,180	0,000	1,095E+0	1,095E+0
6,419	1,180	0,000	1,095E+0	1,095E+0
6,618	1,180	0,000	1,180E+0	1,180E+0
6,819	1,180	0,000	1,180E+0	1,180E+0
7,020	1,180	0,000	1,180E+0	1,180E+0
7,220	1,180	0,000	1,180E+0	1,180E+0
7,420	1,180	0,000	1,180E+0	1,180E+0
7,620	1,180	0,000	1,180E+0	1,180E+0
7,819	1,180	0,000	1,180E+0	1,180E+0
8,021	1,180	0,000	1,180E+0	1,180E+0
8,221	1,180	0,000	1,180E+0	1,180E+0
8,421	1,030	0,000	1,180E+0	1,180E+0
8,621	1,030	0,000	1,030E+0	1,030E+0
8,820	1,030	0,000	1,030E+0	1,030E+0
9,020	1,030	0,000	1,030E+0	1,030E+0
9,220	1,030	0,000	1,030E+0	1,030E+0
9,421	1,140	0,000	1,030E+0	1,030E+0
9,621	1,140	0,000	1,140E+0	1,140E+0
9,821	1,140	0,000	1,140E+0	1,140E+0
10,021	1,140	0,000	1,140E+0	1,140E+0
10,222	1,150	0,000	1,140E+0	1,140E+0
10,424	1,150	0,000	1,140E+0	1,140E+0
10,625	1,150	0,000	1,150E+0	1,150E+0
10,824	1,150	0,000	1,150E+0	1,150E+0
11,024	1,150	0,000	1,150E+0	1,150E+0
11,224	1,150	0,000	1,150E+0	1,150E+0
11,425	1,150	0,000	1,150E+0	0,000E+0
11,627	1,150	0,000	1,150E+0	0,000E+0
11,828	1,160	0,000	1,130E+0	1,130E+0
12,027	1,160	0,000	1,130E+0	1,130E+0
12,228	1,160	0,000	1,160E+0	1,160E+0
12,428	1,160	0,000	1,160E+0	1,160E+0
12,629	1,160	0,000	1,160E+0	1,160E+0
12,829	1,160	0,000	1,160E+0	1,160E+0
13,030	1,160	0,000	1,160E+0	1,160E+0
13,231	1,190	0,000	1,160E+0	1,160E+0
13,430	1,190	0,000	1,160E+0	1,160E+0
13,630	1,190	0,000	1,190E+0	1,190E+0
13,831	1,190	0,000	1,190E+0	1,190E+0
14,031	1,190	0,000	1,190E+0	1,190E+0
14,231	1,200	0,000	1,190E+0	1,190E+0
14,431	1,200	0,000	1,190E+0	1,190E+0
14,632	1,200	0,000	1,200E+0	1,200E+0
14,833	1,200	0,000	1,200E+0	1,200E+0
15,033	1,200	0,000	1,200E+0	1,200E+0
15,233	1,060	0,000	1,200E+0	1,200E+0
15,433	1,060	0,000	1,200E+0	1,200E+0
15,632	1,060	0,000	1,060E+0	1,060E+0
15,832	1,060	0,000	1,060E+0	1,060E+0
16,033	1,060	0,000	1,060E+0	1,060E+0
16,232	1,110	0,000	1,060E+0	1,060E+0
16,432	1,110	0,000	1,110E+0	1,110E+0
16,632	1,110	0,000	1,110E+0	1,110E+0
16,832	1,110	0,000	1,110E+0	1,110E+0
17,033	1,110	0,000	1,110E+0	1,110E+0
17,232	1,080	0,000	1,110E+0	0,000E+0
17,432	1,080	0,000	1,110E+0	0,000E+0
17,632	1,080	0,000	1,129E+0	1,129E+0
17,833	1,080	0,000	1,129E+0	1,129E+0
18,033	1,080	0,000	1,080E+0	1,080E+0
18,233	1,080	0,000	1,080E+0	1,080E+0
18,433	1,080	0,000	1,080E+0	1,080E+0
18,633	1,080	0,000	1,080E+0	1,080E+0
18,834	1,080	0,000	1,080E+0	1,080E+0
19,033	2,230	0,000	1,080E+0	1,080E+0
19,234	2,230	0,000	1,080E+0	1,080E+0
19,433	2,230	0,000	2,230E+0	2,230E+0
19,633	2,230	0,000	2,230E+0	2,230E+0
19,834	18,630	13,710	2,230E+0	2,230E+0
20,034	18,630	13,710	2,230E+0	2,230E+0
20,236	18,630	13,710	1,863E+1	1,863E+1
20,436	18,630	13,710	1,863E+1	1,863E+1
20,635	18,630	13,710	1,863E+1	1,863E+1
20,835	81,580	74,510	1,863E+1	1,863E+1
21,036	81,580	74,510	1,863E+1	1,863E+1
21,235	81,580	74,510	8,158E+1	8,158E+1
21,436	81,580	74,510	8,158E+1	8,158E+1
21,636	81,580	74,510	8,158E+1	8,158E+1
21,835	55,470	50,290	8,158E+1	8,158E+1
22,036	55,470	50,290	8,158E+1	8,158E+1
22,236	55,470	50,290	5,547E+1	5,547E+1
22,436	55,470	50,290	5,547E+1	5,547E+1
22,637	55,470	50,290	5,547E+1	5,547E+1
22,836	55,470	50,290	5,547E+1	5,547E+1
23,037	70,920	65,670	5,547E+1	4,026E+1
23,237	70,920	65,670	5,547E+1	4,026E+1
23,437	70,920	65,670	5,547E+1	4,026E+1
23,637	70,920	65,670	4,590E+1	4,590E+1
23,837	70,920	65,670	4,590E+1	4,590E+1
24,036	70,920	65,670	7,092E+1	7,092E+1
24,237	70,920	65,670	7,092E+1	7,092E+1
24,437	70,920	65,670	7,092E+1	7,092E+1
24,637	67,440	62,440	7,092E+1	7,092E+1
24,836	67,440	62,440	7,092E+1	7,092E+1
25,036	67,440	62,440	7,092E+1	7,092E+1
25,237	67,440	62,440	6,744E+1	6,744E+1
25,436	67,440	62,440	6,744E+1	6,744E+1
25,636	67,410	62,400	6,744E+1	6,744E+1
25,836	67,410	62,400	6,744E+1	6,744E+1
26,036	67,410	62,400	6,741E+1	6,741E+1
26,236	67,410	62,400	6,741E+1	6,741E+1
26,437	67,410	62,400	6,741E+1	6,741E+1
26,636	67,410	62,400	6,741E+1	6,741E+1
26,836	67,410	62,400	6,741E+1	6,741E+1
27,036	55,350	50,490	6,741E+1	6,741E+1
27,236	55,350	50,490	5,535E+1	5,535E+1
27,436	55,350	50,490	5,535E+1	5,535E+1
27,637	55,350	50,490	5,535E+1	5,535E+1
27,838	55,350	50,490	5,535E+1	5,535E+1
28,038	47,570	42,450	5,535E+1	5,535E+1
28,238	47,570	42,450	4,757E+1	4,757E+1
28,439	47,570	42,450	4,757E+1	4,757E+1
28,639	47,570	42,450	4,757E+1	4,757E+1
28,838	47,570	42,450	4,757E+1	4,757E+1
29,039	43,670	39,490	4,757E+1	4,757E+1
29,241	43,670	39,490	4,367E+1	4,367E+1
29,441	43,670	39,490	4,367E+1	4,367E+1
29,641	43,670	39,490	4,367E+1	4,367E+1
29,840	43,670	39,490	4,367E+1	4,367E+1
30,042	43,240	38,570	4,367E+1	4,367E+1
30,241	43,240	38,570	4,324E+1	4,324E+1
30,442	43,240	38,570	4,324E+1	4,324E+1
30,641	43,240	38,570	4,324E+1	4,324E+1
30,842	43,240	38,570	4,324E+1	4,324E+1
31,042	42,960	38,590	4,324E+1	4,199E+1
31,243	42,960	38,590	4,324E+1	4,199E+1
31,443	42,960	38,590	4,658E+1	4,658E+1
31,644	42,960	38,590	4,658E+1	4,658E+1
31,843	42,960	38,590	4,296E+1	4,296E+1
32,044	42,960	38,590	4,296E+1	4,296E+1
32,244	42,960	38,590	4,296E+1	4,296E+1
32,443	42,960	38,590	4,296E+1	4,296E+1
32,645	42,960	38,590	4,296E+1	4,296E+1
32,844	43,370	38,690	4,296E+1	4,296E+1
33,045	43,370	38,690	4,296E+1	4,296E+1
33,245	43,370	38,690	4,337E+1	4,337E+1
33,444	43,370	38,690	4,337E+1	4,337E+1
33,644	43,310	38,730	4,337E+1	4,337E+1
33,845	43,310	38,730	4,337E+1	4,337E+1
34,046	43,310	38,730	4,331E+1	4,331E+1
34,246	43,310	38,730	4,331E+1	4,331E+1
34,446	43,310	38,730	4,331E+1	4,331E+1
34,647	43,250	38,640	4,331E+1	4,331E+1
34,846	43,250	38,640	4,331E+1	4,331E+1
35,046	43,250	38,640	4,325E+1	4,325E+1
35,247	43,250	38,640	4,325E+1	4,325E+1
35,447	43,250	38,640	4,325E+1	4,325E+1
35,648	42,670	38,630	4,325E+1	4,325E+1
35,848	42,670	38,630	4,325E+1	4,325E+1
36,047	42,670	38,630	4,267E+1	4,267E+1
36,248	42,670	38,630	4,267E+1	4,267E+1
36,448	42,670	38,630	4,267E+1	4,267E+1
