t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,203	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,404	1,100	0,000	0,000E+0	0,000E+0	0,000E+0
0,604	1,100	0,000	0,000E+0	0,000E+0	0,000E+0
0,804	1,100	0,000	1,161E+0	1,161E+0	0,000E+0
1,204	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
1,204	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
1,405	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
1,604	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
1,804	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
2,004	0,990	0,000	1,100E+0	1,100E+0	0,000E+0
2,405	0,990	0,000	1,100E+0	1,100E+0	0,000E+0
2,405	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
2,605	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
2,806	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
3,005	1,020	0,000	9,900E-1	9,900E-1	0,000E+0
3,208	1,020	0,000	9,900E-1	9,900E-1	0,000E+0
3,408	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
3,608	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
3,808	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
4,210	1,410	0,000	1,020E+0	1,020E+0	0,000E+0
