t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	19,968	25,000	1,000E-2
2,000	19,976	25,000	1,000E-2
3,000	19,982	25,000	1,000E-2
4,000	19,981	25,000	2,760E-1
5,000	19,981	25,000	4,828E-1
6,000	19,985	25,000	5,707E-1
7,000	19,989	25,000	6,191E-1
8,000	19,992	25,000	7,262E-1
9,001	19,991	25,000	1,012E+0
10,001	19,988	25,000	1,357E+0
11,001	20,000	25,000	1,108E+0
12,001	20,001	25,000	1,314E+0
13,001	19,998	25,000	1,619E+0
14,001	20,011	25,000	1,369E+0
15,001	20,025	25,000	1,020E+0
16,001	20,028	25,000	1,125E+0
17,001	20,028	25,000	1,350E+0
18,001	20,026	25,000	1,634E+0
19,001	20,026	25,000	1,878E+0
20,001	20,036	25,000	1,707E+0
21,001	20,033	25,000	2,050E+0
22,001	20,029	25,000	2,413E+0
23,002	20,036	25,000	2,380E+0
24,002	20,043	25,000	2,326E+0
25,002	20,037	25,000	2,788E+0
26,002	20,038	25,000	2,992E+0
27,002	20,038	25,000	3,196E+0
28,002	20,037	25,000	3,480E+0
29,002	20,038	25,000	3,625E+0
30,002	20,044	25,000	3,611E+0
31,002	20,047	25,000	3,736E+0
32,002	20,049	25,000	3,900E+0
33,002	20,050	25,000	4,064E+0
34,002	20,047	25,000	4,426E+0
35,002	20,054	25,000	4,353E+0
36,002	20,057	25,000	4,437E+0
