t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,203	0,000	0,075	3,000E-1	1,700E+1
0,403	0,000	0,075	3,000E-1	1,700E+1
0,603	0,000	0,075	3,000E-1	1,700E+1
0,803	0,000	0,075	3,000E-1	1,700E+1
1,004	0,000	0,075	3,000E-1	1,700E+1
1,205	0,000	0,075	3,000E-1	1,700E+1
1,405	0,000	0,075	3,000E-1	1,700E+1
1,606	0,000	0,075	3,000E-1	1,700E+1
1,806	0,000	0,075	3,000E-1	1,700E+1
2,006	0,000	0,075	3,000E-1	1,700E+1
2,207	0,000	0,075	3,000E-1	1,700E+1
2,407	0,000	0,075	3,000E-1	1,700E+1
2,609	0,000	0,075	3,000E-1	1,700E+1
2,808	0,000	0,075	3,000E-1	1,700E+1
3,008	0,000	0,075	3,000E-1	1,700E+1
3,208	0,000	0,075	3,000E-1	1,700E+1
3,408	0,000	0,075	3,000E-1	1,700E+1
3,608	0,000	0,075	3,000E-1	1,700E+1
3,808	0,000	0,075	3,000E-1	1,700E+1
4,008	0,000	0,075	3,000E-1	1,700E+1
4,208	0,000	0,075	3,000E-1	1,700E+1
4,410	0,000	0,075	3,000E-1	1,700E+1
4,610	0,000	0,075	3,000E-1	1,700E+1
4,809	0,000	0,075	3,000E-1	1,700E+1
5,010	0,000	0,075	3,000E-1	1,700E+1
5,211	0,000	0,075	3,000E-1	1,700E+1
5,411	0,000	0,075	3,000E-1	1,700E+1
5,612	0,000	0,075	3,000E-1	1,700E+1
5,813	0,000	0,075	3,000E-1	1,700E+1
6,012	0,000	0,075	3,000E-1	1,700E+1
6,212	0,000	0,075	3,000E-1	1,700E+1
6,412	0,000	0,075	3,000E-1	1,700E+1
6,613	0,000	0,075	3,000E-1	1,700E+1
6,813	0,000	0,075	3,000E-1	1,700E+1
7,013	0,000	0,075	3,000E-1	1,700E+1
7,213	0,000	0,075	3,000E-1	1,700E+1
7,413	0,000	0,075	3,000E-1	1,700E+1
7,614	0,000	0,075	3,000E-1	1,700E+1
7,813	0,000	0,075	3,000E-1	1,700E+1
8,013	0,000	0,075	3,000E-1	1,700E+1
8,213	0,000	0,075	3,000E-1	1,700E+1
8,413	0,000	0,075	3,000E-1	1,700E+1
8,613	0,000	0,075	3,000E-1	1,700E+1
8,813	0,000	0,075	3,000E-1	1,700E+1
9,014	0,000	0,075	3,000E-1	1,700E+1
9,214	0,000	0,075	3,000E-1	1,700E+1
9,414	0,000	0,075	3,000E-1	1,700E+1
9,615	0,000	0,075	3,000E-1	1,700E+1
9,815	0,000	0,075	3,000E-1	1,700E+1
10,016	0,000	0,075	3,000E-1	1,700E+1
10,215	0,000	0,075	3,000E-1	1,700E+1
10,415	0,000	0,075	3,000E-1	1,700E+1
10,617	0,000	0,075	3,000E-1	1,700E+1
10,816	0,000	0,075	3,000E-1	1,700E+1
11,017	0,000	0,075	3,000E-1	1,700E+1
11,216	0,000	0,075	3,000E-1	1,700E+1
11,416	0,000	0,075	3,000E-1	1,700E+1
11,616	0,000	0,075	3,000E-1	1,700E+1
11,818	0,000	0,075	3,000E-1	1,700E+1
12,017	0,000	0,075	3,000E-1	1,700E+1
12,218	0,000	0,075	3,000E-1	1,700E+1
12,418	0,000	0,075	3,000E-1	1,700E+1
12,618	0,000	0,075	3,000E-1	1,700E+1
12,819	0,000	0,075	3,000E-1	1,700E+1
13,019	0,000	0,075	3,000E-1	1,700E+1
13,220	0,000	0,075	3,000E-1	1,700E+1
13,419	0,000	0,075	3,000E-1	1,700E+1
13,619	0,000	0,075	3,000E-1	1,700E+1
13,819	0,000	0,075	3,000E-1	1,700E+1
14,020	0,000	0,075	3,000E-1	1,700E+1
14,220	0,000	0,075	3,000E-1	1,700E+1
14,420	0,000	0,075	3,000E-1	1,700E+1
14,620	0,000	0,075	3,000E-1	1,700E+1
14,820	0,000	0,075	3,000E-1	1,700E+1
15,020	0,000	0,075	3,000E-1	1,700E+1
15,220	0,000	0,075	3,000E-1	1,700E+1
15,420	0,000	0,075	3,000E-1	1,700E+1
15,621	0,000	0,075	3,000E-1	1,700E+1
15,820	0,000	0,075	3,000E-1	1,700E+1
16,021	0,000	0,075	3,000E-1	1,700E+1
16,220	0,000	0,075	3,000E-1	1,700E+1
16,420	0,000	0,075	3,000E-1	1,700E+1
16,621	0,000	0,075	3,000E-1	1,700E+1
16,822	0,000	0,075	3,000E-1	1,700E+1
17,022	0,000	0,075	3,000E-1	1,700E+1
17,222	0,000	0,075	3,000E-1	1,700E+1
17,422	0,000	0,075	3,000E-1	1,700E+1
17,622	0,000	0,075	3,000E-1	1,700E+1
17,822	0,000	0,075	3,000E-1	1,700E+1
18,023	0,000	0,075	3,000E-1	1,700E+1
18,224	0,000	0,075	3,000E-1	1,700E+1
18,423	0,000	0,075	3,000E-1	1,700E+1
18,623	0,000	0,075	3,000E-1	1,700E+1
18,823	0,000	0,075	3,000E-1	1,700E+1
19,023	0,000	0,075	3,000E-1	1,700E+1
19,225	0,000	0,075	3,000E-1	1,700E+1
19,425	0,000	0,075	3,000E-1	1,700E+1
19,626	0,000	0,075	3,000E-1	1,700E+1
19,826	0,000	0,075	3,000E-1	1,700E+1
20,027	0,000	0,075	3,000E-1	1,700E+1
20,227	0,000	0,075	3,000E-1	1,700E+1
20,428	0,000	0,075	3,000E-1	1,700E+1
20,628	0,000	0,075	3,000E-1	1,700E+1
20,828	0,000	0,075	3,000E-1	1,700E+1
21,028	0,000	0,075	3,000E-1	1,700E+1
21,228	0,000	0,075	3,000E-1	1,700E+1
21,430	0,000	0,075	3,000E-1	1,700E+1
21,629	0,000	0,075	3,000E-1	1,700E+1
21,829	0,000	0,075	3,000E-1	1,700E+1
22,029	0,000	0,075	3,000E-1	1,700E+1
22,229	0,000	0,075	3,000E-1	1,700E+1
22,430	0,000	0,075	3,000E-1	1,700E+1
22,631	0,000	0,075	3,000E-1	1,700E+1
22,831	0,000	0,075	3,000E-1	1,700E+1
23,031	0,000	0,075	3,000E-1	1,700E+1
23,231	0,000	0,075	3,000E-1	1,700E+1
23,431	0,000	0,075	3,000E-1	1,700E+1
23,631	0,000	0,075	3,000E-1	1,700E+1
23,831	0,000	0,075	3,000E-1	1,700E+1
24,032	0,000	0,075	3,000E-1	1,700E+1
24,233	0,000	0,075	3,000E-1	1,700E+1
24,434	0,000	0,075	3,000E-1	1,700E+1
24,634	0,000	0,075	3,000E-1	1,700E+1
24,834	0,000	0,075	3,000E-1	1,700E+1
25,034	0,000	0,075	3,000E-1	1,700E+1
25,235	0,000	0,075	3,000E-1	1,700E+1
25,434	0,000	0,075	3,000E-1	1,700E+1
25,634	0,000	0,075	3,000E-1	1,700E+1
25,834	0,000	0,075	3,000E-1	1,700E+1
26,034	0,000	0,075	3,000E-1	1,700E+1
26,234	0,000	0,075	3,000E-1	1,700E+1
26,434	0,000	0,075	3,000E-1	1,700E+1
26,634	0,000	0,075	3,000E-1	1,700E+1
26,835	0,000	0,075	3,000E-1	1,700E+1
27,035	0,000	0,075	3,000E-1	1,700E+1
27,235	0,000	0,075	3,000E-1	1,700E+1
27,436	0,000	0,075	3,000E-1	1,700E+1
27,636	0,000	0,075	3,000E-1	1,700E+1
27,837	0,000	0,075	3,000E-1	1,700E+1
28,037	0,000	0,075	3,000E-1	1,700E+1
28,238	0,000	0,075	3,000E-1	1,700E+1
28,438	0,000	0,075	3,000E-1	1,700E+1
28,639	0,000	0,075	3,000E-1	1,700E+1
28,839	0,000	0,075	3,000E-1	1,700E+1
29,040	0,000	0,075	3,000E-1	1,700E+1
29,240	0,000	0,075	3,000E-1	1,700E+1
29,440	0,000	0,075	3,000E-1	1,700E+1
29,640	0,000	0,075	3,000E-1	1,700E+1
29,840	0,000	0,075	3,000E-1	1,700E+1
30,040	0,000	0,075	3,000E-1	1,700E+1
30,240	0,000	0,075	3,000E-1	1,700E+1
30,440	0,000	0,075	3,000E-1	1,700E+1
30,641	0,000	0,075	3,000E-1	1,700E+1
30,841	0,000	0,075	3,000E-1	1,700E+1
31,041	0,000	0,075	3,000E-1	1,700E+1
31,241	0,000	0,075	3,000E-1	1,700E+1
31,441	0,000	0,075	3,000E-1	1,700E+1
31,642	0,000	0,075	3,000E-1	1,700E+1
31,842	0,000	0,075	3,000E-1	1,700E+1
32,042	0,000	0,075	3,000E-1	1,700E+1
32,243	0,000	0,075	3,000E-1	1,700E+1
32,443	0,000	0,075	3,000E-1	1,700E+1
32,644	0,000	0,075	3,000E-1	1,700E+1
32,844	0,000	0,075	3,000E-1	1,700E+1
33,044	0,000	0,075	3,000E-1	1,700E+1
33,244	0,000	0,075	3,000E-1	1,700E+1
33,445	0,000	0,075	3,000E-1	1,700E+1
33,644	0,000	0,075	3,000E-1	1,700E+1
33,844	0,000	0,075	3,000E-1	1,700E+1
34,045	0,000	0,075	3,000E-1	1,700E+1
34,245	0,000	0,075	3,000E-1	1,700E+1
34,446	0,000	0,075	3,000E-1	1,700E+1
34,646	0,000	0,075	3,000E-1	1,700E+1
34,846	0,000	0,075	3,000E-1	1,700E+1
35,046	0,000	0,075	3,000E-1	1,700E+1
35,247	0,000	0,075	3,000E-1	1,700E+1
35,447	0,000	0,075	3,000E-1	1,700E+1
35,647	0,000	0,075	3,000E-1	1,700E+1
